Unnamed: 0	premise	hypothesis	label	llm	verbalized
0	Kale nno, ekyo si na kye nnabadde ndowoozaako, naye olw'okuba nnabadde mu mbeera ey'okusoberwa, nnawunzise nzizeemu okwogera naye.	Sinnaddamu kwogerako naye.	contradiction	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: Kale nno, ekyo si na kye nnabadde ndowoozaako, naye olw'okuba nnabadde mu mbeera ey'okusoberwa, nnawunzise nzizeemu okwogera naye.
HYPOTHESIS: Sinnaddamu kwogerako naye.
Is it  entailment, contradiction, or neutral? contradiction"	contradiction
1	Kale nno, ekyo si na kye nnabadde ndowoozaako, naye olw'okuba nnabadde mu mbeera ey'okusoberwa, nnawunzise nzizeemu okwogera naye.	Nali munyiivu nnyo, ekyandeetera okuddamu okwogera naye.	entailment	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: Kale nno, ekyo si na kye nnabadde ndowoozaako, naye olw'okuba nnabadde mu mbeera ey'okusoberwa, nnawunzise nzizeemu okwogera naye.
HYPOTHESIS: Nali munyiivu nnyo, ekyandeetera okuddamu okwogera naye.
Is it  entailment, contradiction, or neutral? neutral"	neutral
2	Kale nno, ekyo si na kye nnabadde ndowoozaako, naye olw'okuba nnabadde mu mbeera ey'okusoberwa, nnawunzise nzizeemu okwogera naye.	Twafunamu okwogera okulungi.	neutral	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: Kale nno, ekyo si na kye nnabadde ndowoozaako, naye olw'okuba nnabadde mu mbeera ey'okusoberwa, nnawunzise nzizeemu okwogera naye.
HYPOTHESIS: Twafunamu okwogera okulungi.
Is it  entailment, contradiction, or neutral? neutral"	neutral
3	Bantegeeza nti uh, baali ba kunfunira omuvubuka ansisinkane ku nkomerero.	Tewali kye bantegeeza ku  ky'okusisinkana omuntu yenna.	contradiction	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: Bantegeeza nti uh, baali ba kunfunira omuvubuka ansisinkane ku nkomerero.
HYPOTHESIS: Tewali kye bantegeeza ku  ky'okusisinkana omuntu yenna.
Is it  entailment, contradiction, or neutral? contradiction"	contradiction
4	Bantegeeza nti uh, baali ba kunfunira omuvubuka ansisinkane ku nkomerero.	Bantegeeza nti uh, baali ba kunfunira omuvubuka ansisinkane ku nkomerero.	entailment	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: Bantegeeza nti uh, baali ba kunfunira omuvubuka ansisinkane ku nkomerero.
HYPOTHESIS: Bantegeeza nti uh, baali ba kunfunira omuvubuka ansisinkane ku nkomerero.
Is it  entailment, contradiction, or neutral? entailment"	entailment
5	Bantegeeza nti uh, baali ba kunfunira omuvubuka ansisinkane ku nkomerero.	Mwanamulenzi yajja kikeerezimu.	neutral	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: Bantegeeza nti uh, baali ba kunfunira omuvubuka ansisinkane ku nkomerero.
HYPOTHESIS: Mwanamulenzi yajja kikeerezimu.
Is it  entailment, contradiction, or neutral? contradiction"	contradiction
6	Waliwo ebintu bingi bye wandiyogedde ku ekyo, ekyo nja kukibuuka bubuusi.	Njagala nkubuulire byonna bye mmanyi ku ekyo!	contradiction	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: Waliwo ebintu bingi bye wandiyogedde ku ekyo, ekyo nja kukibuuka bubuusi.
HYPOTHESIS: Njagala nkubuulire byonna bye mmanyi ku ekyo!
Is it  entailment, contradiction, or neutral? neutral"	neutral
7	Waliwo ebintu bingi bye wandiyogedde ku ekyo, ekyo nja kukibuuka bubuusi.	Sijja kubaako kye njogera ku ekyo, newankubadde bingi ebikiriko.	entailment	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: Waliwo ebintu bingi bye wandiyogedde ku ekyo, ekyo nja kukibuuka bubuusi.
HYPOTHESIS: Sijja kubaako kye njogera ku ekyo, newankubadde bingi ebikiriko.
Is it  entailment, contradiction, or neutral? contradiction"	contradiction
8	Waliwo ebintu bingi bye wandiyogedde ku ekyo, ekyo nja kukibuuka bubuusi.	Sijja kwogera ku byafaayo bya kibuga kubanga eby'okukyogerako bingi nnyo.	neutral	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: Waliwo ebintu bingi bye wandiyogedde ku ekyo, ekyo nja kukibuuka bubuusi.
HYPOTHESIS: Sijja kwogera ku byafaayo bya kibuga kubanga eby'okukyogerako bingi nnyo.
Is it  entailment, contradiction, or neutral? neutral"	neutral
9	Kale nno, simanyidde ddala lwaki.	Neekakasa ensonga lwaki.	contradiction	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: Kale nno, simanyidde ddala lwaki.
HYPOTHESIS: Neekakasa ensonga lwaki.
Is it  entailment, contradiction, or neutral? contradiction"	contradiction
