Unnamed: 0	question	answer	llm	verbalized
0	Mabata ya Janet ezobwaka makei 16 na mokolo. Na ntango nyoso, akolia misato na lipati ya ntango mpe kosalela minei misusu mpo ya kolamba muffin mpo ya baninga. Oyo etikali, akoteka yango mokolo nyoso na zando ya bilanga, na ntalo ya 2$ na likei ya mabata ya sika. Motuya boni (na dollar) akozwaka mikolo nyoso na zando ya bilanga?	18	"Answer only. 
Mabata ya Janet ezobwaka makei 16 na mokolo. Na ntango nyoso, akolia misato na lipati ya ntango mpe kosalela minei misusu mpo ya kolamba muffin mpo ya baninga. Oyo etikali, akoteka yango mokolo nyoso na zando ya bilanga, na ntalo ya 2$ na likei ya mabata ya sika. Motuya boni (na dollar) akozwaka mikolo nyoso na zando ya bilanga?
**Jibu:** 104$"	104
1	Lobe moko esengaka ba rouleau 2 ya fibre (elamba) ya langi blue mpe ndambo ya bilamba ya mpembe. Motuya boni ya ba rouleau na nyoso?	3	"Answer only. 
Lobe moko esengaka ba rouleau 2 ya fibre (elamba) ya langi blue mpe ndambo ya bilamba ya mpembe. Motuya boni ya ba rouleau na nyoso?
Lobe moko esengaka ba rouleau 2 ya fibre (elamba) ya langi blue mpe ndambo ya bilamba ya mpembe. Motuya boni ya ba rouleau na nyoso."	2
2	Josh akoti na mosala ya kobongisa ndako. Asombi na ntalo ya 80 000 $ mpe atiyi mbongo 50 000 $ mpo ya kobongisa yango. Motuya ya ndako emati na 150 %. Matabisi boni azwi?	70000	"Answer only. 
Josh akoti na mosala ya kobongisa ndako. Asombi na ntalo ya 80 000 $ mpe atiyi mbongo 50 000 $ mpo ya kobongisa yango. Motuya ya ndako emati na 150 %. Matabisi boni azwi?
**Jawaban:** 120 000 $"	120000
3	Jacques azali kosala kolanda mbangu ya makasi 3 mbala 3 na poso. Akopota 60 metele na mbangu ya makasi nyoso. Ba metele boni apoti na poso?	540	"Answer only. 
Jacques azali kosala kolanda mbangu ya makasi 3 mbala 3 na poso. Akopota 60 metele na mbangu ya makasi nyoso. Ba metele boni apoti na poso?
Jacques azali kosala kolanda mbangu ya makasi 3 mbala 3 na poso. Akopota 60 metele na mbangu ya makasi nyoso. Ba metele boni apoti na poso?

**Jibu:** 30 metele na poso."	30
4	Mpo na kobatela ba nsoso na ye na nzoto kolongono, Wendi apesaka bango mikolo nyoso sani misato ya biloko ya kosangisa ezali na mbuma, nkusu ya fufu mpe ndunda. Alesaka bango na bilei misato ya kokabola. Na ntongo , apesi bango sani 15 ya biloko. Na mpokwa, apesi bango 25 mosusu. Soki bibwele na ye ezali na nsoso 20, motuya boni ya sani ya bilie asengeli kopesa na bango mpo na kolia ya nsuka ya mokolo ?	20	"Answer only. 
Mpo na kobatela ba nsoso na ye na nzoto kolongono, Wendi apesaka bango mikolo nyoso sani misato ya biloko ya kosangisa ezali na mbuma, nkusu ya fufu mpe ndunda. Alesaka bango na bilei misato ya kokabola. Na ntongo , apesi bango sani 15 ya biloko. Na mpokwa, apesi bango 25 mosusu. Soki bibwele na ye ezali na nsoso 20, motuya boni ya sani ya bilie asengeli kopesa na bango mpo na kolia ya nsuka ya mokolo ?
**Jibu:** 100"	100
5	Kylar akeyi na magasin mpo na kosomba ba verre mpo na ndako na ye ya sika. Verre moko ezali na motuya ya 5$, kasi verre nyoso elandi ezali na motuya ya 60% ya ntalo. Kylar alingi 16 verre. Motuya boni asengeli kofuta mpo ya kosomba yango?	64	"Answer only. 
Kylar akeyi na magasin mpo na kosomba ba verre mpo na ndako na ye ya sika. Verre moko ezali na motuya ya 5$, kasi verre nyoso elandi ezali na motuya ya 60% ya ntalo. Kylar alingi 16 verre. Motuya boni asengeli kofuta mpo ya kosomba yango?
**Motuya boni asengeli kofuta mpo ya kosomba yango: 800$**"	800
6	Toulouse ezali na koleka mbala mibale na ba mpata ya Charleston. Charleston ezali koleka mbala minei ya Seattle. Soki Seattle azali na mpata 20, motuya ya mpata ya Toulouse, Charleston na Seattle ezali nyoso?	260	"Answer only. 
Toulouse ezali na koleka mbala mibale na ba mpata ya Charleston. Charleston ezali koleka mbala minei ya Seattle. Soki Seattle azali na mpata 20, motuya ya mpata ya Toulouse, Charleston na Seattle ezali nyoso?
20"	20
7	Carla azali ko telecharge fichier moko ya 200 Go. Azo telecharge na mbangu ya 2 Go na minute kasi na 40% ya telechargement, Windows atindi kopelisa lisusu mpo ya kofandisa ba mise a jour, wana ekozwa 20 minute. Carla asengeli kobandela telechargement na ebandela. Ngonga boni esengeli mpo na ko telecharge fichier?	160	"Answer only. 
Carla azali ko telecharge fichier moko ya 200 Go. Azo telecharge na mbangu ya 2 Go na minute kasi na 40% ya telechargement, Windows atindi kopelisa lisusu mpo ya kofandisa ba mise a jour, wana ekozwa 20 minute. Carla asengeli kobandela telechargement na ebandela. Ngonga boni esengeli mpo na ko telecharge fichier?
Fichari: 200 Go
Telecharged: 2 Go
Kasi ya telechargement: 40%
Ekozwa: 20 minute

Sasa, nipo mahesabu ya kuhesabu muda wa telecharge ya karibu.

**Muda wa telecharge ya karibu = (Fichari / Telecharged) * Kasi ya telechargement**

Muda wa telecharge ya karibu = (200 / 2) * 0.4 = **40 minute**

Telecharge ya karibu ya files itakuwa **40 minute**."	40
8	Jean akumbi motuka kobanda ngonga 3 na mbangu ya 60 mph, mpe azongi na nsima na ntango amoni ete abosani eloko moko ya motuya na ndako. Ameki kozonga na ngonga 4, kasi abungisi ngonga 2 ya yambo na embouteillage. O ntango ya ndambo ya ngonga elandi, akumbi na 30 mph, liboso ya kokumba na 80 mph ntango etikalaki ya ngonga 4. Ntaka boni ekaboli na ndako na ye na nsuka ya ngonga 4 ?	45	"Answer only. 
Jean akumbi motuka kobanda ngonga 3 na mbangu ya 60 mph, mpe azongi na nsima na ntango amoni ete abosani eloko moko ya motuya na ndako. Ameki kozonga na ngonga 4, kasi abungisi ngonga 2 ya yambo na embouteillage. O ntango ya ndambo ya ngonga elandi, akumbi na 30 mph, liboso ya kokumba na 80 mph ntango etikalaki ya ngonga 4. Ntaka boni ekaboli na ndako na ye na nsuka ya ngonga 4 ?
**Solusyon:**
Ntako ya ngonga 4 = 80 mph
Ntako ya ngonga 3 = 30 mph
Embouteillage = 60 mph

Ekuasyon:
80 = 30 + 60 + x
80 = 90 + x
x = -10

**Kani ngonga 4, akumbi na -10 mph.**"	10
9	PONA ba 40 heure ya liboso ya musala ya mposo, taux ya ngonga Moko ya Elisa eza ya 10$. Pona ba tango ya likolo, azali PE kozua lifuti Oyo ezali mbala 1,2 ya taux ngonga moko ndenge ezalaka. Soko mposo Oyo Elisa a sali 45 heures, lifuta Na ye eko Zala boni?	460	"Answer only. 
PONA ba 40 heure ya liboso ya musala ya mposo, taux ya ngonga Moko ya Elisa eza ya 10$. Pona ba tango ya likolo, azali PE kozua lifuti Oyo ezali mbala 1,2 ya taux ngonga moko ndenge ezalaka. Soko mposo Oyo Elisa a sali 45 heures, lifuta Na ye eko Zala boni?
**Reponse :** 180$"	180
10	Pologalami ya sika ezalaki telecharge mbula 60 na sanza ya liboso. Motango ya telechargement na sanza ya mibale ezalaki mbala misato likolo na sanza ya liboso. Na nsima ekiti na 30% na sanza ya misato. Mbala boni na nyoso pologalami ezalaki telecharge na kati ya sanza misato oyo?	366	"Answer only. 
Pologalami ya sika ezalaki telecharge mbula 60 na sanza ya liboso. Motango ya telechargement na sanza ya mibale ezalaki mbala misato likolo na sanza ya liboso. Na nsima ekiti na 30% na sanza ya misato. Mbala boni na nyoso pologalami ezalaki telecharge na kati ya sanza misato oyo?
Pologalami ya sika: 60
Sanza ya liboso: 100
Motango ya telechargement: 100
Sanza ya mibale: 100
Nsima ekiti: 30%
Sanza ya misato: 70%

Boni na nyoso pologalami ezalaki telecharge na kati ya sanza misato oyo: **42**"	42
11	Toula a sombaki ba pâtisseries Ako kesana Na ba ndako ya map. Asombaki ba douzaine mosato ya mikate na 68$ PONA douzaine Moko, ba douzaine mosato ya ba Gato ya mukié na 80$ PONA douzaine Moko PE ba douzaine motoba ya ba Gato ya fromage ya mukié na 55$ PONA douzaine Moko. Talo ya biloko nionso eza boni ?	694	"Answer only. 
Toula a sombaki ba pâtisseries Ako kesana Na ba ndako ya map. Asombaki ba douzaine mosato ya mikate na 68$ PONA douzaine Moko, ba douzaine mosato ya ba Gato ya mukié na 80$ PONA douzaine Moko PE ba douzaine motoba ya ba Gato ya fromage ya mukié na 55$ PONA douzaine Moko. Talo ya biloko nionso eza boni ?
**Total : 283$**"	283
