Unnamed: 0	question	answer	gpt-4	verbalized
0	Janet cooks 16 eggs a day. Every morning, she eats three of them for breakfast and uses another four to make muffin cakes for friends. She sells the rest every day at the village market, each brown egg for $2. How much does she make (in dollars) a day at the market?	18	she makes $18 a day at the market.	18
1	For a long coat, two strips of blue thread are needed, and the same number of strips are needed for a white thread. How many strips are needed?	3	4 strips	4
2	Josh got into a home improvement business. He bought it for $80,000 and spent $50,000 renovating it. The price of the house went up 150%. How did he find the house?	70000	josh found the house for $130,000.	130000
3	Jacques runs three marathons, usually three per week. Each marathon is 60 yards long. How many yards does he run in a marathon?	540	60 yards	60
4	To maintain the health of her chickens, Wendi feeds them three bowls of baked beans, dried peas, and grass. She feeds them three times a day. In the morning she feeds them fifteen bowls of beans, and in the evening she feeds them twenty-five bowls of beans. If there are twenty chickens in the nest, how many bowls of food will be left over for the rest of the day?	20	65 bowls	65
5	Kylar goes to the store to buy bottles for her new house. One bottle costs $5, and each second bottle is only 60% of the price. Kylar wants to buy 16 bottles. What will she use to buy them?	64	kylar will use $104 to buy them.	104
6	There are twice as many sheep in Toulouse as there are in Charleston. There are four times as many in Charleston as there are in Seattle. If there are 20 sheep in Seattle, how many sheep are there in Toulouse, Charleston and Seattle combined?	260	180 sheep.	180
7	Carla is pulling a 200-gauge windshield. The speed of the training is 20 Gauge per minute; when the material is pulled up to 40%, Windows releases the material so that it resets itself for the insertion of the new material, which takes 20 minutes. This causes Carla to start the training again from the beginning. How long does it take to train a book?	160	"it is not possible to accurately calculate the time to train a book based on the provided information, as the scenario and terminology used (e.g., ""200-gauge windshield,"" ""speed of the training,"" ""windows releases the material"") do not clearly relate to a process of training a book or any standard procedure."	200
8	John ran for three miles [60 km] and returned home because he was sick. He thought he would go for four hours, but he stopped for two because of the rain. In the next half hour, he ran for 30 miles [80 km] before running for the remaining four hours.	45	john ran for three miles, not 60 km. the distances and times mentioned seem to be inconsistent or incorrect.	60
9	If Elisa had worked 45 hours during the current week, she would have been paid $1.25 for each additional hour.	460	$56.25	56
10	A program was downloaded 60 times in the first month. The second month was downloaded three times more than the first month. The third month was downloaded 30%. How many times has the program been downloaded in the last three months?	366	240 times	240
11	Toula purchased three sets of bicycles at an auction for $68 each; two sets of minibikes for $80 each; and six sets of handbags for $55 each.	694	$757	757
12	Carlos wants to plant an apple tree. The price of the field is $90. Each year the tree will produce 7 apples and will sell for $1.5. Watering and feeding the tree costs $3 each. How long will it take Carlos to get the apples on his tree?	13	it will take carlos 20 years to get the apples on his tree.	20
13	Melanie sells door-to-door. When she moves into the basement, she sells a third of her carpet, then sells 2 in the red house and finally sells the remaining half in the blue house. If in all of this she has 5 carpets left, how many carpets did she have at the beginning?	18	melanie had 18 carpets at the beginning.	18
14	In a dance school with 20 students, 20% of them enrolled in contemporary dance, 25% in Jazz dance and the rest in Hip-hop. How many students falsely enrolled in hip-hop?	60	10 students.	10
15	A merchant is hesitating between two purchases: $5000 worth of jewelry or $8000 worth of art. His business consultant raised the price of jewelry by 2.5% and the price of art by 1.2% in the same month. If the merchant made the right bet that would get him so much money, how much would be in the tree?	125	$5100	5100
16	Two trains departed from San Rafael at the same time. They wore sunscreen and traveled 80 Km. The next day they traveled north 150 Km. How much distance did each train travel in these two days?	230	230 km	230
17	Jill earns $20 an hour as a teacher and $30 an hour as a youth worker. If she works 35 hours a week as a teacher and 15 hours a week as a youth worker and works 50 weeks a year, how much does she earn as a wage per year?	57500	$52,500	52500
18	For her breakfast, Claire roasts 3 eggs every morning. How many egg yolks will she eat in four weeks?	7	84 egg yolks	84
19	Mirassa walked on a farm road for 12 KM. He walked the first 4 KM in 1 hour, then another 2 KM in 1 hour. If he wanted his speed to be 4 KM per hour, what would be his speed (in miles per hour) for the rest of the journey?	6	3.107 mph	3
20	I have a jar of salt and a third of water. If I lose two pounds of salt and a third of water, what will become of the salt and the third of water?	15	they will become a third of salt and a ninth of water.	-1
21	Raymond was born 6 years before Samantha and had a son when she was 23. If Samantha is now 31, how many eggs does Raymond's son have?	14	raymond's son, being male, does not have eggs.	-1
22	Billy sells DVDs. Every Tuesday, eight buyers come to him. The first three buyers each buy one DVD. The next two buyers each buy two DVDs. The remaining three buyers don't buy anything. How many DVDs does Billy sell for fifty?	7	billy sells 7 dvds.	7
23	They measured a rainbow moving 2 centimeters per hour. What would be the length of the rainbow if it moved from 13h to 17h?	8	8 centimeters	8
24	Kyle bought last year's bestseller for $19.50 with a 25% discount on the total book sales. How much was the total book sales?	26	$26.00	26
25	Marie sent a chicken for $12; 5 milk cartons for $3 each; 4 slices sold for $1.5 each; and some pizza boxes. Marie paid $50 in total. If the pizza boxes cost $8.50, how many pizzas did Marie send?	2	2 pizza boxes	2
26	Mishka bought 3 shirts, 3 trousers, and 3 shoes. The shoes cost $16.50, the trousers $22.50, and the shoes $42. How much money did mishka spend on her clothes?	243	$243.00	243
27	Cynthia eats one snail every afternoon. She buys a box of 15 snails for $4. In 60 days, how many eggs will Cynthia have in the snail basket?	16	0 eggs	0
28	During his 60 Km long walk, Henri stopped twice. The first time he did it after 20 Km and stopped again at 15 Km for the end of the journey. What is the distance (in Km) between the two stops?	25	25 km	25
29	While shopping for shoes, Gloria found a pair of shoes that fit her shoe size. However, the shoes had to be paired with two other shoes that cost five dollars less each. If the first shoe cost $33 and the second was twice as much, how much would the shoe cost in dollars?	104	$99	99
30	If Darell and Allen now have a combined score of 162, how many points is Allen behind by 10?	109	76 points.	76
31	Gunter was counting some candies on the side and asked his friends to calculate the number of candies. One said eighty, another said twenty plus the first half, and a third said twenty-five more than the first.	80	120	120
32	Jean cares for 10 dogs. Each dog needs 0.5 hours a day for walking and other activities. How many hours does Jean spend caring for dogs a week?	35	35 hours	35
33	Gretchen has 110 precious stones. The gold stones are 30 times more valuable than the silver stones. How many gold stones does Gretchen have?	70	gretchen has 3 gold stones.	3
34	Aaron's bracelets are 2 times smaller than Siobhan's. Aaron's are half the size of Raymond's and 5 times smaller than Raymond's. If there are 40 of Raymond's, how many of Siobhan's would there be?	23	80	80
