	premise	hypothesis	label	llm
0	Well, I didn't even think about it, but I was upset, so I went back and talked to him again.	I haven't spoken to him since.	contradiction	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: Well, I didn't even think about it, but I was upset, so I went back and talked to him again.
HYPOTHESIS: I haven't spoken to him since.
Is it  entailment, contradiction, or neutral?<eos>
<|assistant|>
Entailment<eos>"
1	Well, I didn't even think about it, but I was upset, so I went back and talked to him again.	He was so angry that I started talking to him again.	entailment	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: Well, I didn't even think about it, but I was upset, so I went back and talked to him again.
HYPOTHESIS: He was so angry that I started talking to him again.
Is it  entailment, contradiction, or neutral?<eos>
<|assistant|>
Neutral<eos>"
2	Well, I didn't even think about it, but I was upset, so I went back and talked to him again.	We had a good conversation.	neutral	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: Well, I didn't even think about it, but I was upset, so I went back and talked to him again.
HYPOTHESIS: We had a good conversation.
Is it  entailment, contradiction, or neutral?<eos>
<|assistant|>
Entailment<eos>"
3	I was told that, uh, a man would be called in later to meet me.	I had not been told that I would meet someone.	contradiction	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: I was told that, uh, a man would be called in later to meet me.
HYPOTHESIS: I had not been told that I would meet someone.
Is it  entailment, contradiction, or neutral?<eos>
<|assistant|>
Neutral<eos>"
4	I was told that, uh, a man would be called in later to meet me.	I was told that a man would be called in to meet me.	entailment	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: I was told that, uh, a man would be called in later to meet me.
HYPOTHESIS: I was told that a man would be called in to meet me.
Is it  entailment, contradiction, or neutral?<eos>
<|assistant|>
Entailment<eos>"
5	I was told that, uh, a man would be called in later to meet me.	The man waited a long time.	neutral	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: I was told that, uh, a man would be called in later to meet me.
HYPOTHESIS: The man waited a long time.
Is it  entailment, contradiction, or neutral?<eos>
<|assistant|>
Neutral<eos>"
6	There are so many things you could say about him that I would just ignore that.	I want to tell you everything I know about it!	contradiction	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: There are so many things you could say about him that I would just ignore that.
HYPOTHESIS: I want to tell you everything I know about it!
Is it  entailment, contradiction, or neutral?<eos>
<|assistant|>
Neutral<eos>"
7	There are so many things you could say about him that I would just ignore that.	I'm not going to talk about that, although there are a lot of things we want to see.	entailment	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: There are so many things you could say about him that I would just ignore that.
HYPOTHESIS: I'm not going to talk about that, although there are a lot of things we want to see.
Is it  entailment, contradiction, or neutral?<eos>
<|assistant|>
Neutral<eos>"
8	There are so many things you could say about him that I would just ignore that.	I won't talk about the history of the city because we have a lot to talk about.	neutral	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: There are so many things you could say about him that I would just ignore that.
HYPOTHESIS: I won't talk about the history of the city because we have a lot to talk about.
Is it  entailment, contradiction, or neutral?<eos>
<|assistant|>
Entailment.<eos>"
9	So I don't know why.	I am convinced of the reason.	contradiction	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: So I don't know why.
HYPOTHESIS: I am convinced of the reason.
Is it  entailment, contradiction, or neutral?<eos>
<|assistant|>
Neutral<eos>"
10	So I don't know why.	I don't know why she changed schools.	neutral	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: So I don't know why.
HYPOTHESIS: I don't know why she changed schools.
Is it  entailment, contradiction, or neutral?<eos>
<|assistant|>
Neutral<eos>"
11	So I don't know why.	I don't know why that happened.	entailment	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: So I don't know why.
HYPOTHESIS: I don't know why that happened.
Is it  entailment, contradiction, or neutral?<eos>
<|assistant|>
Entailment<eos>"
12	I'm the only one who's, uh, been using the controls for, uh, surveillance in the cockpit of a small airplane.	I don't want to be the only one using the controller for the test.	neutral	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: I'm the only one who's, uh, been using the controls for, uh, surveillance in the cockpit of a small airplane.
HYPOTHESIS: I don't want to be the only one using the controller for the test.
Is it  entailment, contradiction, or neutral?<eos>
<|assistant|>
Neutral<eos>"
13	I'm the only one who's, uh, been using the controls for, uh, surveillance in the cockpit of a small airplane.	An inspection was carried out on the flight deck of the small airport.	entailment	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: I'm the only one who's, uh, been using the controls for, uh, surveillance in the cockpit of a small airplane.
HYPOTHESIS: An inspection was carried out on the flight deck of the small airport.
Is it  entailment, contradiction, or neutral?<eos>
<|assistant|>
Entailment<eos>"
14	I'm the only one who's, uh, been using the controls for, uh, surveillance in the cockpit of a small airplane.	There are a few of us who use the scanner for testing.	contradiction	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: I'm the only one who's, uh, been using the controls for, uh, surveillance in the cockpit of a small airplane.
HYPOTHESIS: There are a few of us who use the scanner for testing.
Is it  entailment, contradiction, or neutral?<eos>
<|assistant|>
Neutral<eos>"
15	I'm the, uh, retired Senior Chief of Saints, as Rick said.	I still work to this day.	contradiction	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: I'm the, uh, retired Senior Chief of Saints, as Rick said.
HYPOTHESIS: I still work to this day.
Is it  entailment, contradiction, or neutral?<eos>
<|assistant|>
Contradiction<eos>"
16	I'm the, uh, retired Senior Chief of Saints, as Rick said.	I retired in 2002.	neutral	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: I'm the, uh, retired Senior Chief of Saints, as Rick said.
HYPOTHESIS: I retired in 2002.
Is it  entailment, contradiction, or neutral?<eos>
<|assistant|>
Neutral<eos>"
17	I'm the, uh, retired Senior Chief of Saints, as Rick said.	Rick told you that I had retired.	entailment	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: I'm the, uh, retired Senior Chief of Saints, as Rick said.
HYPOTHESIS: Rick told you that I had retired.
Is it  entailment, contradiction, or neutral?<eos>
<|assistant|>
Entailment<eos>"
18	There are some earnings forecasts on my desk, um, uh, and it's for Cutty Seed and Cutty Seed, that's the client's name.	A customer named Cutty earns $10,000 a month.	neutral	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: There are some earnings forecasts on my desk, um, uh, and it's for Cutty Seed and Cutty Seed, that's the client's name.
HYPOTHESIS: A customer named Cutty earns $10,000 a month.
Is it  entailment, contradiction, or neutral?<eos>
<|assistant|>
Entailment<eos>"
19	There are some earnings forecasts on my desk, um, uh, and it's for Cutty Seed and Cutty Seed, that's the client's name.	There was a customer named Cutty.	entailment	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: There are some earnings forecasts on my desk, um, uh, and it's for Cutty Seed and Cutty Seed, that's the client's name.
HYPOTHESIS: There was a customer named Cutty.
Is it  entailment, contradiction, or neutral?<eos>
<|assistant|>
Entailment<eos>"
20	There are some earnings forecasts on my desk, um, uh, and it's for Cutty Seed and Cutty Seed, that's the client's name.	We don't have any customers named Cutty.	contradiction	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: There are some earnings forecasts on my desk, um, uh, and it's for Cutty Seed and Cutty Seed, that's the client's name.
HYPOTHESIS: We don't have any customers named Cutty.
Is it  entailment, contradiction, or neutral?<eos>
<|assistant|>
Entailment<eos>"
21	The girl who can help me is on the other side of town.	The girl I need help from lives far away from here.	entailment	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: The girl who can help me is on the other side of town.
HYPOTHESIS: The girl I need help from lives far away from here.
Is it  entailment, contradiction, or neutral?<eos>
<|assistant|>
Neutral<eos>"
22	The girl who can help me is on the other side of town.	The girl who will help me is 5 miles away.	neutral	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: The girl who can help me is on the other side of town.
HYPOTHESIS: The girl who will help me is 5 miles away.
Is it  entailment, contradiction, or neutral?<eos>
<|assistant|>
Neutral<eos>"
23	The girl who can help me is on the other side of town.	No one could help me.	contradiction	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: The girl who can help me is on the other side of town.
HYPOTHESIS: No one could help me.
Is it  entailment, contradiction, or neutral?<eos>
<|assistant|>
Contradiction<eos>"
24	But their knowledge differed as to who was the farm worker and who was the householder, it was just like...	They all agreed to work together in the field.	contradiction	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: But their knowledge differed as to who was the farm worker and who was the householder, it was just like...
HYPOTHESIS: They all agreed to work together in the field.
Is it  entailment, contradiction, or neutral?<eos>
<|assistant|>
Entailment<eos>"
25	But their knowledge differed as to who was the farm worker and who was the householder, it was just like...	They could not agree on who was the farm worker and who had the right to be in the house.	entailment	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: But their knowledge differed as to who was the farm worker and who was the householder, it was just like...
HYPOTHESIS: They could not agree on who was the farm worker and who had the right to be in the house.
Is it  entailment, contradiction, or neutral?<eos>
<|assistant|>
Entailment<eos>"
26	But their knowledge differed as to who was the farm worker and who was the householder, it was just like...	They could not agree on who should work in the cotton fields and who should sweep the floor.	neutral	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: But their knowledge differed as to who was the farm worker and who was the householder, it was just like...
HYPOTHESIS: They could not agree on who should work in the cotton fields and who should sweep the floor.
Is it  entailment, contradiction, or neutral?<eos>
<|assistant|>
Entailment<eos>"
