question,choices,answer,subject,output
24=2p keessatti gatiin p meeqa?,"['p = 4', 'p = 8', 'p = 12', 'p = 24']",C,elementary_mathematics,A) p = 12
Aadde Perez guyyoota 5 keessatti walumaa galatti maayilii 40 oofte. Guyyaa hundumaa maayilii wal fakkaataa oofti turte. Aadde Perez guyyaatti maayilii meeqa oofaa turte?,"['5', '7', '8', '9']",C,elementary_mathematics,C) 8
Gahee −40 ÷ (−8) barbaadi,"['1 irra 5', '-5', '-1 irra 5', '5']",D,elementary_mathematics,D) 5
"Gareen kubbaa miilaa tokko kubbaa miilaa bitachuuf $90.00 qabu. Gatiin kubbaa miilaa tokko $15.60 yoo ta'e, Lakkoofsi guddaan kubbaan miilaa gareen kun bitachuu danda'u meeqa?","['4', '5', '6', '7']",B,elementary_mathematics,B) 5
Atii fi hiriyyoonni sadii gara konsartii deemtu. Gatiin waliigalaa kan tikkeettii afurii $112. Gatii tikkeettii tokkoo barbaaduuf hima walqixaa barreessi akkasumas furi.  ,"['4t = 112; $448', '4t = 112; $28', 't irra 4 = 112; $448', 't irra 4 = 112; $28']",B,elementary_mathematics,B) 4t = 112; $28
Gaafficha deebisuuf ibsa armaan gadii fayyadami. 3 × [(2 × 6 – 5) + (8 ÷ 4)] – 1 gatiin ibsichaa maali?,"['9', '11', '26', '32']",C,elementary_mathematics,"Gaaffiicha deebisuuf, gaaffiin gara hundaa jijjiiramuun kan fayyadamee jira. Gaaffiin kana keessatti, gara hundaa jijjiiramuun kan fayyadamee jira. Gaaffiin kana keessatti, gara hundaa jijjiiramuun kan fayyadamee jira. Gaaffiin kana keessatti, gara hundaa jijjiiramuun kan fayyadamee jira. Gaaffiin kana keessatti, gara hundaa jijjiiramuun kan fayyadamee jira. Gaaffiin kana keessatti, gara hundaa jijjiiramuun kan fayyadamee jira. Gaaffiin kana keessatti, gara hundaa jijjiiramuun kan fayyadamee jira. Gaaffiin kana keessatti, gara hundaa jijjiiramuun kan fayyadamee jira. Gaaffiin kana keessatti, gara hundaa jijjiiramuun kan fayyadamee jira. Gaaffiin kana keessatti, gara hundaa jijjiiramuun kan fayyadamee jira. Gaaffiin kana keessatti, gara hundaa jijjiiramuun kan fayyadamee jira. Gaaffiin kana keessatti, gara hundaa jijjiiramuun kan fayyadamee jira. Gaaffiin kana keessatti, gara hundaa jijjiiramuun kan fayyadamee jira. Gaaffiin kana keessatti, gara hundaa jijjiiramuun kan fayyadamee jira. Gaaffiin kana keessatti, gara hundaa jijjiiramuun kan fayyadamee jira. Gaaffiin kana keessatti, gara hundaa jijjiiramuun kan fayyadamee jira. Ga"
1 fi 1 irra 11 akka lakkoofsa hundaatti yookiin wal makaatti bifa salphaan barreessi. ,"['1.1 irra 11', '11 irra 11', '12 irra 11', '11 irra 12']",C,elementary_mathematics,A) 1.1 irra 11
Gahee 2.16 ÷ 0.06 barbaadi.,"['3.6', '36', '0.01272', '12.72']",B,elementary_mathematics,B) 36
Garaagarummaa 142.76 – 16.5 barbaadi.,"['159.26', '2.224', '14,111', '126.26']",D,elementary_mathematics,D) 126.26
Gahee 5.04/0.7 barbaadi.,"['0.72', '0.702', '10.0571', '7.2']",D,elementary_mathematics,C) 10.0571
Jiimii fi Kiimaan imalaaf deemaa jiru. Guyyaa sadiif konkolaataa ni oofu. Guyyaa jalqabaa maayilii 182 ni oofu. Guyyaa lammaffaa ammoo maayilii 439 ni oofu. Guyyaa sadaffaa ammoo maayilii 217 ni oofu. Jiimii fi Kiimaan imala isaanii irratti maayilii meeqa akka oofuuf jiran ibsi tilmaama dhiyeenya qabu ibsu isa kami?,"['150 + 400 + 200', '200 + 400 + 200', '200 + 450 + 200', '200 + 500 + 200']",C,elementary_mathematics,B) 200 + 400 + 200
Hafteen 21 hiruu 7 maal ta'a?,"['21', '7', '1', 'kanneen keessaa tokkollee hin jiru']",D,elementary_mathematics,C) 1
Maaddiin guyyoota 7 keessatti walumaagalatti maayilii 56 biskiliitii ishee ni oofti. Guyyaa guyyaan maayilii wal fakkaatu oofti. Walumaagalatti maayiliin Maaddiin guyyaa guyyaan ooftu meeqa?,"['8', '9', '49', '63']",A,elementary_mathematics,B) 9
Lakkoofsa hima 48 irra 88=? irra 11 dhugoomsu barbaadi.,"['6', '11', '8', '5']",A,elementary_mathematics,B) 11
Bittaa gaariin isa kami?,"['Saamunaa 10 $23.20n', 'Saamunaa 16 $36.48n', 'Saamunaa 13 $29.51n', 'Saamunaa 12 $27.60n']",C,elementary_mathematics,"Bittaa gaariin isa kan saamunaa 10 $23.20n yoo ta'e, saamunaa tokko $2.32n bittaa gaariin isaa kan ta'e. Kanaaf, saamunaa 16 $36.48n, saamunaa 13 $29.51n, fi saamunaa 12 $27.60n kanneen bittaa gaariin isaanii kan saamunaa tokko $2.32n miti, kanaaf isa kamiin A) Saamunaa 10 $23.20n."
Dha’annaan onnee Trish yeroo boqonnaa daqiiqaa tokkotti dha’annaa 50 dha. Daqiiqaa sochii qaamaa gootu hundaaf dha'annaan onnee ishee daqiiqaa tokkotti dha'annaa 5 dabalaa deema. Daqiiqaa tokkotti dha'annaa onnee 120 ga'uuf yeroo hangamii ishee fudhata?,"['Daqiiqaa 5', 'Daqiiqaa 14', 'Daqiiqaa 34', 'Daqiiqaa 70']",B,elementary_mathematics,B) Daqiiqaa 14
"Midiyaaniin ykn Gidduugaleessa tuuta daataa kanaa barbaadi 23, 13, 18, 29, 32, 25.","['18', '24', '25', '29']",B,elementary_mathematics,"Daataa kana keessaa, 18, 25, 29, 32 kanneen keessaa tokko tokko 7n xumurama. 23, 13, 18 kanneen keessaa tokko tokko 5n xumurama. Kanneen keessaa tokko tokko 7n fi 5n xumuramaa jiranii 23, 18, 25, 29, 32 kanneen keessaa tokko tokko 4n xumurama. Kanaaf, daataa kanaa barbaadi 24. Jechi kunis, 24 kanneen keessaa tokko tokko 7n, 5n fi 4n xumurama. Kanaaf, jawaabni A) 18 miti. Jawaabni B) 24."
"Jaak muka appilii tokko irraa appilii 60 fudhate. Isaan keessaa 12 fayyadamee suugoo applilii  hojjeta. Inni applilii hafe walqixa korojoo kennaa 6 keessa kaa'a. Lakkoofsa appilii, a, kan Jaak tokkoon tokkoon korojoo kennaa keessa kaa’u murteessuuf hima walqixaa kam fayyadamuu danda'ama?","['(60/6)—12=a', '(60—12)/6=a', '(60-6)-12=a', '(60+12)/6=a']",B,elementary_mathematics,B) (60—12)/6=a
Kaartaan murtaa'e tokko iskeelii inchii 1 maayilii 25 wajjiin wal qixa fayyadama. Kaartaa kana irratti maayiliiwwan meeqa inchii 5n bakka bu'a?,"['5', '25', '50', '125']",D,elementary_mathematics,C) 50
(2 + 5)^2 − 42 salphisi,"['7', '16', '30', '33']",A,elementary_mathematics,"The term ""salphisi"" does not have a mathematical meaning. However, if we ignore this term and just calculate the rest of the expression, we get:

(2 + 5)^2 − 42 = 7^2 - 42 = 49 - 42 = 7

So, the answer would be A) 7."
