premise,hypothesis,label,output
"I hadn't even thought about that, but I was worried and finally talked to him again",I never spoke to him again,contradiction,Contradiction
"I hadn't even thought about that, but I was worried and finally talked to him again",I was so angry that I started to talk to him,entailment,Contradiction
"I hadn't even thought about that, but I was worried and finally talked to him again",We spoke well,neutral,Neutral
They told me that they were going to call the last man I would meet,I've never been told who to meet,contradiction,Contradiction
They told me that they were going to call the last man I would meet,I was told that a man would be called to meet us,entailment,Neutral
They told me that they were going to call the last man I would meet,The man arrived late,neutral,Neutral
"There's a lot to talk about, I'll skip that.",I want to tell you everything I know about it.,contradiction,Contradiction
"There's a lot to talk about, I'll skip that.","I can't talk about that, although I have a lot to say",entailment,Entailment
"There's a lot to talk about, I'll skip that.",I will not talk about the history of the city because there is so much to tell,neutral,Entailment
I'm not sure why,I'm sure the reason,contradiction,Contradiction
I'm not sure why,I don't know why they were transferred to schools,neutral,Neutral
I'm not sure why,I don't know why that happened.,entailment,Entailment
"I was the only one working on the controls, checking the small high holes",I didn't want to be the only one using the test controls,neutral,Contradiction
"I was the only one working on the controls, checking the small high holes",Tests were carried out at small elevations,entailment,Neutral
"I was the only one working on the controls, checking the small high holes",Few of us rushed to the controls to check,contradiction,Contradiction
"Retired Chief, as told by Rick",Still working to this day,contradiction,Contradiction
"Retired Chief, as told by Rick",I retired in 2002,neutral,Neutral
"Retired Chief, as told by Rick",Rick told you I retired,entailment,Entailment
"There were cash receipts on my desk, so Cutty, the customer's name,","Client Cutty makes $10,000 a month",neutral,Neutral
"There were cash receipts on my desk, so Cutty, the customer's name,",There's a customer named Cutty,entailment,Entailment
"There were cash receipts on my desk, so Cutty, the customer's name,",We don't have a customer named Cutty,contradiction,Contradiction
The girl I helped runs out of town,The girl I need help with lives far away,entailment,Contradiction
The girl I helped runs out of town,A girl to help me lives 5 miles away,neutral,Contradiction
The girl I helped runs out of town,No one can help me,contradiction,Contradiction
"They were divided as to who would work in the fields and who would be the children of the household, something like",All agreed to work in the fields,contradiction,Contradiction
"They were divided as to who would work in the fields and who would be the children of the household, something like",They could not agree on who would go in the field and who would be willing to work from home,entailment,Entailment
"They were divided as to who would work in the fields and who would be the children of the household, something like",They could not agree on who would work in the cotton field and who would leave the ground,neutral,Entailment
"They had five children, one of whom died",All their children survived,contradiction,Contradiction
"They had five children, one of whom died",One child died out of five,entailment,Entailment
"They had five children, one of whom died",The baby who died was born sick,neutral,Neutral
"She said with tears in her eyes she said again, then she said to Joe he came to the entrance",Tears in her eyes when she told him to come to the entrance,entailment,Entailment
"She said with tears in her eyes she said again, then she said to Joe he came to the entrance",She quickly wiped away tears as she threw Joe into the lobby,contradiction,Contradiction
"She said with tears in her eyes she said again, then she said to Joe he came to the entrance",She was so happy to see Joe that she began to cry,neutral,Contradiction
I was even told that the plane was on fire and would melt and come out with a metal lid to release the heat,Heat can also be maintained during a fire,neutral,Neutral
I was even told that the plane was on fire and would melt and come out with a metal lid to release the heat,Heat can explode in a piece of metal after a plane burns,entailment,Neutral
I was even told that the plane was on fire and would melt and come out with a metal lid to release the heat,heat will not escape during a fire,contradiction,Contradiction
"This is Major Clem Francis, retired U.S. Air Force",King retired from the US Air Force,entailment,Contradiction
"This is Major Clem Francis, retired U.S. Air Force",Sir just retired a few weeks ago,neutral,Contradiction
"This is Major Clem Francis, retired U.S. Air Force",The US Air Force Chief began his duties this week,contradiction,Contradiction
There are two or three planes arriving a week and I don't know where they are flying,More than one flight arrives each week,entailment,Entailment
There are two or three planes arriving a week and I don't know where they are flying,Increasing air traffic is a problem,neutral,Neutral
There are two or three planes arriving a week and I don't know where they are flying,No planes are landing,contradiction,Contradiction
Then they've done their training at full pressure and it took me a while to get to full pressure.,It takes three months to complete training in the use of full-pressure pumps,neutral,Neutral
Then they've done their training at full pressure and it took me a while to get to full pressure.,Training with full-strength pumps takes time,entailment,Entailment
Then they've done their training at full pressure and it took me a while to get to full pressure.,We can get you trained to use full pressure settings at the end of the day,contradiction,Neutral
"I mean, there was no danger of going in with a bomb because it wouldn't explode no matter how hard it hit the ground,",Bomb extinguished by pilot,neutral,Contradiction
"I mean, there was no danger of going in with a bomb because it wouldn't explode no matter how hard it hit the ground,",The bomb had no chance of detonating,entailment,Entailment
"I mean, there was no danger of going in with a bomb because it wouldn't explode no matter how hard it hit the ground,",There was a great danger of a bomb explosion,contradiction,Contradiction
How does it look like what I'm trying to do,I'm not sure what it looks like for you,contradiction,Neutral
How does it look like what I'm trying to do,Apparently I'm trying to do this,entailment,Entailment
How does it look like what I'm trying to do,Trying to finish my project next week,neutral,Neutral
"But of course, animals are always loose, especially goats",Goats jump out of the shed every day,neutral,Neutral
"But of course, animals are always loose, especially goats",Goats always run away,entailment,Neutral
"But of course, animals are always loose, especially goats",The goats were kept safe and protected,contradiction,Contradiction
The doors were locked when we entered,All the doors were open,contradiction,Contradiction
The doors were locked when we entered,The keys were with us,neutral,Neutral
The doors were locked when we entered,We entered even though the doors were locked,entailment,Entailment
So I had to take the total and try and see that way,I feel confident that the perfect is what I need to get it all right,neutral,Neutral
So I had to take the total and try and see that way,I have no idea what to do completely just please give me more information so I can find a solution to the problem,contradiction,Contradiction
So I had to take the total and try and see that way,I will count you from the beginning to the end,entailment,Neutral
And that's a lot of the truth that mothers take drugs.,Mothers take drugs,neutral,Entailment
And that's a lot of the truth that mothers take drugs.,Mothers prescriptions or drugs,contradiction,Neutral
And that's a lot of the truth that mothers take drugs.,Mothers take drugs,entailment,Entailment
yeah it's nice if it rains,I have no problem with the rain,neutral,Entailment
yeah it's nice if it rains,Nice and rainy,entailment,Neutral
yeah it's nice if it rains,Worse than this never-ending day,contradiction,Neutral
oh how much does human health cost and whether or not you can improve human health,All lives deserve a transplant or a second chance,neutral,Neutral
oh how much does human health cost and whether or not you can improve human health,No one deserves to be taught a moral code,contradiction,Neutral
oh how much does human health cost and whether or not you can improve human health,Without moral reinforcement what is health worth?,entailment,Neutral
oh boy has a problem where unusual electrical wiring,I've never seen this kind of electrical wiring problem before.,neutral,Neutral
oh boy has a problem where unusual electrical wiring,Connecting electrical wires is not a problem,contradiction,Contradiction
oh boy has a problem where unusual electrical wiring,There is a problem with this unusual electrical wiring,entailment,Entailment
"Sounds very nice, yes it's amazing to me that they don't try things they allow",I am not surprised that they were sympathetic,contradiction,Contradiction
"Sounds very nice, yes it's amazing to me that they don't try things they allow",I'm surprised they let you bring food and drinks here,neutral,Neutral
"Sounds very nice, yes it's amazing to me that they don't try things they allow",I'm amazed they survived,entailment,Neutral
oh but then my kids are twenty-one and twenty-one so you shouldn't,Not because my children are in their 20's.,entailment,Entailment
oh but then my kids are twenty-one and twenty-one so you shouldn't,Maybe I should do it because their age is close,neutral,Neutral
oh but then my kids are twenty-one and twenty-one so you shouldn't,Must be because they're both ten and eleven years old,contradiction,Contradiction
"Of course, people who can be at work at any time or at any time can be problematic when they have to make decisions.","Yes, humans may not be able to make good choices",entailment,Entailment
"Of course, people who can be at work at any time or at any time can be problematic when they have to make decisions.",Yes to people who may be hungry,neutral,Contradiction
"Of course, people who can be at work at any time or at any time can be problematic when they have to make decisions.","Yes, people with good decision-making skills don't have problems",contradiction,Contradiction
"No, they've been on the move since the sixties.",They have been traveling since before the 1970's,entailment,Entailment
"No, they've been on the move since the sixties.",I like to travel,neutral,Neutral
"No, they've been on the move since the sixties.",They have just completed their journey,contradiction,Contradiction
how to do aerobics?,How would you describe aerobics?,entailment,Neutral
how to do aerobics?,I'm interested in aerobics because I need to do something that will get the blood flowing properly to the heart,neutral,Neutral
how to do aerobics?,Please stop talking about aerobics,contradiction,Contradiction
Yeah that's good I never thought of,That bleak vision I gave up last week,contradiction,Neutral
Yeah that's good I never thought of,A good point is that,entailment,Neutral
Yeah that's good I never thought of,That's a good point.,neutral,Entailment
Day care two days a week is what seniors call day care but you go to a senior center,Day care is open every day for children under five years old only,contradiction,Contradiction
Day care two days a week is what seniors call day care but you go to a senior center,They let them come for more than two days if the older residents will allow it,neutral,Neutral
Day care two days a week is what seniors call day care but you go to a senior center,They call it an elder care day but it's called an elder center,entailment,Contradiction
that was their goal,That's what they've been interested in,entailment,Neutral
that was their goal,That's not what he wanted,contradiction,Contradiction
that was their goal,They Fulfilled Their Purpose,neutral,Neutral
controlling a gun means using both hands,Half of all sniper rifles are single-handed,neutral,Contradiction
controlling a gun means using both hands,How to move forward to control a gun using both feet,contradiction,Contradiction
controlling a gun means using both hands,Use both hands when training to handle a gun,entailment,Entailment
But it's coming from somewhere else I don't know where it came from,I don't know where it comes from but it's fast,entailment,Neutral
But it's coming from somewhere else I don't know where it came from,It comes fast but I think I know where it's coming from,neutral,Contradiction
But it's coming from somewhere else I don't know where it came from,"It comes like a thunderstorm, and I know exactly when it will come.",contradiction,Contradiction
no the truth is unfamiliar and I don't think,I don't know much about it,entailment,Entailment
no the truth is unfamiliar and I don't think,I don't care about the love affair,neutral,Neutral
no the truth is unfamiliar and I don't think,I've been reading it for years,contradiction,Contradiction
yes he was good you know him,I think you know you're amazing.,neutral,Neutral
yes he was good you know him,"No, he was lying.",contradiction,Contradiction
yes he was good you know him,Yes he did very well,entailment,Entailment
yes he suggested that he use the soap he likes to use,He suggested that a vacuum be bought,contradiction,Contradiction
yes he suggested that he use the soap he likes to use,He suggested that a pump be found,entailment,Contradiction
yes he suggested that he use the soap he likes to use,He wanted to clean the blood with soap,neutral,Neutral
It's really bad out here except there's been a ceasefire in three houses near our house,Shots fired at least 100 miles from where we live,contradiction,Contradiction
It's really bad out here except there's been a ceasefire in three houses near our house,The gunfire near the house made me afraid to go out the door,neutral,Neutral
It's really bad out here except there's been a ceasefire in three houses near our house,"There was a shooting near my house, it's not a good place",entailment,Entailment
truth is not always true,I don't agree with you there's always,contradiction,Contradiction
truth is not always true,I think you're right about that.,neutral,Neutral
truth is not always true,"You're right, it's not routine.",entailment,Neutral.
i try to be patient,I'm thinking about waiting,entailment,Neutral
i try to be patient,I'm trying my best,neutral,Neutral
i try to be patient,I'll leave it all behind and never look back,contradiction,Contradiction
Paving the way for the future of technology,We build forerunners for the technological future,entailment,Entailment
Paving the way for the future of technology,"We built the transmitters, so that the future could be handled by Al.",neutral,Neutral
Paving the way for the future of technology,We want to stop technology from succeeding,contradiction,Contradiction
"For example, at the top, everything in the gene turns pink.","Upper, only half of the gene turns pink",contradiction,Contradiction
"For example, at the top, everything in the gene turns pink.",Is it possible for genes to change color?,entailment,Neutral.
"For example, at the top, everything in the gene turns pink.",Sometimes the genes can turn blue again,neutral,Contradiction
Daniel Yamins is a brilliant mathematician,Mr. Yamins is an excellent mathematician,entailment,Entailment
Daniel Yamins is a brilliant mathematician,Mr. Yamins focuses on algebra and geometry,neutral,Neutral
Daniel Yamins is a brilliant mathematician,Mr. Yamins is a fine artist but a mathematician.,contradiction,Contradiction
"If so, do they tend to dig near the border?",I know travelers until near the border,contradiction,Neutral
"If so, do they tend to dig near the border?","I'm curious, they tend to be in England.",neutral,Neutral
"If so, do they tend to dig near the border?",The spokesman wanted to be made clear that they usually travel close to the border.,entailment,Neutral
"And there is, I think, molecular knowledge that the biosphere is continuing to rebuild itself in order to be able to survive in the process of expanding the genetic set.",Biophysics changes dramatically,entailment,Neutral
"And there is, I think, molecular knowledge that the biosphere is continuing to rebuild itself in order to be able to survive in the process of expanding the genetic set.",Biosphere changes with temperature,neutral,Neutral
"And there is, I think, molecular knowledge that the biosphere is continuing to rebuild itself in order to be able to survive in the process of expanding the genetic set.",Biophysics does not change,contradiction,Contradiction
