premise,hypothesis,label,output
"Tole, ani waa'ee sanaa illee yaadaa hin ture, garuu baay'een aare fi, ammas isa waliin haasa'ee xumure.",Isa waliin ammas hin dubbannen ture.,contradiction,False
"Tole, ani waa'ee sanaa illee yaadaa hin ture, garuu baay'een aare fi, ammas isa waliin haasa'ee xumure.",Baay'ee waanan mufadheef ammas isa waliin haasa'uu jalqabe.,entailment,False
"Tole, ani waa'ee sanaa illee yaadaa hin ture, garuu baay'een aare fi, ammas isa waliin haasa'ee xumure.",Haasaa baayyee bareedaa taasifneerra.,neutral,True
"Isaanis akkas naan jedhan, ah, akkan wal arguuf dhuma irratti gurbaa tokkoon akkan waamamu natti himan.",Nama kamiinuu wal arguuf homaa natti himamee hin beeku.,contradiction,True
"Isaanis akkas naan jedhan, ah, akkan wal arguuf dhuma irratti gurbaa tokkoon akkan waamamu natti himan.",Wal arguuf gurbaan tokko gara keessaatti anaaf akka waamamu natti himame.,entailment,True
"Isaanis akkas naan jedhan, ah, akkan wal arguuf dhuma irratti gurbaa tokkoon akkan waamamu natti himan.",Gurbaan sun xiqqoo turee mul'ate.,neutral,True
" Waan baay'ee waa’ee sanaa irratti dubbachuu dandeessu ni jira, calliseen irran darba.",Waa'ee sanaa waanan beeku hunda isinitti himuu barbaada!,contradiction,True
" Waan baay'ee waa’ee sanaa irratti dubbachuu dandeessu ni jira, calliseen irran darba.","Waanti baay'ee kan jedhamu jiraatus, waa'ee sanaa hin dubbadhu.",entailment,True
" Waan baay'ee waa’ee sanaa irratti dubbachuu dandeessu ni jira, calliseen irran darba.",Waa'ee seenaa magaalattii hin dubbadhu sababni isaas waanti jedhamu baay'ee waan ta'eef.,neutral,True
Kanaafuu ani dhuguma maaliif akka ta'e hin beeku.,Sababni maaliif akka ta'e ani shakkii tokko malee nan beeka.,contradiction,True
Kanaafuu ani dhuguma maaliif akka ta'e hin beeku.,Maaliif manneen barnootaa akka geeddare hin beeku.,neutral,True
Kanaafuu ani dhuguma maaliif akka ta'e hin beeku.,Maaliif sun akka ta'e hin beeku.,entailment,True
" Ana qofa ture kan ah, yoomiyyuu qorannaa gola olka'insa xiqqaa qabu keessatti to'ataa kanan banuuf.",Qorannoo kanaaf to'ataa kan banu ana qofa ta'uun natti hin tolle.,neutral,False
" Ana qofa ture kan ah, yoomiyyuu qorannaa gola olka'insa xiqqaa qabu keessatti to'ataa kanan banuuf.",Qorannoowwan gola olka’iinsa xiqqaa qabu keessatti raawwatamaniiru.,entailment,True
" Ana qofa ture kan ah, yoomiyyuu qorannaa gola olka'insa xiqqaa qabu keessatti to'ataa kanan banuuf.",Qorannoo kanaaf to'ataa kan banan muraasa keenya turre.,contradiction,True
"Ani ah, hoogganaa olaanaa Saajin, soorama ba'eera, akkuma Rick jedhe.",Ammas hanga har'aatti hojjechaan jira.,contradiction,Neither
"Ani ah, hoogganaa olaanaa Saajin, soorama ba'eera, akkuma Rick jedhe.",Bara 2002 soorama nan ba'e.,neutral,True
"Ani ah, hoogganaa olaanaa Saajin, soorama ba'eera, akkuma Rick jedhe.",Riik soorama akkan ba'e sitti himeera.,entailment,True
"Deeskii koo irratti tilmaama dhangala'aa maallaqaa tokko tokkotu jira fi, im, ah, kan akkasii fi akkasiitiif Cutty dha, maqaan maamilaa kanuma.",Maamilli Cutty jedhamu ji'atti doolaara 10000 hojjeta.,neutral,True
"Deeskii koo irratti tilmaama dhangala'aa maallaqaa tokko tokkotu jira fi, im, ah, kan akkasii fi akkasiitiif Cutty dha, maqaan maamilaa kanuma.",Maamilli Cutty jedhamu jira.,entailment,True
"Deeskii koo irratti tilmaama dhangala'aa maallaqaa tokko tokkotu jira fi, im, ah, kan akkasii fi akkasiitiif Cutty dha, maqaan maamilaa kanuma.",Nuyi maamila Cutty jedhamee waamamu kamiyyu hin qabnu.,contradiction,False
Intalli na gargaaruu dandeessu magaalaa gara gama biraatti qaxxaamurteetti.,Intalli ani gargaarsa irraa barbaadu kun fageenya dheeraa irra jiraatti.,entailment,True
Intalli na gargaaruu dandeessu magaalaa gara gama biraatti qaxxaamurteetti.,Intalti na gargaaruuf deemtu kun maayilii 5 fagaatti.,neutral,True
Intalli na gargaaruu dandeessu magaalaa gara gama biraatti qaxxaamurteetti.,Namni na gargaaruu danda'u tokkoyyu hin jiru.,contradiction,True
"Garuu waa'ee akka eenyu hojjetaa maasii fi eenyu ijoollee manaa akka ta'e addaan qoodamanii turan, gosa-- ture.",Isaan hundinuu maasii irratti akka hojjetan hundi isaanii walii galan.,contradiction,True
"Garuu waa'ee akka eenyu hojjetaa maasii fi eenyu ijoollee manaa akka ta'e addaan qoodamanii turan, gosa-- ture.",Isaan waa'ee Eenyu hojjetaa maasii akka ta'ee fi eenyu kan manaa akka ture irratti walii galuu hin dandeenye.,entailment,False
"Garuu waa'ee akka eenyu hojjetaa maasii fi eenyu ijoollee manaa akka ta'e addaan qoodamanii turan, gosa-- ture.",Eenyuutu maasii suufii keessa hojjechuu akka qabuu fi eenyutu lafa haxaa'uu akka qabu walii galuu hin dandeenye.,neutral,True
"Kana jechuun koo qabu turan, akka, isaan ijoollee shan qabu turan, isaan keessaa tokko du'eera.",Ijoolleen isaanii hundi lubbuun hafan.,contradiction,True
"Kana jechuun koo qabu turan, akka, isaan ijoollee shan qabu turan, isaan keessaa tokko du'eera.",Shanan keessaa daa'imni tokko du'eera.,entailment,False
"Kana jechuun koo qabu turan, akka, isaan ijoollee shan qabu turan, isaan keessaa tokko du'eera.",Mucaan du'e dhukkubsataa isaatu dhalate.,neutral,False
"Ija ishee irraa imimmaanonni gadi dhufaa akka turan qofa dubbattee, sana booda akkas jette Joo barandaa irratti ol dhufe.",Akkuma barandaa ol ba'uu itti himtu imimmaan ija ishee irraa calalaan.,entailment,True
"Ija ishee irraa imimmaanonni gadi dhufaa akka turan qofa dubbattee, sana booda akkas jette Joo barandaa irratti ol dhufe.",Joo barandaa irraa erga buuftee booda daftee imimmaan ishee haxaa'atte.,contradiction,True
"Ija ishee irraa imimmaanonni gadi dhufaa akka turan qofa dubbattee, sana booda akkas jette Joo barandaa irratti ol dhufe.",Joo argitee baayʼee waan gammaddeef booʼuu eegalte.,neutral,True
