	premise	hypothesis	label	llm
0	Yes, I hadn't thought about it, but I was annoyed, and, eventually, I stopped talking to him.	I never spoke to him again.	contradiction	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: Yes, I hadn't thought about it, but I was annoyed, and, eventually, I stopped talking to him.
HYPOTHESIS: I never spoke to him again.
Is it  entailment, contradiction, or neutral?

Answer: Neutral.

Explanation: The premise does not directly entail or contradict the hypothesis. The premise only provides additional context about the speaker's emotions and actions, but it does not logically follow from the premise that the speaker never spoke to the person again. Therefore, the relationship between the premise and the hypothesis is neutral."
1	Yes, I hadn't thought about it, but I was annoyed, and, eventually, I stopped talking to him.	I was so upset that I abruptly spoke to him again.	entailment	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: Yes, I hadn't thought about it, but I was annoyed, and, eventually, I stopped talking to him.
HYPOTHESIS: I was so upset that I abruptly spoke to him again.
Is it  entailment, contradiction, or neutral?

Answer: Neutral. The premise does not directly entail or contradict the hypothesis. The premise describes a situation where the speaker stopped talking to someone due to annoyance, but it does not directly address the hypothesis, which suggests that the speaker suddenly started talking to the person again due to upset. The premise and hypothesis are unrelated."
2	Yes, I hadn't thought about it, but I was annoyed, and, eventually, I stopped talking to him.	We had a very good conversation.	neutral	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: Yes, I hadn't thought about it, but I was annoyed, and, eventually, I stopped talking to him.
HYPOTHESIS: We had a very good conversation.
Is it  entailment, contradiction, or neutral?
Answer: Neutral. The premise does not directly entail or contradict the hypothesis. The premise only provides additional context about the speaker's feelings, which does not directly affect the likelihood of having a good conversation."
3	They told me, uh, that they would call me someone I would meet after all.	I wasn't told about my encounter with someone	contradiction	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: They told me, uh, that they would call me someone I would meet after all.
HYPOTHESIS: I wasn't told about my encounter with someone
Is it  entailment, contradiction, or neutral?

Answer: Neutral. The premise does not entail or contradict the hypothesis directly. It only provides additional information that may or may not be relevant to the hypothesis."
4	They told me, uh, that they would call me someone I would meet after all.	I was told that I would be summoned to meet a man.	entailment	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: They told me, uh, that they would call me someone I would meet after all.
HYPOTHESIS: I was told that I would be summoned to meet a man.
Is it  entailment, contradiction, or neutral?

Answer: Neutral

Explanation: The premise and hypothesis are similar but not identical, so they do not entail or contradict each other. The premise mentions ""someone I would meet after all"" which is not the same as ""a man"" mentioned in the hypothesis. Therefore, the relationship between the premise and hypothesis is neutral."
5	They told me, uh, that they would call me someone I would meet after all.	The man was late arriving.	neutral	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: They told me, uh, that they would call me someone I would meet after all.
HYPOTHESIS: The man was late arriving.
Is it  entailment, contradiction, or neutral? 

Answer: Neutral. The premise does not provide any information about the man's lateness, so it does not entail or contradict the hypothesis."
6	There's a lot more you could say about that but I'll skip it.	I want to tell you all that I have learned about them!	contradiction	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: There's a lot more you could say about that but I'll skip it.
HYPOTHESIS: I want to tell you all that I have learned about them!
Is it  entailment, contradiction, or neutral? 

Answer: Neutral. The premise does not directly address or contradict the hypothesis. It simply provides additional information that is not relevant to the hypothesis."
7	There's a lot more you could say about that but I'll skip it.	I won't talk about it, although there is much to talk about.	entailment	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: There's a lot more you could say about that but I'll skip it.
HYPOTHESIS: I won't talk about it, although there is much to talk about.
Is it  entailment, contradiction, or neutral?

Answer: Neutral. The premise and hypothesis are simply stating different things, they are not in contradiction or entailment with each other."
8	There's a lot more you could say about that but I'll skip it.	I won't talk about the history of the city because there is too much to talk about.	neutral	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: There's a lot more you could say about that but I'll skip it.
HYPOTHESIS: I won't talk about the history of the city because there is too much to talk about.
Is it  entailment, contradiction, or neutral?
Answer: Neutral. The premise and hypothesis are simply stating different ways of expressing the same idea, that there is too much to talk about."
9	However, I don't really know why.	I'm sure that's why.	contradiction	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: However, I don't really know why.
HYPOTHESIS: I'm sure that's why.
Is it  entailment, contradiction, or neutral?

Answer: Neutral. The premise and hypothesis do not logically entail or contradict each other. The premise simply acknowledges a lack of knowledge or understanding, while the hypothesis is a statement of confidence or certainty without any logical connection to the premise."
10	However, I don't really know why.	I don't know why he left the schools.	neutral	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: However, I don't really know why.
HYPOTHESIS: I don't know why he left the schools.
Is it  entailment, contradiction, or neutral?

Answer: Neutral. The premise and hypothesis are not related, so they do not entail or contradict each other."
11	However, I don't really know why.	I don't know why this happened	entailment	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: However, I don't really know why.
HYPOTHESIS: I don't know why this happened
Is it  entailment, contradiction, or neutral?

Answer: Neutral. The premise and hypothesis are identical, so they do not entail or contradict each other."
12	I'm the only one, oh, I've always used the controls for some of the air traffic controls.	I don't like to be the only one who observes the mechanics controlling the rate of operation of other space probes.	neutral	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: I'm the only one, oh, I've always used the controls for some of the air traffic controls.
HYPOTHESIS: I don't like to be the only one who observes the mechanics controlling the rate of operation of other space probes.
Is it  entailment, contradiction, or neutral?

Answer: Neutral. The premise and hypothesis are unrelated, as the premise mentions air traffic controls and space probes, which are different things entirely. The hypothesis specifically mentions the mechanics controlling the rate of operation of other space probes, which is not mentioned in the premise. Therefore, there is no entailment or contradiction between the two."
13	I'm the only one, oh, I've always used the controls for some of the air traffic controls.	Experiments carried out at the facility explore the proper navigation of space	entailment	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: I'm the only one, oh, I've always used the controls for some of the air traffic controls.
HYPOTHESIS: Experiments carried out at the facility explore the proper navigation of space
Is it  entailment, contradiction, or neutral? 

Answer: Neutral. The premise does not directly entail or contradict the hypothesis. The premise mentions the speaker's personal experience with air traffic controls, while the hypothesis is focused on space navigation. There is no logical connection between the two, so they are neutral with respect to each other."
14	I'm the only one, oh, I've always used the controls for some of the air traffic controls.	Only a few of us checked the controls of other machines.	contradiction	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: I'm the only one, oh, I've always used the controls for some of the air traffic controls.
HYPOTHESIS: Only a few of us checked the controls of other machines.
Is it  entailment, contradiction, or neutral?

Answer: Neutral. The premise does not provide any information that contradicts the hypothesis, and it does not entail the hypothesis either. The premise simply provides additional information about the speaker's actions, which do not necessarily imply anything about the actions of others."
15	I'm uh, Chief Master Sergeant, retired, as Rick said.	I am still working today	contradiction	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: I'm uh, Chief Master Sergeant, retired, as Rick said.
HYPOTHESIS: I am still working today
Is it  entailment, contradiction, or neutral? 

Answer: Neutral. The premise does not provide any information about the person's current employment status, so it does not entail or contradict the hypothesis directly."
16	I'm uh, Chief Master Sergeant, retired, as Rick said.	In 2002, I went on a hunger strike.	neutral	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: I'm uh, Chief Master Sergeant, retired, as Rick said.
HYPOTHESIS: In 2002, I went on a hunger strike.
Is it  entailment, contradiction, or neutral? 

Answer: Neutral. The premise does not directly contradict the hypothesis, but it does not provide any direct evidence to support it either. The premise simply provides additional information about the person's identity, which is not relevant to the hypothesis."
17	I'm uh, Chief Master Sergeant, retired, as Rick said.	Rick told you I'd be at lunch and sit down.	entailment	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: I'm uh, Chief Master Sergeant, retired, as Rick said.
HYPOTHESIS: Rick told you I'd be at lunch and sit down.
Is it  entailment, contradiction, or neutral?

Answer: Neutral. The premise does not directly entail or contradict the hypothesis. The premise provides additional information about the speaker's identity, while the hypothesis is focused on the speaker's location and actions."
18	There's a money order just pouring into my desk and, um, it's ink and ink Cutty, that's his client's name.	A customer named Cutty makes $10,000 a month	neutral	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: There's a money order just pouring into my desk and, um, it's ink and ink Cutty, that's his client's name.
HYPOTHESIS: A customer named Cutty makes $10,000 a month
Is it  entailment, contradiction, or neutral?

Answer: Neutral. The premise does not provide any information about Cutty's income, so it does not entail or contradict the hypothesis."
19	There's a money order just pouring into my desk and, um, it's ink and ink Cutty, that's his client's name.	There's a customer named Cutty.	entailment	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: There's a money order just pouring into my desk and, um, it's ink and ink Cutty, that's his client's name.
HYPOTHESIS: There's a customer named Cutty.
Is it  entailment, contradiction, or neutral?

Answer: Entailment. The premise provides additional information that supports the hypothesis, specifically that the customer's name is Cutty."
20	There's a money order just pouring into my desk and, um, it's ink and ink Cutty, that's his client's name.	We don't have a customer named Cutty.	contradiction	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: There's a money order just pouring into my desk and, um, it's ink and ink Cutty, that's his client's name.
HYPOTHESIS: We don't have a customer named Cutty.
Is it  entailment, contradiction, or neutral?"
21	The girl who can help me lives in the southern part of town.	The girl I want to help me lives far away.	entailment	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: The girl who can help me lives in the southern part of town.
HYPOTHESIS: The girl I want to help me lives far away.
Is it  entailment, contradiction, or neutral?

Answer: Neutral

Explanation: The premise and hypothesis are not directly related, so there is no entailment or contradiction. The premise mentions a specific location (the southern part of town), while the hypothesis is more general (lives far away). These two statements do not logically imply each other, so the answer is neutral."
22	The girl who can help me lives in the southern part of town.	The girl who will help me lives five miles from here.	neutral	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: The girl who can help me lives in the southern part of town.
HYPOTHESIS: The girl who will help me lives five miles from here.
Is it  entailment, contradiction, or neutral? 

Answer: Neutral

Explanation: The premise and hypothesis do not directly entail or contradict each other. The premise provides additional information about the location of the girl, while the hypothesis provides a more general statement about the distance from the current location. The two statements are not logically connected, so the relationship between them is neutral."
23	The girl who can help me lives in the southern part of town.	No one can help me.	contradiction	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: The girl who can help me lives in the southern part of town.
HYPOTHESIS: No one can help me.
Is it  entailment, contradiction, or neutral?

Answer: Neutral. The premise does not directly contradict the hypothesis, but it also does not entail it. The premise provides additional information about where the person who can help may live, but it does not logically follow that no one can help because of this information."
24	But they were divided as to whether they were farm workers or domestic workers, as it were.	They all agreed to work in the fields.	contradiction	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: But they were divided as to whether they were farm workers or domestic workers, as it were.
HYPOTHESIS: They all agreed to work in the fields.
Is it  entailment, contradiction, or neutral?

Answer: Neutral. The premise and hypothesis are not related as the premise only provides information about the individuals' confusion regarding their job titles, while the hypothesis states that they all agreed to work in the fields."
