Unnamed: 0	question	answer	llm	verbalized
0	Janet's parents are celebrating on Sunday, November 16th. In the morning, they eat three cookies and use the rest to make muffins for their friends. The rest, she sells the next day for her chicken soup that she purchased 2 pounds of a new chicken. How much (in dollars) will she make the next day for her chicken soup?	18	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Janet's parents are celebrating on Sunday, November 16th. In the morning, they eat three cookies and use the rest to make muffins for their friends. The rest, she sells the next day for her chicken soup that she purchased 2 pounds of a new chicken. How much (in dollars) will she make the next day for her chicken soup?
<eos>
<|assistant|>
I'm sorry, I cannot answer this question as it is not a valid question in the African language. Please rephrase your question or provide a different prompt.<eos>"	2
1	one piece of clothing requires two layers of thin fabric and half the amount of white fabric. how many layers of fabric do we need for the whole piece of clothing	3	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
one piece of clothing requires two layers of thin fabric and half the amount of white fabric. how many layers of fabric do we need for the whole piece of clothing
<eos>
<|assistant|>
I'm sorry, as an AI language model, I cannot determine the exact amount of fabric needed for a whole piece of clothing without additional information. Please provide more details, such as the size and style of the garment, so I can assist you better.<eos>"	-1
2	Josh owns a home improvement business. He buys an 80,000-square-foot house and then invests $50,000 into the food business. The sale of the house increased the business by 150%. How much did the business benefit?	70000	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Josh owns a home improvement business. He buys an 80,000-square-foot house and then invests $50,000 into the food business. The sale of the house increased the business by 150%. How much did the business benefit?
<eos>
<|assistant|>
The business benefited by $75,000. The initial investment of $50,000 was increased by 50% (150% - 100%) to arrive at a total of $75,000.<eos>"	75000
3	Jacques runs 3 sprints 3 times a week. A typical sprint is 60 meters. All in all, he runs 4 meters a week.	540	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Jacques runs 3 sprints 3 times a week. A typical sprint is 60 meters. All in all, he runs 4 meters a week.
<eos>
<|assistant|>
I'm sorry, but I cannot provide a direct answer to your question as it appears to be a random statement without a clear context or question. Please provide more information or a specific query for me to assist you better.<eos>"	4
4	In order to protect the health of her chickens, Wendy gives them three bowls of peas mixed with herbs and herbs. She gives them three times a day. If she wants to give them another 25, she will give them the same amount of food at the end of the day, depending on the size of the chickens.	20	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
In order to protect the health of her chickens, Wendy gives them three bowls of peas mixed with herbs and herbs. She gives them three times a day. If she wants to give them another 25, she will give them the same amount of food at the end of the day, depending on the size of the chickens.
<eos>
<|assistant|>
As a language model, I cannot provide a direct translation of this text into an African language without further context. However, I can suggest that the text is about a woman named Wendy who is taking care of her chickens by feeding them a specific diet. She gives them three bowls of peas mixed with herbs and spices three times a day. If she wants to give them more food, she will give them the same amount at the end of the day, depending on the size of the chickens.<eos>"	25
5	Kylar borrowed money to buy months for the new house. One month is worth 5 pf but the second month she doesn't buy when she gets 60% of the stock. Kylar wants to buy 16 months. How much will it cost to buy them?	64	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Kylar borrowed money to buy months for the new house. One month is worth 5 pf but the second month she doesn't buy when she gets 60% of the stock. Kylar wants to buy 16 months. How much will it cost to buy them?
<eos>
<|assistant|>
Kufanele uqale ngokubala inani lemali eyaneleyo yokuthenga iminyaka emithathu. Njengoba iminyaka yokuqala ixabisa u-5 pf, iminyaka emithathu izakubiza u-15 pf. Kwesinye isithuba, uma uthola ibhonasi engaphezulu, ungathenga okuningi. Uma uthola ibhonasi elinganiselwe ku-60% yesitoko sakho, lokho kusho ukuthi ungathenga iminyaka emine (60% ye-16, okuyi-9.6) ngaphandle kokusebenzisa inani eliphelele. Ngakho-ke, imali ehlanganisiwe yokuthenga iminyaka emine izoba u-15 pf (eziminyaka emithathu ezayo) kanye ne-4.8 pf (okuthengwa ngokusebenzisa ibhonasi yakho). Lokhu kuzokunikeza inzuzo enkulu yokonga. Uma ungathanda ukwazi kabanzi noma uneminye imibuzo, ngicela ungazise.<eos>"	4
6	Toulouse has twice as many sheep as Charleston. Charleston has three times as many sheep as Seattle. If Seattle has 20 sheep, how many sheep does Toulouse have, Charleston and Seattle combined?	260	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Toulouse has twice as many sheep as Charleston. Charleston has three times as many sheep as Seattle. If Seattle has 20 sheep, how many sheep does Toulouse have, Charleston and Seattle combined?
<eos>
<|assistant|>
Toulouse has 20 times as many sheep as Seattle (since Toulouse has twice as many sheep as Seattle and Seattle has 20 sheep). 

Therefore, Toulouse has 20 x 20 = 400 sheep.

Combined, Toulouse, Charleston, and Seattle have 400 + 20 x 3 = 400 + 60 = 460 sheep.<eos>"	460
7	Carla is taking a 200GB file, removing the 2GB memory that occupies about 40% of the image, and Windows asks her to do some reworking. This takes about 20 minutes. Carla has to restart the image and start from scratch. How long does it take to recover the entire file?	160	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Carla is taking a 200GB file, removing the 2GB memory that occupies about 40% of the image, and Windows asks her to do some reworking. This takes about 20 minutes. Carla has to restart the image and start from scratch. How long does it take to recover the entire file?
<eos>
<|assistant|>
I'm sorry, but as an AI language model, I cannot provide an accurate answer to this question as there is not enough information about the specific file and system being used.<eos>"	20
8	Jean drives for 3 hours at a speed of 60mph, then turns around and doesn't realize that she's forgotten something important at home. She tries to get home at 4 hours, but it takes her two hours to get home because of a car accident. Half an hour later, she runs at 30mph and drives at 80mph at 4 hours. What is the distance between her home and home if the 4 hours are right?	45	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
Jean drives for 3 hours at a speed of 60mph, then turns around and doesn't realize that she's forgotten something important at home. She tries to get home at 4 hours, but it takes her two hours to get home because of a car accident. Half an hour later, she runs at 30mph and drives at 80mph at 4 hours. What is the distance between her home and home if the 4 hours are right?
<eos>
<|assistant|>
I'm sorry, but I cannot answer this question without additional information about the distance between Jean's home and the location of the car accident.<eos>"	4
9	If a worker works 40 hours a week, Elisa's hourly wage is 10 pf and she earns the same amount of energy for the hours she works per month. If a worker works 45 hours a week, how much is her hourly wage?	460	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Answer only. 
If a worker works 40 hours a week, Elisa's hourly wage is 10 pf and she earns the same amount of energy for the hours she works per month. If a worker works 45 hours a week, how much is her hourly wage?
<eos>
<|assistant|>
I cannot perform calculations. however, if a worker works 45 hours a week and their hourly wage is the same as someone who works 40 hours a week and earns 10 pf per hour, then their monthly energy earnings would be 45 hours x 10 pf per hour = 450 pf per month.<eos>"	450
