	premise	hypothesis	label	llm
0	I was one of, uh, the only ones to use the PONA regulator, a test chamber for altitude	I'm the commander-in-chief of a large army, so I'm going to resign, says Rick	contradiction	<pad> neutral</s>
1	I was one of, uh, the only ones to use the PONA regulator, a test chamber for altitude	he says it was just a paintbrush someone could read his eyes PE says, then he says that joe is	entailment	<pad> neutral</s>
2	I was one of, uh, the only ones to use the PONA regulator, a test chamber for altitude	as Martha said on the porch, she put a paintbrush in her eyes	neutral	<pad> neutral</s>
3	I'm going to burn you, I'm going to burn you, I'm going to burn you, I'm going to burn you, I'm going to burn you	they had exercised PONT pressure suits AND got ME while you wore them	contradiction	<pad> neutral</s>
4	I'm going to burn you, I'm going to burn you, I'm going to burn you, I'm going to burn you, I'm going to burn you	It takes about three months to learn how to use a full space suit.	entailment	<pad> neutral</s>
5	I'm going to burn you, I'm going to burn you, I'm going to burn you, I'm going to burn you, I'm going to burn you	I told Tina that I only want to see the totals so that I can solve this problem	neutral	<pad> neutral</s>
6	they believe ME, sir, they told ME everything about it	They told you that I know everything that's going on	contradiction	<pad> neutral</s>
7	they believe ME, sir, they told ME everything about it	it's the death of that inspector When they told me	entailment	<pad> neutral</s>
8	they believe ME, sir, they told ME everything about it	There's a lot of fake names That I've been told	neutral	<pad> neutral</s>
9	The noise was bothering Captain Blood in his disturbing dreams	Captain Blood had a remarkable ability to remember things that made him sad to find.	contradiction	<pad> neutral</s>
10	The noise was bothering Captain Blood in his disturbing dreams	Captain Blood's thoughts were interrupted by the noise	neutral	<pad> neutral</s>
11	The noise was bothering Captain Blood in his disturbing dreams	the cry of the puppy woke the captain up in his mind	entailment	<pad> neutral</s>
12	you supported ME well when I was in umbu in barbade	There, no more than three feet away, was the ground, an uneven wall of lush greenery filled the horizon.	neutral	<pad> neutral</s>
13	you supported ME well when I was in umbu in barbade	luxurious landscapes were seen	entailment	<pad> neutral</s>
14	you supported ME well when I was in umbu in barbade	the chief is one of the people sent, i am one of them	contradiction	<pad> neutral</s>
