	premise	hypothesis	label	llm
0	Honestly, I never thought about it, but I was so shocked, I ended up talking to him again.	I didn't talk to him anymore	contradiction	<pad> contradiction</s>
1	Honestly, I never thought about it, but I was so shocked, I ended up talking to him again.	It was heartbreaking to talk to him again	entailment	<pad> entailment</s>
2	Honestly, I never thought about it, but I was so shocked, I ended up talking to him again.	A Successful Conversation	neutral	<pad> entailment</s>
3	They told me, uh, that they're going to call the guy we graduated from to meet me.	They never told me anything about dating.	contradiction	<pad> contradiction</s>
4	They told me, uh, that they're going to call the guy we graduated from to meet me.	I was told that a young man would be called to meet me	entailment	<pad> entailment</s>
5	They told me, uh, that they're going to call the guy we graduated from to meet me.	A Young Man Who Arrived Late	neutral	<pad> entailment</s>
6	There's a lot you can say about that, but I'll skip it.	I want to tell you everything I've been through.	contradiction	<pad> entailment</s>
7	There's a lot you can say about that, but I'll skip it.	I'm not going to talk about it, although there's a lot to talk about.	entailment	<pad> entailment</s>
8	There's a lot you can say about that, but I'll skip it.	I don't talk about the history of the city because there is so much to talk about.	neutral	<pad> entailment</s>
9	So I don't know why	I know exactly why.	contradiction	<pad> entailment</s>
10	So I don't know why	I don't know why he changed schools	neutral	<pad> entailment</s>
11	So I don't know why	I don't know why this happened.	entailment	<pad> entailment</s>
12	I'm the only one, uh, who's ever done a home inspection, an exam in a tiny little room	I didn't like being the only one supervising the exams	neutral	<pad> entailment</s>
13	I'm the only one, uh, who's ever done a home inspection, an exam in a tiny little room	Fireworks made in tiny rooms	entailment	<pad> entailment</s>
14	I'm the only one, uh, who's ever done a home inspection, an exam in a tiny little room	A few of us were responsible for overseeing the production of the incense	contradiction	<pad> entailment</s>
15	I'm, uh, CEO Serija, he resigned, as Rick said.	Still working to this day	contradiction	<pad> entailment</s>
16	I'm, uh, CEO Serija, he resigned, as Rick said.	Retired in 2002	neutral	<pad> entailment</s>
17	I'm, uh, CEO Serija, he resigned, as Rick said.	Rick told you that I quit.	entailment	<pad> entailment</s>
18	There's money waiting on my desk and, um, uh, it's for the Cutty family, that's the name of the client.	A client named Cutty earns $10,000 a month	neutral	<pad> entailment</s>
19	There's money waiting on my desk and, um, uh, it's for the Cutty family, that's the name of the client.	This customer is called Cutty	entailment	<pad> entailment</s>
