Unnamed: 0	premise	hypothesis	label	llm	verbalized
0	Enyo, nyemen,o esia ŋu bum hã o, evɔ nyemekpɔ ŋudzedze o, eye megava dze nuƒoƒo kplii.	Nyemegaƒo nu ake o.	contradiction	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: Enyo, nyemen,o esia ŋu bum hã o, evɔ nyemekpɔ ŋudzedze o, eye megava dze nuƒoƒo kplii.
HYPOTHESIS: Nyemegaƒo nu ake o.
Is it  entailment, contradiction, or neutral?"	neutral
1	Enyo, nyemen,o esia ŋu bum hã o, evɔ nyemekpɔ ŋudzedze o, eye megava dze nuƒoƒo kplii.	Medo domedzui ale gbegbe be ɖeko megadze nuƒoƒo kpliie nye esia.	entailment	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: Enyo, nyemen,o esia ŋu bum hã o, evɔ nyemekpɔ ŋudzedze o, eye megava dze nuƒoƒo kplii.
HYPOTHESIS: Medo domedzui ale gbegbe be ɖeko megadze nuƒoƒo kpliie nye esia.
Is it  entailment, contradiction, or neutral?"	neutral
2	Enyo, nyemen,o esia ŋu bum hã o, evɔ nyemekpɔ ŋudzedze o, eye megava dze nuƒoƒo kplii.	Mǐhe nya vevie ŋutɔ.	neutral	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: Enyo, nyemen,o esia ŋu bum hã o, evɔ nyemekpɔ ŋudzedze o, eye megava dze nuƒoƒo kplii.
HYPOTHESIS: Mǐhe nya vevie ŋutɔ.
Is it  entailment, contradiction, or neutral?"	neutral
3	Wogblɔ nam be le nuwuwu la, woakplɔ ame aɖe si mado go la vɛ nam.	Womegblɔ nam be mado go ame aɖeke kpɔ o.	contradiction	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: Wogblɔ nam be le nuwuwu la, woakplɔ ame aɖe si mado go la vɛ nam.
HYPOTHESIS: Womegblɔ nam be mado go ame aɖeke kpɔ o.
Is it  entailment, contradiction, or neutral? 

Please provide your answer in the format:

Answer: [ENTAILMENT/CONTRADICTION/NEUTRAL]

Thank you!"	neutral
4	Wogblɔ nam be le nuwuwu la, woakplɔ ame aɖe si mado go la vɛ nam.	Wogblɔ nam be woyɔ ɖekakpui aɖe si ado go kplim.	entailment	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: Wogblɔ nam be le nuwuwu la, woakplɔ ame aɖe si mado go la vɛ nam.
HYPOTHESIS: Wogblɔ nam be woyɔ ɖekakpui aɖe si ado go kplim.
Is it  entailment, contradiction, or neutral?

Neutral.

The premise does not provide sufficient information to either entail or contradict the hypothesis. The premise simply states that Wogblɔ nam be le nuwuwu la, and the hypothesis states that Wogblɔ nam be woyɔ ɖekakpui aɖe si ado go kplim. There is no direct connection between the two statements, so they are neutral with respect to each other."	neutral
5	Wogblɔ nam be le nuwuwu la, woakplɔ ame aɖe si mado go la vɛ nam.	Ɖekakpui la tsi megbe vie hafi va.	neutral	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: Wogblɔ nam be le nuwuwu la, woakplɔ ame aɖe si mado go la vɛ nam.
HYPOTHESIS: Ɖekakpui la tsi megbe vie hafi va.
Is it  entailment, contradiction, or neutral?"	neutral
6	Nu sɔgbɔ li si ŋu nate ŋu ƒo nu le ale gbegbe be, ɖeko mabe esia nenɔ anyi boŋu.	Adzrom be magblɔ nu siwo katã menya ku ɖe eŋu la na wò.	contradiction	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: Nu sɔgbɔ li si ŋu nate ŋu ƒo nu le ale gbegbe be, ɖeko mabe esia nenɔ anyi boŋu.
HYPOTHESIS: Adzrom be magblɔ nu siwo katã menya ku ɖe eŋu la na wò.
Is it  entailment, contradiction, or neutral?

Please note that the language used in the premise and hypothesis is Ga, a language spoken in Ghana."	neutral
7	Nu sɔgbɔ li si ŋu nate ŋu ƒo nu le ale gbegbe be, ɖeko mabe esia nenɔ anyi boŋu.	Nyemele nya aɖeke gblɔ ge ku ɖe ŋu o, to egbɔ be nu sɔgbɔ lii si ŋu miake ɖo hafi.	entailment	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: Nu sɔgbɔ li si ŋu nate ŋu ƒo nu le ale gbegbe be, ɖeko mabe esia nenɔ anyi boŋu.
HYPOTHESIS: Nyemele nya aɖeke gblɔ ge ku ɖe ŋu o, to egbɔ be nu sɔgbɔ lii si ŋu miake ɖo hafi.
Is it  entailment, contradiction, or neutral?"	neutral
8	Nu sɔgbɔ li si ŋu nate ŋu ƒo nu le ale gbegbe be, ɖeko mabe esia nenɔ anyi boŋu.	Nyemagblɔ dugãa ƒe ŋutinya o elabena nu sɔgbɔ lii woagblɔ ku ɖe eŋu.	neutral	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: Nu sɔgbɔ li si ŋu nate ŋu ƒo nu le ale gbegbe be, ɖeko mabe esia nenɔ anyi boŋu.
HYPOTHESIS: Nyemagblɔ dugãa ƒe ŋutinya o elabena nu sɔgbɔ lii woagblɔ ku ɖe eŋu.
Is it  entailment, contradiction, or neutral? 

Please help me out."	neutral
9	Eya ta nyemenya nu si tae tututu o.	Menye nu si ta wòdzɔ ɖo.	contradiction	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: Eya ta nyemenya nu si tae tututu o.
HYPOTHESIS: Menye nu si ta wòdzɔ ɖo.
Is it  entailment, contradiction, or neutral?"	neutral
10	Eya ta nyemenya nu si tae tututu o.	Nyemenya nu si ta wòɖoli suku ɖo o.	neutral	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: Eya ta nyemenya nu si tae tututu o.
HYPOTHESIS: Nyemenya nu si ta wòɖoli suku ɖo o.
Is it  entailment, contradiction, or neutral? "	neutral
11	Eya ta nyemenya nu si tae tututu o.	Nyemenya nu si ta wòɖoli suku ɖo o.	entailment	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: Eya ta nyemenya nu si tae tututu o.
HYPOTHESIS: Nyemenya nu si ta wòɖoli suku ɖo o.
Is it  entailment, contradiction, or neutral?"	neutral
12	Nye ɖeka koe tea ŋu nana euh, nuɖɔɖomɔa zɔ̃na na, na xɔ fafɛ me dodokpɔa.	Medoa dzidzɔ nam be nye ɖeka koe tea ŋu zãna nuɖɔɖomɔa hena dodokpɔawo.	neutral	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: Nye ɖeka koe tea ŋu nana euh, nuɖɔɖomɔa zɔ̃na na, na xɔ fafɛ me dodokpɔa.
HYPOTHESIS: Medoa dzidzɔ nam be nye ɖeka koe tea ŋu zãna nuɖɔɖomɔa hena dodokpɔawo.
Is it  entailment, contradiction, or neutral?"	neutral
