	premise	hypothesis	label	llm
0	I was one of, uh, the only ones to use the PONA regulator, a test chamber for altitude	I'm the commander-in-chief of a large army, so I'm going to resign, says Rick	contradiction	<pad> entailment</s>
1	I was one of, uh, the only ones to use the PONA regulator, a test chamber for altitude	he says it was just a paintbrush someone could read his eyes PE says, then he says that joe is	entailment	<pad> contradiction</s>
2	I was one of, uh, the only ones to use the PONA regulator, a test chamber for altitude	as Martha said on the porch, she put a paintbrush in her eyes	neutral	<pad> entailment</s>
3	I'm going to burn you, I'm going to burn you, I'm going to burn you, I'm going to burn you, I'm going to burn you	they had exercised PONT pressure suits AND got ME while you wore them	contradiction	<pad> entailment</s>
4	I'm going to burn you, I'm going to burn you, I'm going to burn you, I'm going to burn you, I'm going to burn you	It takes about three months to learn how to use a full space suit.	entailment	<pad> entailment</s>
5	I'm going to burn you, I'm going to burn you, I'm going to burn you, I'm going to burn you, I'm going to burn you	I told Tina that I only want to see the totals so that I can solve this problem	neutral	<pad> entailment</s>
6	they believe ME, sir, they told ME everything about it	They told you that I know everything that's going on	contradiction	<pad> entailment</s>
7	they believe ME, sir, they told ME everything about it	it's the death of that inspector When they told me	entailment	<pad> entailment</s>
8	they believe ME, sir, they told ME everything about it	There's a lot of fake names That I've been told	neutral	<pad> entailment</s>
9	The noise was bothering Captain Blood in his disturbing dreams	Captain Blood had a remarkable ability to remember things that made him sad to find.	contradiction	<pad> entailment</s>
10	The noise was bothering Captain Blood in his disturbing dreams	Captain Blood's thoughts were interrupted by the noise	neutral	<pad> entailment</s>
11	The noise was bothering Captain Blood in his disturbing dreams	the cry of the puppy woke the captain up in his mind	entailment	<pad> entailment</s>
12	you supported ME well when I was in umbu in barbade	There, no more than three feet away, was the ground, an uneven wall of lush greenery filled the horizon.	neutral	<pad> entailment</s>
13	you supported ME well when I was in umbu in barbade	luxurious landscapes were seen	entailment	<pad> entailment</s>
14	you supported ME well when I was in umbu in barbade	the chief is one of the people sent, i am one of them	contradiction	<pad> entailment</s>
15	The king sent ME here a week ago from Naya	I don't take orders from a carpenter	contradiction	<pad> contradiction</s>
16	The king sent ME here a week ago from Naya	I had to give it to you, or else I'd accept it, he said	neutral	<pad> entailment</s>
17	The king sent ME here a week ago from Naya	I don't think he was supposed to give you anything	entailment	<pad> contradiction</s>
18	he owed you money. choose the kind of help you gave him when he was begging for money.	Blood didn't take any of Tina's dreams away from her.	neutral	<pad> entailment</s>
19	he owed you money. choose the kind of help you gave him when he was begging for money.	Blood was chewing the food that she ate when she was lying on the bed	entailment	<pad> entailment</s>
20	he owed you money. choose the kind of help you gave him when he was begging for money.	Blood started to think hard about the last time he saw his mother	contradiction	<pad> entailment</s>
21	yes, then, I will tell you about it	very good, I'll tell you about it	entailment	<pad> entailment</s>
22	yes, then, I will tell you about it	Keeping My Mouth Shut	neutral	<pad> entailment</s>
23	yes, then, I will tell you about it	it's just a dream you've been dreaming of you won't tell anyone about it I'll tell you about it	contradiction	<pad> entailment</s>
24	In What Way?	Somebody will ask why he's gone	contradiction	<pad> entailment</s>
25	In What Way?	the interviewer is alone AND there is no one to talk to	entailment	<pad> entailment</s>
26	In What Way?	The person who is going to ask the question is in a hurry AND needs to know immediately where to go	neutral	<pad> entailment</s>
27	I don't give the royal commission to Pete	giving the king's commission does not violate morality	contradiction	<pad> entailment</s>
28	I don't give the royal commission to Pete	they thought more about the king's commission	entailment	<pad> contradiction</s>
29	I don't give the royal commission to Pete	I have laid the foundation In the mandate I choose to give the commission To the king I will find the reason to choose it	neutral	<pad> entailment</s>
30	he realized that he would have to hurry back	he realized that he had a whole day BEFORE he resigned	entailment	<pad> entailment</s>
31	he realized that he would have to hurry back	sensed the urgency of the situation	contradiction	<pad> entailment</s>
32	he realized that he would have to hurry back	if he had stayed somewhere we would have seen him	neutral	<pad> entailment</s>
33	he didn't want to kill as many people as he did three years ago	He spoke with enthusiasm about his adventures and personality	neutral	<pad> entailment</s>
34	he didn't want to kill as many people as he did three years ago	He used to talk sadly in his voice	entailment	<pad> entailment</s>
35	he didn't want to kill as many people as he did three years ago	I hope I've met your needs	contradiction	<pad> entailment</s>
36	In some birds PE is a boy	I read about your people and your culture	entailment	<pad> entailment</s>
37	In some birds PE is a boy	In the mountains there's not much snow between us	neutral	<pad> entailment</s>
38	In some birds PE is a boy	Covering his face By covering his cheeks covered his face	contradiction	<pad> entailment</s>
39	Her face was a little smiling	he felt a sharp pain in his stomach	entailment	<pad> entailment</s>
40	Her face was a little smiling	he has closed his eyes / closed his face	neutral	<pad> entailment</s>
41	Her face was a little smiling	He looked into the mirror, but when he saw her sad face, and didn't catch a glimpse of her on his forehead, his face changed	contradiction	<pad> entailment</s>
42	Her face was changed after I saw her face	Her face lit up when she saw her face darkened	neutral	<pad> entailment</s>
43	Her face was changed after I saw her face	he didn't know if he was in His anger	entailment	<pad> entailment</s>
44	Her face was changed after I saw her face	Walking slowly, he turned around the wall of cracks and passed the main gates of the fence	contradiction	<pad> entailment</s>
45	As the doors were bolted shut, he climbed up the wall and went down into the courtyard.	The main gates were the only entrance to the wall	neutral	<pad> entailment</s>
46	As the doors were bolted shut, he climbed up the wall and went down into the courtyard.	It was in the large gates that began to lead to the courtyard	entailment	<pad> entailment</s>
47	As the doors were bolted shut, he climbed up the wall and went down into the courtyard.	He was the sheriff who caught the thief	contradiction	<pad> entailment</s>
48	I am the king's emissary to the barbarian region of PE near the king's sunderland	Many states and local bureaus require additional audits	contradiction	<pad> entailment</s>
49	I am the king's emissary to the barbarian region of PE near the king's sunderland	Local bureaucrats are free to set their own rules	entailment	<pad> entailment</s>
50	I am the king's emissary to the barbarian region of PE near the king's sunderland	the local bureaus have no requirements	neutral	<pad> entailment</s>
51	There are other audit requirements that have been issued by local bureaus	The data security group met in 8 to 12 monthly sessions	neutral	<pad> entailment</s>
52	There are other audit requirements that have been issued by local bureaus	The security group has an average of 9 sessions per month	entailment	<pad> entailment</s>
53	There are other audit requirements that have been issued by local bureaus	The security team meets every day of the month	contradiction	<pad> entailment</s>
54	The security group hosts several sessions a year	But the first engineering of its kind has already been accomplished.	contradiction	<pad> contradiction</s>
55	The security group hosts several sessions a year	engineering is in the preliminary stage	neutral	<pad> entailment</s>
56	The security group hosts several sessions a year	engineering should be done only at the end	entailment	<pad> entailment</s>
57	without a preliminary study, engineering has many chances Your Simba is not	Thus, the people who make the political decisions in the PE camp and in the administration have agreed to the new Pina standard to guide their decisions	neutral	<pad> entailment</s>
58	without a preliminary study, engineering has many chances Your Simba is not	the representatives of the editorial office as well as your own See the issues	contradiction	<pad> entailment</s>
59	without a preliminary study, engineering has many chances Your Simba is not	government representatives are trying to boost the power of thought in other ways	entailment	<pad> entailment</s>
