premise	hypothesis	label	opus	prompt
Tole, ani waa'ee sanaa illee yaadaa hin ture, garuu baay'een aare fi, ammas isa waliin haasa'ee xumure.	Isa waliin ammas hin dubbannen ture.	contradiction	"[TextBlock(text='Kuni kontiraadikshiniidha. Pireemisichi ""ammas isa waliin haasa\'ee xumure"" jechuun hipoteesisii ""Isa waliin ammas hin dubbannen ture"" jedhu waliin morma.', type='text')]"	"[{'role': 'user', 'content': [{'type': 'text', 'text': ""Premise: Tole, ani waa'ee sanaa illee yaadaa hin ture, garuu baay'een aare fi, ammas isa waliin haasa'ee xumure.\nHypothesis: Isa waliin ammas hin dubbannen ture.\nIs this an entailment, contradiction, or neutral?""}]}]"
Tole, ani waa'ee sanaa illee yaadaa hin ture, garuu baay'een aare fi, ammas isa waliin haasa'ee xumure.	Baay'ee waanan mufadheef ammas isa waliin haasa'uu jalqabe.	entailment	"[TextBlock(text=""Kuni contradiction dha. Sababni isaas:\n\nPremise keessatti, Tolen waa'ee sanaa yaadaa hin ture, garuu baay'ee aaree fi ammas isa waliin haasa'ee xumure jechuun ibsameera. Kunis Tolen duraan waa'ee sanaa yaadaa hin qabne ta'uu agarsiisa.\n\nHaa ta'u malee, hypothesis keessatti garuu, baay'ee waanan mufadheef ammas isa waliin haasa'uu jalqabe jechuun ibsameera. Kunis Tolen dursee waa'ee sanaa yaada qaba ture jechuudha. \n\nKanaafuu, premise fi hypothesis walitti faallessoodha (contradictions). Premise irraa hypothesis kallattiin hin madaalamu."", type='text')]"	"[{'role': 'user', 'content': [{'type': 'text', 'text': ""Premise: Tole, ani waa'ee sanaa illee yaadaa hin ture, garuu baay'een aare fi, ammas isa waliin haasa'ee xumure.\nHypothesis: Baay'ee waanan mufadheef ammas isa waliin haasa'uu jalqabe.\nIs this an entailment, contradiction, or neutral?""}]}]"
Tole, ani waa'ee sanaa illee yaadaa hin ture, garuu baay'een aare fi, ammas isa waliin haasa'ee xumure.	Haasaa baayyee bareedaa taasifneerra.	neutral	"[TextBlock(text=""Kana irratti hundaa'uun, kaayyoon fi qabiyyeen himoota lamaanii walitti hin gitu. Kanaafuu, deebiin 'neutral' ta'a. Sababni isaas:\n\n1. Himni jalqabaa (premise) waa'ee namni tokko (Tole) aarii qabaachuu fi haasaa xumuruu ibsa. \n\n2. Garuu himni lammaffaa (hypothesis) immoo waa'ee haasaa gaarii taasifamuu dubbata.\n\nHimoota lamaanii keessatti waa'een wal qabatan hin jiru. Himni jalqabaa rakkoo fi aarii ibsu yoo ta'u, kan lammaffaan immoo haasaa gaarii irratti xiyyeeffata. Kanaafuu, himni lammaffaan kan jalqabaa irraa hin maddu (entail hindhaan). Akkasumas, himoonni kun walitti hin faallessan (contradict hindhaan). Waliigalatti himoota lamaanii keessatti waa'een adda addaa ibsameera, walitti hidhaanis hin qabu. Kanaafuu deebiin 'neutral' ta'a."", type='text')]"	"[{'role': 'user', 'content': [{'type': 'text', 'text': ""Premise: Tole, ani waa'ee sanaa illee yaadaa hin ture, garuu baay'een aare fi, ammas isa waliin haasa'ee xumure.\nHypothesis: Haasaa baayyee bareedaa taasifneerra.\nIs this an entailment, contradiction, or neutral?""}]}]"
Isaanis akkas naan jedhan, ah, akkan wal arguuf dhuma irratti gurbaa tokkoon akkan waamamu natti himan.	Nama kamiinuu wal arguuf homaa natti himamee hin beeku.	contradiction	[TextBlock(text='Contradiction\n\nSababni isaas:\nPremise keessatti namni tokko akka Isaan wajjin wal arguuf gurbaa tokkoon akka waamamu itti himamee jira. Garuu hypothesis keessatti immoo nama kamiinuu wal arguuf homaa itti himamuu dhiisuu ibsa. Kanaafuu premise fi hypothesis walitti faallessanii jiru.', type='text')]	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Premise: Isaanis akkas naan jedhan, ah, akkan wal arguuf dhuma irratti gurbaa tokkoon akkan waamamu natti himan.\nHypothesis: Nama kamiinuu wal arguuf homaa natti himamee hin beeku.\nIs this an entailment, contradiction, or neutral?'}]}]
Isaanis akkas naan jedhan, ah, akkan wal arguuf dhuma irratti gurbaa tokkoon akkan waamamu natti himan.	Wal arguuf gurbaan tokko gara keessaatti anaaf akka waamamu natti himame.	entailment	"[TextBlock(text='Kuni entailment dha. Premise fi hypothesis lamaanuu wal arguuf gurbaan tokko akka waamamu ibsu. Premise keessatti ""dhuma irratti"" jechuun gara keessaa akka ta\'e agarsiisa, kunis hypothesis waliin wal simsiisuuf gargaara.', type='text')]"	[{'role': 'user', 'content': [{'type': 'text', 'text': 'Premise: Isaanis akkas naan jedhan, ah, akkan wal arguuf dhuma irratti gurbaa tokkoon akkan waamamu natti himan.\nHypothesis: Wal arguuf gurbaan tokko gara keessaatti anaaf akka waamamu natti himame.\nIs this an entailment, contradiction, or neutral?'}]}]
Isaanis akkas naan jedhan, ah, akkan wal arguuf dhuma irratti gurbaa tokkoon akkan waamamu natti himan.	Gurbaan sun xiqqoo turee mul'ate.	neutral	"[TextBlock(text='Kana irratti hundaa\'uun, kaayyoon fi yaadni guddaan himamuu kan hin dandeenye ta\'uu isaa hubanna. Sababni isaas, wanti himamee jiru gahaa ta\'uu baatus, gurbaan sun xiqqoo ta\'uu isaa ykn guddaa ta\'uu isaa adda baafachuuf ragaan gahaan hin jiru. Kanaafuu, deebiin ""neutral"" ta\'a.', type='text')]"	"[{'role': 'user', 'content': [{'type': 'text', 'text': ""Premise: Isaanis akkas naan jedhan, ah, akkan wal arguuf dhuma irratti gurbaa tokkoon akkan waamamu natti himan.\nHypothesis: Gurbaan sun xiqqoo turee mul'ate.\nIs this an entailment, contradiction, or neutral?""}]}]"
 Waan baay'ee waa’ee sanaa irratti dubbachuu dandeessu ni jira, calliseen irran darba.	Waa'ee sanaa waanan beeku hunda isinitti himuu barbaada!	contradiction	"[TextBlock(text=""Kuni contradiction dha. \n\nPremise keessatti nama sun waa'ee sanaa baay'ee dubbachuu akka danda'u ibsameera, garuu callisee irra darbu filateera. Hypothesis keessatti garuu, waa'ee sanaa waan beeku hunda himuu akka barbaadutti ibsameera. Kanaafuu, premise fi hypothesis walitti fufaa miti, walitti aansaa dha."", type='text')]"	"[{'role': 'user', 'content': [{'type': 'text', 'text': ""Premise:  Waan baay'ee waa’ee sanaa irratti dubbachuu dandeessu ni jira, calliseen irran darba.\nHypothesis: Waa'ee sanaa waanan beeku hunda isinitti himuu barbaada!\nIs this an entailment, contradiction, or neutral?""}]}]"
 Waan baay'ee waa’ee sanaa irratti dubbachuu dandeessu ni jira, calliseen irran darba.	Waanti baay'ee kan jedhamu jiraatus, waa'ee sanaa hin dubbadhu.	entailment	"[TextBlock(text='Kuni entailment dha. Waan keeyyanni jedhu fi waan tilmaamni jedhu wal fakkaata. Keeyyanni ""waa\'ee sanaa baay\'ee dubbachuu dandeenya, garuu callisee irra darba"" jechuun, tilmaamnis ""waa\'ee sanaa baay\'ee waan dubbatamu jiraatus, dubbachuu hin barbaadu"" jechuun yaada walfakkaataa dabarsaa jira.', type='text')]"	"[{'role': 'user', 'content': [{'type': 'text', 'text': ""Premise:  Waan baay'ee waa’ee sanaa irratti dubbachuu dandeessu ni jira, calliseen irran darba.\nHypothesis: Waanti baay'ee kan jedhamu jiraatus, waa'ee sanaa hin dubbadhu.\nIs this an entailment, contradiction, or neutral?""}]}]"
 Waan baay'ee waa’ee sanaa irratti dubbachuu dandeessu ni jira, calliseen irran darba.	Waa'ee seenaa magaalattii hin dubbadhu sababni isaas waanti jedhamu baay'ee waan ta'eef.	neutral	"[TextBlock(text='Kana irratti hundaa\'uun, kaayyoon hiikaa fi yaada guutuu kennuuf, premisii fi hipoteesisiin armaan olii walitti dhufeenya ""neutral"" (giddu-galeessa) qaba. Sababni isaas:\n\n1. Premisiin waa\'ee sanaa irratti waan baay\'ee dubbachuu akka danda\'u ibsa, garuu callisee akka irra darbu dubbata. \n2. Hipoteesisiin garuu waa\'ee seenaa magaalattii osoo hin dubbatin akka hafan ibsa, sababni isaas waan jedhamu baay\'ee waan ta\'eef. \n\nPremisii fi hipoteesisiin lamaanuu waa\'ee dubbii tokko irratti dubbachuu dhiisuu irratti wal simu, garuu sababni dubbachuu dhiisaniif adda. Premisiin fedhii dhuunfaa irraa kan ka\'e yoo ta\'u, hipoteesisiin garuu sababni dubbii baay\'achuu irraa kan ka\'e. Kanaafuu, premisii fi hipoteesisiin guutummaatti wal hin faallessan, garuu wal hin cimsinans. Kanaafuu, deebiin isaanii ""neutral"" (giddu-galeessa) ta\'a.', type='text')]"	"[{'role': 'user', 'content': [{'type': 'text', 'text': ""Premise:  Waan baay'ee waa’ee sanaa irratti dubbachuu dandeessu ni jira, calliseen irran darba.\nHypothesis: Waa'ee seenaa magaalattii hin dubbadhu sababni isaas waanti jedhamu baay'ee waan ta'eef.\nIs this an entailment, contradiction, or neutral?""}]}]"
Kanaafuu ani dhuguma maaliif akka ta'e hin beeku.	Sababni maaliif akka ta'e ani shakkii tokko malee nan beeka.	contradiction	"[TextBlock(text='Kun contradiction dha. Premise keessatti, ""Kanaafuu ani dhuguma maaliif akka ta\'e hin beeku"" jechuun sababni isaa kan hin beekamne ta\'uu agarsiisa. Garuu, hypothesis keessatti, ""Sababni maaliif akka ta\'e ani shakkii tokko malee nan beeka"" jechuun sababni isaa kan beekamu ta\'uu mul\'isa. Kanaafuu, premise fi hypothesis walitti fufaa miti; isaan wal-dhabuu (contradict) agarsiisu.', type='text')]"	"[{'role': 'user', 'content': [{'type': 'text', 'text': ""Premise: Kanaafuu ani dhuguma maaliif akka ta'e hin beeku.\nHypothesis: Sababni maaliif akka ta'e ani shakkii tokko malee nan beeka.\nIs this an entailment, contradiction, or neutral?""}]}]"
Kanaafuu ani dhuguma maaliif akka ta'e hin beeku.	Maaliif manneen barnootaa akka geeddare hin beeku.	neutral	"[TextBlock(text='Kanaafuu, kuni ""neutral"" dha. Wanti hiikaan jedhu waa\'ee sababii manneen barnootaa akka geeddare kan ka\'e miti. Sababiin inni geeddareef waan adda ta\'uu danda\'a, garuu hiikichi waa\'ee kanaa homaa hin ibsu. Kanaafuu, hiikaan yaada ka\'umsa keessatti dhiyaate hin cimsu ykn hin faallessu.', type='text')]"	"[{'role': 'user', 'content': [{'type': 'text', 'text': ""Premise: Kanaafuu ani dhuguma maaliif akka ta'e hin beeku.\nHypothesis: Maaliif manneen barnootaa akka geeddare hin beeku.\nIs this an entailment, contradiction, or neutral?""}]}]"
Kanaafuu ani dhuguma maaliif akka ta'e hin beeku.	Maaliif sun akka ta'e hin beeku.	entailment	"[TextBlock(text='Kuni entailment dha. Premise fi hypothesis wal fakkaatu. Premise keessatti ""Kanaafuu ani dhuguma maaliif akka ta\'e hin beeku"" jechuun hypothesis keessatti ""Maaliif sun akka ta\'e hin beeku"" kan jedhu wal cinaa dha. Hiikni isaanii wal fakkaata, kunis entailment (wal caaluu) ta\'uu agarsiisa.', type='text')]"	"[{'role': 'user', 'content': [{'type': 'text', 'text': ""Premise: Kanaafuu ani dhuguma maaliif akka ta'e hin beeku.\nHypothesis: Maaliif sun akka ta'e hin beeku.\nIs this an entailment, contradiction, or neutral?""}]}]"
 Ana qofa ture kan ah, yoomiyyuu qorannaa gola olka'insa xiqqaa qabu keessatti to'ataa kanan banuuf.	Qorannoo kanaaf to'ataa kan banu ana qofa ta'uun natti hin tolle.	neutral	"[TextBlock(text='Kana deebii ""contradiction"" (faallessuu) dha. \n\nWaliigalteen ""Ana qofa ture kan ah, yoomiyyuu qorannaa gola olka\'insa xiqqaa qabu keessatti to\'ataa kanan banuuf"" jedha. Kunis, namni dubbatu qorannoo kanaaf to\'ataa kan banu isa qofa ta\'uu agarsiisa.\n\nGaruu, yaadni dhumarraa, ""Qorannoo kanaaf to\'ataa kan banu ana qofa ta\'uun natti hin tolle"" jedha. Kunis waliigalteen olii faalleessa. \n\nKanaafuu, waliigalteen fi yaadni dhiyaate wal-faallessu.', type='text')]"	"[{'role': 'user', 'content': [{'type': 'text', 'text': ""Premise:  Ana qofa ture kan ah, yoomiyyuu qorannaa gola olka'insa xiqqaa qabu keessatti to'ataa kanan banuuf.\nHypothesis: Qorannoo kanaaf to'ataa kan banu ana qofa ta'uun natti hin tolle.\nIs this an entailment, contradiction, or neutral?""}]}]"
