question,answer,prompt,gpt_4o
"Janet's parents are celebrating on Sunday, November 16th. In the morning, they eat three cookies and use the rest to make muffins for their friends. The rest, she sells the next day for her chicken soup that she purchased 2 pounds of a new chicken. How much (in dollars) will she make the next day for her chicken soup?",18,"[{'role': 'user', 'content': ""Answer only and the answer should only contains integers. \nJanet's parents are celebrating on Sunday, November 16th. In the morning, they eat three cookies and use the rest to make muffins for their friends. The rest, she sells the next day for her chicken soup that she purchased 2 pounds of a new chicken. How much (in dollars) will she make the next day for her chicken soup?\n""}]",0
one piece of clothing requires two layers of thin fabric and half the amount of white fabric. how many layers of fabric do we need for the whole piece of clothing,3,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \none piece of clothing requires two layers of thin fabric and half the amount of white fabric. how many layers of fabric do we need for the whole piece of clothing\n'}]",5
"Josh owns a home improvement business. He buys an 80,000-square-foot house and then invests $50,000 into the food business. The sale of the house increased the business by 150%. How much did the business benefit?",70000,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nJosh owns a home improvement business. He buys an 80,000-square-foot house and then invests $50,000 into the food business. The sale of the house increased the business by 150%. How much did the business benefit?\n'}]",75000
"Jacques runs 3 sprints 3 times a week. A typical sprint is 60 meters. All in all, he runs 4 meters a week.",540,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nJacques runs 3 sprints 3 times a week. A typical sprint is 60 meters. All in all, he runs 4 meters a week.\n'}]",540
"In order to protect the health of her chickens, Wendy gives them three bowls of peas mixed with herbs and herbs. She gives them three times a day. If she wants to give them another 25, she will give them the same amount of food at the end of the day, depending on the size of the chickens.",20,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nIn order to protect the health of her chickens, Wendy gives them three bowls of peas mixed with herbs and herbs. She gives them three times a day. If she wants to give them another 25, she will give them the same amount of food at the end of the day, depending on the size of the chickens.\n'}]",75
Kylar borrowed money to buy months for the new house. One month is worth 5 pf but the second month she doesn't buy when she gets 60% of the stock. Kylar wants to buy 16 months. How much will it cost to buy them?,64,"[{'role': 'user', 'content': ""Answer only and the answer should only contains integers. \nKylar borrowed money to buy months for the new house. One month is worth 5 pf but the second month she doesn't buy when she gets 60% of the stock. Kylar wants to buy 16 months. How much will it cost to buy them?\n""}]",64
"Toulouse has twice as many sheep as Charleston. Charleston has three times as many sheep as Seattle. If Seattle has 20 sheep, how many sheep does Toulouse have, Charleston and Seattle combined?",260,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nToulouse has twice as many sheep as Charleston. Charleston has three times as many sheep as Seattle. If Seattle has 20 sheep, how many sheep does Toulouse have, Charleston and Seattle combined?\n'}]",140
"Carla is taking a 200GB file, removing the 2GB memory that occupies about 40% of the image, and Windows asks her to do some reworking. This takes about 20 minutes. Carla has to restart the image and start from scratch. How long does it take to recover the entire file?",160,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nCarla is taking a 200GB file, removing the 2GB memory that occupies about 40% of the image, and Windows asks her to do some reworking. This takes about 20 minutes. Carla has to restart the image and start from scratch. How long does it take to recover the entire file?\n'}]",20
"Jean drives for 3 hours at a speed of 60mph, then turns around and doesn't realize that she's forgotten something important at home. She tries to get home at 4 hours, but it takes her two hours to get home because of a car accident. Half an hour later, she runs at 30mph and drives at 80mph at 4 hours. What is the distance between her home and home if the 4 hours are right?",45,"[{'role': 'user', 'content': ""Answer only and the answer should only contains integers. \nJean drives for 3 hours at a speed of 60mph, then turns around and doesn't realize that she's forgotten something important at home. She tries to get home at 4 hours, but it takes her two hours to get home because of a car accident. Half an hour later, she runs at 30mph and drives at 80mph at 4 hours. What is the distance between her home and home if the 4 hours are right?\n""}]",180
"If a worker works 40 hours a week, Elisa's hourly wage is 10 pf and she earns the same amount of energy for the hours she works per month. If a worker works 45 hours a week, how much is her hourly wage?",460,"[{'role': 'user', 'content': ""Answer only and the answer should only contains integers. \nIf a worker works 40 hours a week, Elisa's hourly wage is 10 pf and she earns the same amount of energy for the hours she works per month. If a worker works 45 hours a week, how much is her hourly wage?\n""}]",10
"A new procedure is repeated 60 times in the first month. The number of repetitions in the second month is three times more than in the previous month. Then the calculation is repeated for the remaining 30% in the third month. After all, how many times do we repeat the procedure in three months?",366,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nA new procedure is repeated 60 times in the first month. The number of repetitions in the second month is three times more than in the previous month. Then the calculation is repeated for the remaining 30% in the third month. After all, how many times do we repeat the procedure in three months?\n'}]",318
"Toula bought several bags of bread from the bakery. She bought three bags of twelve loaves of bread for $68, two bags of twelve small cakes for $80, and six bags of twelve small cakes for $55. How many bags did she buy?",694,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nToula bought several bags of bread from the bakery. She bought three bags of twelve loaves of bread for $68, two bags of twelve small cakes for $80, and six bags of twelve small cakes for $55. How many bags did she buy?\n'}]",11
carlos wants to plant a single lemon tree. the average annual yield is 90 f. a year a tree will produce about 7 lemons that we will harvest if it costs 1.5 f per ton. the life expectancy of the tree is 3 f years. how many years does carlos have to wait for his lemon tree to be able to generate income.,13,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \ncarlos wants to plant a single lemon tree. the average annual yield is 90 f. a year a tree will produce about 7 lemons that we will harvest if it costs 1.5 f per ton. the life expectancy of the tree is 3 f years. how many years does carlos have to wait for his lemon tree to be able to generate income.\n'}]",3
"Melanie is a housewife. When she bought the white house, she sold a third of the cats, then sold two of the red houses, and finally sold the remaining third of the orange house. If Melanie had 5 cats, how many cats did she own?",18,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nMelanie is a housewife. When she bought the white house, she sold a third of the cats, then sold two of the red houses, and finally sold the remaining third of the orange house. If Melanie had 5 cats, how many cats did she own?\n'}]",8
"If a dance studio has 20 dancers, 20% of them are new dancers, 25% are jazz dancers, and the rest are hip hop dancers. How many of them are hip hop dancers?",60,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nIf a dance studio has 20 dancers, 20% of them are new dancers, 25% are jazz dancers, and the rest are hip hop dancers. How many of them are hip hop dancers?\n'}]",11
"A seller chooses between two options: buy a piece of furniture that costs $5000 or buy a piece of furniture that costs $8000. if the seller calculates a financial gain of 2.5% on the sale of a piece of furniture as well as 1.2% on the sale of a piece of furniture in a month, if the seller makes a decision to increase the price of a piece of furniture to make money in the next month, how much will his profit increase?",125,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nA seller chooses between two options: buy a piece of furniture that costs $5000 or buy a piece of furniture that costs $8000. if the seller calculates a financial gain of 2.5% on the sale of a piece of furniture as well as 1.2% on the sale of a piece of furniture in a month, if the seller makes a decision to increase the price of a piece of furniture to make money in the next month, how much will his profit increase?\n'}]",60
"Two buses travel to San Rafael in one hour. We continue to drive to the end of the tunnel and then they both run about 80 miles. The next day, they travel to the end of the tunnel for about 150 miles. What is the distance between the buses that ran those two days?",230,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nTwo buses travel to San Rafael in one hour. We continue to drive to the end of the tunnel and then they both run about 80 miles. The next day, they travel to the end of the tunnel for about 150 miles. What is the distance between the buses that ran those two days?\n'}]",70
"Jill's tuition is $20 an hour, and Bud's tuition is $30 an hour. If she works 35 hours a week teaching and 15 hours a week caring for the kids, how much does she make a year?",57500,"[{'role': 'user', 'content': ""Answer only and the answer should only contains integers. \nJill's tuition is $20 an hour, and Bud's tuition is $30 an hour. If she works 35 hours a week teaching and 15 hours a week caring for the kids, how much does she make a year?\n""}]",45500
"To put it another way, Claire gets up three o'clock every morning. How many times a dozen o'clock does she have to eat for four weeks?",7,"[{'role': 'user', 'content': ""Answer only and the answer should only contains integers. \nTo put it another way, Claire gets up three o'clock every morning. How many times a dozen o'clock does she have to eat for four weeks?\n""}]",1
"Marissa walks the 12 miles in one go. She takes an hour to walk the 4 miles of the U.S., and then another hour to walk the next two miles. If she wants half of her sister's mileage, she walked the 4 miles an hour before, how much of her sister's mileage (that's one mile an hour) should she use to calculate the remaining distance?",6,"[{'role': 'user', 'content': ""Answer only and the answer should only contains integers. \nMarissa walks the 12 miles in one go. She takes an hour to walk the 4 miles of the U.S., and then another hour to walk the next two miles. If she wants half of her sister's mileage, she walked the 4 miles an hour before, how much of her sister's mileage (that's one mile an hour) should she use to calculate the remaining distance?\n""}]",8
"There are 10 gallons of water, about two-thirds of the way. Doesn't anyone want to mix 15 gallons of pineapple water, or maybe a gallon of water? How many gallons of water are left in 24 gallons?",15,"[{'role': 'user', 'content': ""Answer only and the answer should only contains integers. \nThere are 10 gallons of water, about two-thirds of the way. Doesn't anyone want to mix 15 gallons of pineapple water, or maybe a gallon of water? How many gallons of water are left in 24 gallons?\n""}]",14
"Raymond and Samantha are cousins. Raymond gave birth to Samantha a year before she was 23 years old. If Samantha is now 31 years old, how old are Raymond's children?",14,"[{'role': 'user', 'content': ""Answer only and the answer should only contains integers. \nRaymond and Samantha are cousins. Raymond gave birth to Samantha a year before she was 23 years old. If Samantha is now 31 years old, how old are Raymond's children?\n""}]",8
"Billy sells DVDs. On Tuesday, he has 8 customers. 3 first customers buy one DVD, the next 2 customers buy 2, and the last 3 buy nothing. How many DVDs did Billy sell on Tuesday?",7,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nBilly sells DVDs. On Tuesday, he has 8 customers. 3 first customers buy one DVD, the next 2 customers buy 2, and the last 3 buy nothing. How many DVDs did Billy sell on Tuesday?\n'}]",7
one of the drill holes has collapsed to a depth of about 2 centimeters per hour. how many centimeters does the drill hole miss when measured from 13H to 17H?,8,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \none of the drill holes has collapsed to a depth of about 2 centimeters per hour. how many centimeters does the drill hole miss when measured from 13H to 17H?\n'}]",8
"Kyle bought the book more than it sold last year at $19.50, even though we returned 25% of the book's sales. How much did your book cost?",26,"[{'role': 'user', 'content': ""Answer only and the answer should only contains integers. \nKyle bought the book more than it sold last year at $19.50, even though we returned 25% of the book's sales. How much did your book cost?\n""}]",20
"Marie managed to buy a 12-dollar house, five 3-dollar apple cartons, three apples for $1.50 each, and a bag of pizza. Marie managed to buy everything for $50 each. If a bag of pizza costs $8.50, how many bags did Marie manage to buy?",2,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nMarie managed to buy a 12-dollar house, five 3-dollar apple cartons, three apples for $1.50 each, and a bag of pizza. Marie managed to buy everything for $50 each. If a bag of pizza costs $8.50, how many bags did Marie manage to buy?\n'}]",3
"Marie bought 3 pairs of shorts, 3 pairs of socks, and 3 pairs of shoes. A pair of shorts cost $16.50, a pair of socks cost $22.50 and a pair of shoes cost $42. How much did Mishka pay to buy everything?",243,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nMarie bought 3 pairs of shorts, 3 pairs of socks, and 3 pairs of shoes. A pair of shorts cost $16.50, a pair of socks cost $22.50 and a pair of shoes cost $42. How much did Mishka pay to buy everything?\n'}]",243
"Cynthia eats the glass as a snack every night. She buys cartons of 15 snacks each, which cost $4.00 each. After 60 days of eating, how many bottles will she have to buy?",16,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nCynthia eats the glass as a snack every night. She buys cartons of 15 snacks each, which cost $4.00 each. After 60 days of eating, how many bottles will she have to buy?\n'}]",8
"Henry's two trips were unsuccessful and he had to drive 60 miles. His first rest was 20 miles, and he rested 15 miles before completing the trip. How many miles did he drive between the two rest stops?",25,"[{'role': 'user', 'content': ""Answer only and the answer should only contains integers. \nHenry's two trips were unsuccessful and he had to drive 60 miles. His first rest was 20 miles, and he rested 15 miles before completing the trip. How many miles did he drive between the two rest stops?\n""}]",25
"Instead of buying shoes, Gloria found a pair of shoes that would increase her price. But she had to choose between a pair of shoes or two pairs of high-heeled shoes, both of which cost five dollars less than the price of the shoes. If the price of one pair of high-heeled shoes was $33 and the price of the other pair was twice as much, how much was the price of the shoes?",104,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nInstead of buying shoes, Gloria found a pair of shoes that would increase her price. But she had to choose between a pair of shoes or two pairs of high-heeled shoes, both of which cost five dollars less than the price of the shoes. If the price of one pair of high-heeled shoes was $33 and the price of the other pair was twice as much, how much was the price of the shoes?\n'}]",71
"Darell and Allen's ages are equal to 7:11 since the sum of their ages is now 162, making Allen's age ten years.",109,"[{'role': 'user', 'content': ""Answer only and the answer should only contains integers. \nDarell and Allen's ages are equal to 7:11 since the sum of their ages is now 162, making Allen's age ten years.\n""}]",77
Gunter tries to count the number of holes in each hole. He asks his friends to calculate the number of holes in the hole. One of them says 80. The other says he gave half as much as the one who gave 20. The third says he gave 25% more than the one who gave? What is the number of half as much as they gave?,80,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nGunter tries to count the number of holes in each hole. He asks his friends to calculate the number of holes in the hole. One of them says 80. The other says he gave half as much as the one who gave 20. The third says he gave 25% more than the one who gave? What is the number of half as much as they gave?\n'}]",10
Jean takes care of ten dogs. Does a dog need 0.5 hours a day to walk and do anything else? How many hours does Jean take a day to take care of the dogs?,35,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nJean takes care of ten dogs. Does a dog need 0.5 hours a day to walk and do anything else? How many hours does Jean take a day to take care of the dogs?\n'}]",5
Gretchen has 110 medals. The gold medals outnumber the silver medals by 30. How many gold medals does Gretchen have?,70,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nGretchen has 110 medals. The gold medals outnumber the silver medals by 30. How many gold medals does Gretchen have?\n'}]",70
"Siobhan has two fewer legs than Aron. Aron has ten more legs than Raymond. If Fekke has 40 legs like Raymond, how many legs does Siobhan have?",23,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nSiobhan has two fewer legs than Aron. Aron has ten more legs than Raymond. If Fekke has 40 legs like Raymond, how many legs does Siobhan have?\n'}]",28
Mike scored 4 points in the first 20 games. He scored 25% more points in the next 20 games. How many points did he score in total?,9,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nMike scored 4 points in the first 20 games. He scored 25% more points in the next 20 games. How many points did he score in total?\n'}]",9
"Terry eats 2 yogurts a day on Sundays, and we sell 4 yogurts for $5. How much would you pay for 30 yogurts?",75,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nTerry eats 2 yogurts a day on Sundays, and we sell 4 yogurts for $5. How much would you pay for 30 yogurts?\n'}]",35
"Jean wanted to sell all the furniture and then used the money to buy video games, including 13 lego games, which she sold for $15 each. Finally, she bought 8 video games that sold for $20 each, which sold for $5 each. How many lego games are there?",2,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nJean wanted to sell all the furniture and then used the money to buy video games, including 13 lego games, which she sold for $15 each. Finally, she bought 8 video games that sold for $20 each, which sold for $5 each. How many lego games are there?\n'}]",13
"Jean runs 60 miles a day every week. She runs 3 times a week. The first day she ran for 3 hours, the other two times she ran twice as little. Is Lann her doctor?",10,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nJean runs 60 miles a day every week. She runs 3 times a week. The first day she ran for 3 hours, the other two times she ran twice as little. Is Lann her doctor?\n'}]",0
"A running horse is three times as fast as a walking horse, and if it stops it is twice as fast as a running horse. If it stops at a speed of 3 miles per hour, how many miles can it run in one hour, if you know how it does 1/3 of its running time and 2/3 of its walking time?",18,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nA running horse is three times as fast as a walking horse, and if it stops it is twice as fast as a running horse. If it stops at a speed of 3 miles per hour, how many miles can it run in one hour, if you know how it does 1/3 of its running time and 2/3 of its walking time?\n'}]",9
"Brandon's iPhone is three times as old as Ben's. Ben's iPhone is twice as old as Suzy's. If Suzy's iPhone is 1 year old, how old is Brandon's iPhone?",8,"[{'role': 'user', 'content': ""Answer only and the answer should only contains integers. \nBrandon's iPhone is three times as old as Ben's. Ben's iPhone is twice as old as Suzy's. If Suzy's iPhone is 1 year old, how old is Brandon's iPhone?\n""}]",6
"Perg, the giant snowflake, flew over Farbo's moon and plunged the snowflake 1,000 feet into the air. Polly could have won the gold medal, a weapon that could have captured the snowflake, with a 400-foot cannon, very close to the fire. If Polly could have captured the sapphire moon, I could have thrown it at least three times. If Polly could have captured the sandstone, with the cannon, Polly would have stood in front of the fire, and could have captured the snowflake.",200,"[{'role': 'user', 'content': ""Answer only and the answer should only contains integers. \nPerg, the giant snowflake, flew over Farbo's moon and plunged the snowflake 1,000 feet into the air. Polly could have won the gold medal, a weapon that could have captured the snowflake, with a 400-foot cannon, very close to the fire. If Polly could have captured the sapphire moon, I could have thrown it at least three times. If Polly could have captured the sandstone, with the cannon, Polly would have stood in front of the fire, and could have captured the snowflake.\n""}]",400
"Mrs. Jones cooked ten apple cakes to light the fire. Then she cut an eight-thousand-dollar cake and spread the cakes on the dining-table for someone to eat. When it was time for breakfast, all the cows had eaten their food, and there were fourteen thousand. How many thousand cows were there?",26,"[{'role': 'user', 'content': 'Answer only and the answer should only contains integers. \nMrs. Jones cooked ten apple cakes to light the fire. Then she cut an eight-thousand-dollar cake and spread the cakes on the dining-table for someone to eat. When it was time for breakfast, all the cows had eaten their food, and there were fourteen thousand. How many thousand cows were there?\n'}]",14
"According to a nutritionist, one bag of potato chips produces 250 calories of protein. If a 300-g bag produces 5 calories of protein, how many potato chips would you eat if you didn't know how many calories you would eat a day in 2000 if you had eaten 1,800 calories?",48,"[{'role': 'user', 'content': ""Answer only and the answer should only contains integers. \nAccording to a nutritionist, one bag of potato chips produces 250 calories of protein. If a 300-g bag produces 5 calories of protein, how many potato chips would you eat if you didn't know how many calories you would eat a day in 2000 if you had eaten 1,800 calories?\n""}]",15
