premise,hypothesis,label,output
"Honestly, I didn't think much of him, but I was very upset, and I finally stopped talking to him.",I didn't speak to him anymore.,contradiction,Entailment
"Honestly, I didn't think much of him, but I was very upset, and I finally stopped talking to him.",I just got so angry that I started talking to him again.,entailment,Contradiction
"Honestly, I didn't think much of him, but I was very upset, and I finally stopped talking to him.",We had a pleasant conversation.,neutral,Contradiction
"They told me that, uh that he was going to call someone to meet me at the end.",I was not told anything about meeting anyone.,contradiction,Contradiction
"They told me that, uh that he was going to call someone to meet me at the end.",I was supposed to call someone to meet me.,entailment,Contradiction
"They told me that, uh that he was going to call someone to meet me at the end.",The man arrived a little late.,neutral,Neutral
There's a lot you could say about that and let's skip that.,I want to tell you everything I know about it.,contradiction,Contradiction
There's a lot you could say about that and let's skip that.,"I'm not going to go into that, although there is a lot of talk about it.",entailment,Contradiction
There's a lot you could say about that and let's skip that.,"I will not talk about the history of the state, because there is a lot of conflict.",neutral,Entailment
So I'm not sure why.,I found out why.,contradiction,Contradiction
So I'm not sure why.,I don't know why he changed schools so often.,neutral,Neutral
So I'm not sure why.,I don't know why that happened.,entailment,Entailment
"I'm the only one, uh, who's ever led the experimenters of a small altitude hall.",I didn't want to be the only one conducting the tests.,neutral,Contradiction
"I'm the only one, uh, who's ever led the experimenters of a small altitude hall.",The test was conducted in a small altitude hall.,entailment,Entailment
"I'm the only one, uh, who's ever led the experimenters of a small altitude hall.",Only a few of us led the experiment.,contradiction,Contradiction
"I'm, uh, a senior terror officer, retired as Rick said.",I'm still working that day.,contradiction,Contradiction
"I'm, uh, a senior terror officer, retired as Rick said.","In 2002, I retired.",neutral,Contradiction
"I'm, uh, a senior terror officer, retired as Rick said.",Rick told you I'm retired.,entailment,Contradiction
"There's some cash flow forecasts on my desk and, um, uh, and Cutty's, that's the name of the contact.","The employee, Cutty, was earning $100,000 a month.",neutral,Neutral
"There's some cash flow forecasts on my desk and, um, uh, and Cutty's, that's the name of the contact.",There was a friend named Cutty.,entailment,Entailment
"There's some cash flow forecasts on my desk and, um, uh, and Cutty's, that's the name of the contact.",We don't have a partner named Cutty.,contradiction,Contradiction
The girl who can help me is across town.,The girl I needed help with lived a long way away.,entailment,Contradiction
The girl who can help me is across town.,The girl who will help me is 5 miles away.,neutral,Contradiction
The girl who can help me is across town.,There was no one to help me.,contradiction,Entailment
"But they were sorted as to who would participate in the farm and who would be the children of the household, and so on.",All agreed that they would work in the fields.,contradiction,Neutral
"But they were sorted as to who would participate in the farm and who would be the children of the household, and so on.",They could not agree on who should share in the field and who should stay at home.,entailment,Contradiction
"But they were sorted as to who would participate in the farm and who would be the children of the household, and so on.",They could not agree on who would work in the cotton fields and who would plow the ground.,neutral,Neutral
"I mean, they had about five children, one of whom died.",All of their children survived.,contradiction,Contradiction
"I mean, they had about five children, one of whom died.",One of the five children died.,entailment,Entailment
