Unnamed: 0	question	answer	llm	verbalized
0	Janet cooks 16 eggs a day. Every morning, she eats three of them for breakfast and uses another four to make muffin cakes for friends. She sells the rest every day at the village market, each brown egg for $2. How much does she make (in dollars) a day at the market?	18	"Answer only. 
Janet cooks 16 eggs a day. Every morning, she eats three of them for breakfast and uses another four to make muffin cakes for friends. She sells the rest every day at the village market, each brown egg for $2. How much does she make (in dollars) a day at the market?

Answer: $32

Explanation:
Janet cooks 16 eggs a day, and she sells 13 eggs at the market every day. Each egg costs $2, so she makes $2 x 13 = $26 in profit every day at the market."	26
1	For a long coat, two strips of blue thread are needed, and the same number of strips are needed for a white thread. How many strips are needed?	3	"Answer only. 
For a long coat, two strips of blue thread are needed, and the same number of strips are needed for a white thread. How many strips are needed?

Answer: 4

Explanation:
For a long coat, two strips of blue thread are needed, and the same number of strips are needed for a white thread. Therefore, the number of strips needed for a long coat is twice the number of strips needed for a white thread. Since 2 strips are needed for a white thread, 4 strips are needed for a long coat."	4
2	Josh got into a home improvement business. He bought it for $80,000 and spent $50,000 renovating it. The price of the house went up 150%. How did he find the house?	70000	"Answer only. 
Josh got into a home improvement business. He bought it for $80,000 and spent $50,000 renovating it. The price of the house went up 150%. How did he find the house?
Answer: $130,000.

Explanation:

Josh bought the house for $80,000 and spent $50,000 renovating it. The total cost of the house including the renovation is $130,000.

150% of the original price of the house is $120,000. Since Josh spent $50,000 on renovation, the new price of the house after renovation is $120,000 + $50,000 = $170,000."	170000
3	Jacques runs three marathons, usually three per week. Each marathon is 60 yards long. How many yards does he run in a marathon?	540	"Answer only. 
Jacques runs three marathons, usually three per week. Each marathon is 60 yards long. How many yards does he run in a marathon?

Answer: 180 yards."	180
4	To maintain the health of her chickens, Wendi feeds them three bowls of baked beans, dried peas, and grass. She feeds them three times a day. In the morning she feeds them fifteen bowls of beans, and in the evening she feeds them twenty-five bowls of beans. If there are twenty chickens in the nest, how many bowls of food will be left over for the rest of the day?	20	"Answer only. 
To maintain the health of her chickens, Wendi feeds them three bowls of baked beans, dried peas, and grass. She feeds them three times a day. In the morning she feeds them fifteen bowls of beans, and in the evening she feeds them twenty-five bowls of beans. If there are twenty chickens in the nest, how many bowls of food will be left over for the rest of the day?

Answer: 10 bowls."	10
5	Kylar goes to the store to buy bottles for her new house. One bottle costs $5, and each second bottle is only 60% of the price. Kylar wants to buy 16 bottles. What will she use to buy them?	64	"Answer only. 
Kylar goes to the store to buy bottles for her new house. One bottle costs $5, and each second bottle is only 60% of the price. Kylar wants to buy 16 bottles. What will she use to buy them?

A) A credit card
B) Cash
C) A check
D) A debit card"	16
6	There are twice as many sheep in Toulouse as there are in Charleston. There are four times as many in Charleston as there are in Seattle. If there are 20 sheep in Seattle, how many sheep are there in Toulouse, Charleston and Seattle combined?	260	"Answer only. 
There are twice as many sheep in Toulouse as there are in Charleston. There are four times as many in Charleston as there are in Seattle. If there are 20 sheep in Seattle, how many sheep are there in Toulouse, Charleston and Seattle combined?

Answer: 80.

Explanation:

Toulouse: 2x = 40 sheep
Charleston: 4x = 160 sheep
Seattle: 20 sheep

Combined: 40 + 160 + 20 = 80 sheep."	80
7	Carla is pulling a 200-gauge windshield. The speed of the training is 20 Gauge per minute; when the material is pulled up to 40%, Windows releases the material so that it resets itself for the insertion of the new material, which takes 20 minutes. This causes Carla to start the training again from the beginning. How long does it take to train a book?	160	"Answer only. 
Carla is pulling a 200-gauge windshield. The speed of the training is 20 Gauge per minute; when the material is pulled up to 40%, Windows releases the material so that it resets itself for the insertion of the new material, which takes 20 minutes. This causes Carla to start the training again from the beginning. How long does it take to train a book?

Answer: 100 minutes."	100
8	John ran for three miles [60 km] and returned home because he was sick. He thought he would go for four hours, but he stopped for two because of the rain. In the next half hour, he ran for 30 miles [80 km] before running for the remaining four hours.	45	"Answer only. 
John ran for three miles [60 km] and returned home because he was sick. He thought he would go for four hours, but he stopped for two because of the rain. In the next half hour, he ran for 30 miles [80 km] before running for the remaining four hours.

1. How long did John run in total?
2. How long did John run in the rain?
3. How long did John run in the second half of the session?"	3
9	If Elisa had worked 45 hours during the current week, she would have been paid $1.25 for each additional hour.	460	"Answer only. 
If Elisa had worked 45 hours during the current week, she would have been paid $1.25 for each additional hour.

(1) If Elisa worked 45 hours during the current week, she would have been paid $1.25 for each additional hour.

(2) If Elisa worked 45 hours during the current week, she would have been paid a total of $52.50."	52
10	A program was downloaded 60 times in the first month. The second month was downloaded three times more than the first month. The third month was downloaded 30%. How many times has the program been downloaded in the last three months?	366	"Answer only. 
A program was downloaded 60 times in the first month. The second month was downloaded three times more than the first month. The third month was downloaded 30%. How many times has the program been downloaded in the last three months?

Answer: 210

Explanation:

In the first month, the program was downloaded 60 times.
In the second month, the program was downloaded 3 times more than the first month, so it was downloaded 60 x 3 = 180 times.
In the third month, the program was downloaded 30% less than the second month, so it was downloaded 180 x 0.7 = 126 times.

Therefore, the program has been downloaded 60 + 180 + 126 = 210 times in the last three months."	210
11	Toula purchased three sets of bicycles at an auction for $68 each; two sets of minibikes for $80 each; and six sets of handbags for $55 each.	694	"Answer only. 
Toula purchased three sets of bicycles at an auction for $68 each; two sets of minibikes for $80 each; and six sets of handbags for $55 each.
What is the total cost of all the items Toula purchased?

Answer: $68 x 3 = $204 + $80 x 2 = $160 + $55 x 6 = $330 = $634"	634
12	Carlos wants to plant an apple tree. The price of the field is $90. Each year the tree will produce 7 apples and will sell for $1.5. Watering and feeding the tree costs $3 each. How long will it take Carlos to get the apples on his tree?	13	"Answer only. 
Carlos wants to plant an apple tree. The price of the field is $90. Each year the tree will produce 7 apples and will sell for $1.5. Watering and feeding the tree costs $3 each. How long will it take Carlos to get the apples on his tree?

Answer: 6 years."	6
13	Melanie sells door-to-door. When she moves into the basement, she sells a third of her carpet, then sells 2 in the red house and finally sells the remaining half in the blue house. If in all of this she has 5 carpets left, how many carpets did she have at the beginning?	18	"Answer only. 
Melanie sells door-to-door. When she moves into the basement, she sells a third of her carpet, then sells 2 in the red house and finally sells the remaining half in the blue house. If in all of this she has 5 carpets left, how many carpets did she have at the beginning?

A) 3
B) 4
C) 5
D) 6
E) 7"	7
14	In a dance school with 20 students, 20% of them enrolled in contemporary dance, 25% in Jazz dance and the rest in Hip-hop. How many students falsely enrolled in hip-hop?	60	"Answer only. 
In a dance school with 20 students, 20% of them enrolled in contemporary dance, 25% in Jazz dance and the rest in Hip-hop. How many students falsely enrolled in hip-hop?

A) 4
B) 6
C) 8
D) 10

Answer: B) 6

Explanation:

Let's first calculate the total number of students in the dance school: 20 + 20 + 25 = 65

Now, let's find out how many students enrolled in Hip-hop: 65 - (20% of 20) = 65 - 4 = 61

So, there are 61 students who enrolled in Hip-hop.

Therefore, the answer is (B) 6."	6
