premise,hypothesis,label,output
"You see, I hadn't thought about it, but I was so surprised, and then I spoke to him again.",I would never speak to him again,contradiction,Contradiction
"You see, I hadn't thought about it, but I was so surprised, and then I spoke to him again.","In pain, I found myself talking to him again",entailment,Neutral
"You see, I hadn't thought about it, but I was so surprised, and then I spoke to him again.",A Good Conversation,neutral,Neutral
"They told me that, uh, they're going to call a guy afterwards so we can meet.",They never told me anything about dating,contradiction,Contradiction
"They told me that, uh, they're going to call a guy afterwards so we can meet.",I was told that a young man would be called to meet me,entailment,Neutral
"They told me that, uh, they're going to call a guy afterwards so we can meet.",A Young Man Who Came Late,neutral,Neutral
"There's a lot you could say about that, but I'll skip it.",I want to tell you all the things that happened with it.,contradiction,Contradiction
"There's a lot you could say about that, but I'll skip it.","I'm not going to talk about it, although there's a lot to say about it.",entailment,Entailment
"There's a lot you could say about that, but I'll skip it.",I'm not going to talk about the history of the city because there is so much to tell.,neutral,Neutral
So I don't know why,I Know Why,contradiction,Contradiction
So I don't know why,I don't know why he changed schools,neutral,Neutral
So I don't know why,I don't know why this happened,entailment,Entailment
"I'm the only one, uh, who's ever done any kind of inspection, any kind of testing in little little rooms.",I didn't like being the only one supervising exams,neutral,Contradiction
"I'm the only one, uh, who's ever done any kind of inspection, any kind of testing in little little rooms.",Fireplaces made in small rooms,entailment,Neutral
"I'm the only one, uh, who's ever done any kind of inspection, any kind of testing in little little rooms.",A few of us supervised the banquet,contradiction,Contradiction
"I'm uh, CEO Serija, he resigned, as Rick said",I Still Do It Today,contradiction,Contradiction
"I'm uh, CEO Serija, he resigned, as Rick said",Graduating in 2002,neutral,Neutral
"I'm uh, CEO Serija, he resigned, as Rick said",Rick told you I quit,entailment,Entailment
"There's money laid out on my desk and, um, uh, it's for the Cutties, that's the name of the client.","A customer named Cutty earns $10,000 a month",neutral,Neutral
"There's money laid out on my desk and, um, uh, it's for the Cutties, that's the name of the client.",This client is Cutty,entailment,Contradiction
"There's money laid out on my desk and, um, uh, it's for the Cutties, that's the name of the client.",We don't have customers named Cutty,contradiction,Contradiction
