Unnamed: 0	question	answer	llm	verbalized
0	Daakiyyeewwan Jaaneet guyyaatti killee 16 buusu. Ganama ganama ciree sadii nyaatti, guyyaa guyyaan hiriyyoota isheef bixxillee afur waliin bilcheessiti. Kan hafe guyyaa guyyaan gabaa qonnaan bultootaa irratti killee daakiyyee haaraa tokkoof $2n gurgurti. Guyyaa guyyaan gabaa qonnaan bulaatti doolaara meeqa argatti?	18	<pad> $2n</s>	2
1	Funyoon tokko kirrii bifa cuquliisa danqaraa 2 fi kirrii adii walakkaa sanaa fudhata. Walumaagalatti danqaraa meeqa fudhata?	3	<pad> 2</s>	2
2	Joosh mana tokko garagalchuu yaaluuf murteessa. Doolaara 80,000n mana bitee booda suphaaf doolaara 50,000 kaawwata. Kunis gatii mana kanaa %150n dabaleera. Bu'aa meeqa argate?	70000	<pad> doolaara 50,000</s>	50000
3	Jemis torbanitti al 3 fiigicha 3 fiiguuf murteessa. Fiigicha tokkoon tokkoon irratti meetira 60 fiiga. Torbanitti meetira waliigalaa meeqa fiiga?	540	<pad> 60</s>	60
4	Weendiin yeroo hunda tokkoon tokkoon cuucuto ishee nyaata cuucii makaa burcuqqoo sadii nyaachisti, kunis sanyii, raammoo nyaataa fi kuduraalee fayyaa akka qabaatan gargaaru of keessaa qaba. Nyaata adda addaa sadii nyaata cuucotashiif kenniti. Ganama tuuta cuucota isheef nyaata burcuqqoo 15 kenniti.  Waaree boodas nyaata burcuqqoo 25 kan biraa cuucotashiif kenniti. Guddinni tuuta Weendii cuucota 20 yoo ta’e nyaata dhumaa guyyaa sanaa irratti cuucota isheef kennuudhaaf nyaata burcuqqoo meeqa barbaachisa?	20	<pad> 15</s>	15
5	Kaayilar mana jireenyaa isaa haaraa kanaaf daawwitii bitachuuf gara mana daldalaa sanaa deeme. Daawwitiin tokko $5 yoo ta'u, daawwitii lammaffaa hundaaf garuu gatii %60 qofa gatii isaati. Kaayilar daawwitii 16 bitachuu barbaada. Isaanif kaffaltii meeqa isa barbaachisa?	64	<pad> $120</s>	120
6	Tuuloos hoolota Chaarlistoon dachaa lama qabdi. Chaarlistoon hoolota Siyaatil dachaa 4 qaba. Tuuloos , Chaarlistoon fi Siyaatil hoolota meeqa waliin qabu yoo Siyaatil hoolota 20 qabaatte?	260	<pad> 20</s>	20
7	Kaarlaan faayila GB200 ta'e buufachaa jirti. Akka idileetti GB/daqiiqaa 2  buufachuu dandeessi, garuu karaa buufachuu keessaa %40, Windowsi fooyyessu fe'u gochuuf irra deebiin jalqabsiisuu dirqisiisa, kunis daqiiqaa 20 fudhata. Sana booda Kaarlaan jalqabarraa kaasee buufachuuf deebitee jalqabuu qabdi. Faayila sana buufachuuf fe'iinsa akkamii barbaachisa?	160	<pad> daqiiqaa 20</s>	20
8	Joon sa'aatii 3f saffisa sa'aatii tokkotti kiiloo meetira 60n konkolaachisee booda waan hedduu barbaachisaa ta'e mana keessatti dagachuu isaa waan hubateef garagalee deeme. Sa'aatii 4 keessatti mana ga'uuf yaala garuu sa'aatii jalqabaa 2 tiraafika dhaabbate keessatti  dabarsa. Walakkaa sa'aatii itti aanu saffisa 30mph konkolaachisuun dabarsa, osoo sa'aatii 4 hafe konkolaachisuu hin dandahiin 80 mph'n deeme. Dhuma sa'aatii 4 sanaa irratti manaa irrraa hangam fagaata?	45	<pad> kiiloo meetira 60</s>	60
9	Elizaan torbanitti sa'aatii 40 jalqabaa hojjettuuf sa'aatii tokkoof gatii $10n dha. Akkasumas kaffaltii sa'aatii dabalataa kan sa'aatii idilee ishee dachaa 1.2 argatti. Elizaan torban kana sa'aatii 45 yoo hojjettee galiin torban kanaaf argattu meeqa?	460	<pad> $10n</s>	10
