question	answer	command_r+	prompt
Amadada kaJanet azalela amaqanda angu 16 ngosuku. Udla amathathu ngosuku njalo ekuseni bese ebhaka amamafini enzela abangani bakhe zonke izinsuku ngamane. Udayisa asele emakethe yamafama zonke izinsuku ngo $2 ngeqanda elikahle ledada.Imalini ngamadola ayenzayo ngosuku emakethe yamafama?	18	18	"Answer only and the answer should only contain integers. 
Amadada kaJanet azalela amaqanda angu 16 ngosuku. Udla amathathu ngosuku njalo ekuseni bese ebhaka amamafini enzela abangani bakhe zonke izinsuku ngamane. Udayisa asele emakethe yamafama zonke izinsuku ngo $2 ngeqanda elikahle ledada.Imalini ngamadola ayenzayo ngosuku emakethe yamafama?
"
Irobhu ithatha amabholithi awu-2 enxoza nohhafu wenxoza emhlophe. Mangaki amabholithi ayisamba azosebenza?	3	2	"Answer only and the answer should only contain integers. 
Irobhu ithatha amabholithi awu-2 enxoza nohhafu wenxoza emhlophe. Mangaki amabholithi ayisamba azosebenza?
"
UJohn ukhethe ukuzama ukushintsha indlu. Uthenge indlu ngo $80 00 wabe esebeka u$50000 wokulungisa. Inani elinyukile lendlu ngu 150%. Yingakanani inzuzo ayenzile?	70000	30000	"Answer only and the answer should only contain integers. 
UJohn ukhethe ukuzama ukushintsha indlu. Uthenge indlu ngo $80 00 wabe esebeka u$50000 wokulungisa. Inani elinyukile lendlu ngu 150%. Yingakanani inzuzo ayenzile?
"
UJames ukhetha ukugijima ngesivinini esikhulu kathathu ngesonto.Ugijima amamitha angu-60 ngesivinini esikhulu ngasinye. Mangaki amamitha esewonke awagijimayo ngesonto?	540	240	"Answer only and the answer should only contain integers. 
UJames ukhetha ukugijima ngesivinini esikhulu kathathu ngesonto.Ugijima amamitha angu-60 ngesivinini esikhulu ngasinye. Mangaki amamitha esewonke awagijimayo ngesonto?
"
Zonke izinsuku uWendi uphakela izinkukhu zakhe izinkomishi ezintathu zokudla okuxutshiwe kwezinkukhu, okubandakanya imbewu, imisundu kanye nezitshalo ukuzisiza zihlale zondlekile. Unikeza izinkukhu ukudla kwazo ngokudla okuhlukene kathathu. Ekuseni unikeza umhlambi wezinkukhu izinkomishi ezingu 15 zokudla. Ntambama unikeza izinkukhu zakhe ezinye izinkomishi ezingu 25 zokudla. Zingaki izinkomishi zokudla okumele azinike izinkukhu zakhe ngesikhathi sokugcina sokudla uma ubuningi bomhlambi wakhe kungu 20 wezinkukhu?	20	100	"Answer only and the answer should only contain integers. 
Zonke izinsuku uWendi uphakela izinkukhu zakhe izinkomishi ezintathu zokudla okuxutshiwe kwezinkukhu, okubandakanya imbewu, imisundu kanye nezitshalo ukuzisiza zihlale zondlekile. Unikeza izinkukhu ukudla kwazo ngokudla okuhlukene kathathu. Ekuseni unikeza umhlambi wezinkukhu izinkomishi ezingu 15 zokudla. Ntambama unikeza izinkukhu zakhe ezinye izinkomishi ezingu 25 zokudla. Zingaki izinkomishi zokudla okumele azinike izinkukhu zakhe ngesikhathi sokugcina sokudla uma ubuningi bomhlambi wakhe kungu 20 wezinkukhu?
"
UKylar uye esitolo ukuyothenga izingilazi zasendlini yakhe entsha. Ingilazi iyinye ibiza u$5, kodwa yonke ingilazi yesibili ibiza u60% kuphela wenani layo. UKylar ufuna ukuthenga izingilazi ezingu16. Udinga malini ukuze awakhokhele?	64	108	"Answer only and the answer should only contain integers. 
UKylar uye esitolo ukuyothenga izingilazi zasendlini yakhe entsha. Ingilazi iyinye ibiza u$5, kodwa yonke ingilazi yesibili ibiza u60% kuphela wenani layo. UKylar ufuna ukuthenga izingilazi ezingu16. Udinga malini ukuze awakhokhele?
"
UToulouse unezimvu eziphindeke kabili kwezikaCharleston.uChalerston uneziphindeke kane izimvu kwezika Seattle. Zingaki izimvu uToulouse,uCharleston noSeattle abanazo ndawonye uma uSeattle enezimvu ezingu-20?	260	12	"Answer only and the answer should only contain integers. 
UToulouse unezimvu eziphindeke kabili kwezikaCharleston.uChalerston uneziphindeke kane izimvu kwezika Seattle. Zingaki izimvu uToulouse,uCharleston noSeattle abanazo ndawonye uma uSeattle enezimvu ezingu-20?
"
UCarla ulanda ifayela eliwu 200 GB. Ngokujwayelekile engalanda u2 GB ngeminithi, kodwa uma eseku 40% wokulanda, amaWindi aqale kabusha ukuthi afake uhlelokusebenza olubuyekeziwe, okuthatha amaminithi angu20. Bese uCarla kumele aqale phansi alande kusuka ekuqaleni. Kuthatha isikhathi esingakanani ukulanda ifayela?	160	10	"Answer only and the answer should only contain integers. 
UCarla ulanda ifayela eliwu 200 GB. Ngokujwayelekile engalanda u2 GB ngeminithi, kodwa uma eseku 40% wokulanda, amaWindi aqale kabusha ukuthi afake uhlelokusebenza olubuyekeziwe, okuthatha amaminithi angu20. Bese uCarla kumele aqale phansi alande kusuka ekuqaleni. Kuthatha isikhathi esingakanani ukulanda ifayela?
"
UJohn ushayela amahora amathathu ngesivinini sika 60 mph wabe useyajika ngoba uyabona ukuthi kukhona akukhohliwe okubalulekile ekhaya. Uyazama ukufika ekhaya emahoreni amane kodwa uchitha amahora amabili okuqala kusiminyaminya. Uchitha uhhafu wehora olandelayo eshayela ngesivinini sika30 mph, mande akwazi ukushayela esikhathini esisele samahora amane ehamba ngo 80 mph. Ukude kangakanani nasekhaya ekupheleni kwalawomahora amane?	45	120	"Answer only and the answer should only contain integers. 
UJohn ushayela amahora amathathu ngesivinini sika 60 mph wabe useyajika ngoba uyabona ukuthi kukhona akukhohliwe okubalulekile ekhaya. Uyazama ukufika ekhaya emahoreni amane kodwa uchitha amahora amabili okuqala kusiminyaminya. Uchitha uhhafu wehora olandelayo eshayela ngesivinini sika30 mph, mande akwazi ukushayela esikhathini esisele samahora amane ehamba ngo 80 mph. Ukude kangakanani nasekhaya ekupheleni kwalawomahora amane?
"
Izinga likaEliza lehora ngalinye emahoreni okuqala angamashumi amane awasebenza ngesonto angu-$10.Ubuye athole inkokhelo yokusebenza okwengeziwe ya 1.2 yesikhathi sezinga lamahora akhe ajwayelekile. Uma u-Eliza esebenze amahora angu 45 kulelisonto, uyimalini umholo wakhe kulelisonto?	460	$558	"Answer only and the answer should only contain integers. 
Izinga likaEliza lehora ngalinye emahoreni okuqala angamashumi amane awasebenza ngesonto angu-$10.Ubuye athole inkokhelo yokusebenza okwengeziwe ya 1.2 yesikhathi sezinga lamahora akhe ajwayelekile. Uma u-Eliza esebenze amahora angu 45 kulelisonto, uyimalini umholo wakhe kulelisonto?
"
Uhlelo olusha lunokulandiwe okungu 60 enyangeni yokuqala. Inamba yokulandilwe ngenyanga yesibili kunyuke kathathu ubuningi kokulandwe ngenyanga yokuqala, kodwa kwehla ngo30% ngenyanga yesithathu.Kungaki okulandilwe kuloluhlelo, yisho isamba sazinyanga ezintathu?	366	114	"Answer only and the answer should only contain integers. 
Uhlelo olusha lunokulandiwe okungu 60 enyangeni yokuqala. Inamba yokulandilwe ngenyanga yesibili kunyuke kathathu ubuningi kokulandwe ngenyanga yokuqala, kodwa kwehla ngo30% ngenyanga yesithathu.Kungaki okulandilwe kuloluhlelo, yisho isamba sazinyanga ezintathu?
"
UToula uye ebheyikha wathenga izinhlobo ezahlukene zokubhakiwe.Uthenge amadazini awu3 amadonathi abiza u$68 idazini lilodwa, amadazini awu 2 wamakhaphukhekhi abiza u$80 idazini lilinye, namadazini awu6 amakhekhe amancane abiza u$55 idazini lilinye.Kubiza malini sekuhlangene konke?	694	321	"Answer only and the answer should only contain integers. 
UToula uye ebheyikha wathenga izinhlobo ezahlukene zokubhakiwe.Uthenge amadazini awu3 amadonathi abiza u$68 idazini lilodwa, amadazini awu 2 wamakhaphukhekhi abiza u$80 idazini lilinye, namadazini awu6 amakhekhe amancane abiza u$55 idazini lilinye.Kubiza malini sekuhlangene konke?
"
UCarlos utshale isihlahla sikalamula. Isihlahla sizobiza u$90 isitshalo. Njalo ngonyaka sizokhipha olamula abawu7,ongadayisa u$1.5 uwodwa. Kubiza u$3 ngonyaka ukuchelela nokusondla isihlahla. Kuzothatha iminyaka emingaki mande aqale ukuthola imali esihlahleni sikalamula?	13	12	"Answer only and the answer should only contain integers. 
UCarlos utshale isihlahla sikalamula. Isihlahla sizobiza u$90 isitshalo. Njalo ngonyaka sizokhipha olamula abawu7,ongadayisa u$1.5 uwodwa. Kubiza u$3 ngonyaka ukuchelela nokusondla isihlahla. Kuzothatha iminyaka emingaki mande aqale ukuthola imali esihlahleni sikalamula?
"
UMelanie ungumdayisi ongena umnyango nomnyango. Udayise uhhafu nekota wamavacuum cleaner endlini eluhlaza, amanye amabili endlini ebomvu nohhafu owokusele endlini eorintshi. Uma uMelanie enamavacuum cleaner awu5 asele, uqale ngamangaki?	18	3	"Answer only and the answer should only contain integers. 
UMelanie ungumdayisi ongena umnyango nomnyango. Udayise uhhafu nekota wamavacuum cleaner endlini eluhlaza, amanye amabili endlini ebomvu nohhafu owokusele endlini eorintshi. Uma uMelanie enamavacuum cleaner awu5 asele, uqale ngamangaki?
"
Ekilasini lokudansa elinabafundi abangu 20, u 20% uzofundela umdanso wesikhathi sinye, ku 25% osele uzofunda umdanso wejezi, abanye bafunde umdanso wehip-hop, Mangaki amaphesenti abo bonke abafundi abafunda umdanso wehip-hop?	60	80	"Answer only and the answer should only contain integers. 
Ekilasini lokudansa elinabafundi abangu 20, u 20% uzofundela umdanso wesikhathi sinye, ku 25% osele uzofunda umdanso wejezi, abanye bafunde umdanso wehip-hop, Mangaki amaphesenti abo bonke abafundi abafunda umdanso wehip-hop?
"
Umdayisi ufuna ukwenza isinqumo phakathi kwezinhlelo ezimbili:ubuchwebe obubiza u$5.000 noma izinto zikagesi ezibiza u$8000. Umeluleki wakhe wezezimali ubone ukuthi izimakethe zobucwebe zizokhuphuka ngo 2.5% ngesikhathi izinto zikagesi izimakethe zazo zikhuphuka ngo1.2% ngenyanga efanayo. Uma umdayisi efuna ukunyusa inzuzo ekupheleni kwalenyanga ngesinqumo asithathayo, izoba ngakanani inzuzo?	125	5	"Answer only and the answer should only contain integers. 
Umdayisi ufuna ukwenza isinqumo phakathi kwezinhlelo ezimbili:ubuchwebe obubiza u$5.000 noma izinto zikagesi ezibiza u$8000. Umeluleki wakhe wezezimali ubone ukuthi izimakethe zobucwebe zizokhuphuka ngo 2.5% ngesikhathi izinto zikagesi izimakethe zazo zikhuphuka ngo1.2% ngenyanga efanayo. Uma umdayisi efuna ukunyusa inzuzo ekupheleni kwalenyanga ngesinqumo asithathayo, izoba ngakanani inzuzo?
"
Izitimela ezimbili zisuka eSan Rafael ngesikhathi esifanayo.ziqala uhambo ziye ngasentshonalanga zombili zihamba ngomamayela angu80.Ngosuku olulandelayo zihamba zibheke enyakatho zikhava amamayela angu 150. Lingakanani ibanga elikhavwe yisitimela ngasinye kulezizinsuku ezimbili?	230	1360	"Answer only and the answer should only contain integers. 
Izitimela ezimbili zisuka eSan Rafael ngesikhathi esifanayo.ziqala uhambo ziye ngasentshonalanga zombili zihamba ngomamayela angu80.Ngosuku olulandelayo zihamba zibheke enyakatho zikhava amamayela angu 150. Lingakanani ibanga elikhavwe yisitimela ngasinye kulezizinsuku ezimbili?
"
UJill ukhokhelwa u $20 ngehora ukufundisa no $30 wokuqeqesha abanandisayo. Uma esebenza amasonto angu50 ngonyaka, amahora angu 35 ngesonto njengothisha namahora angu 15 njengomqeqeshi, yimalini umholo wakhe ngonyaka?	57500	11400	"Answer only and the answer should only contain integers. 
UJill ukhokhelwa u $20 ngehora ukufundisa no $30 wokuqeqesha abanandisayo. Uma esebenza amasonto angu50 ngonyaka, amahora angu 35 ngesonto njengothisha namahora angu 15 njengomqeqeshi, yimalini umholo wakhe ngonyaka?
"
UClaire wenza i-omulethi yamaqanda amathathu njalo ekuseni ngesikhathi sebhulakufesi. Mangaki amadazini amaqanda azowadla emasontweni awu4?	7	12	"Answer only and the answer should only contain integers. 
UClaire wenza i-omulethi yamaqanda amathathu njalo ekuseni ngesikhathi sebhulakufesi. Mangaki amadazini amaqanda azowadla emasontweni awu4?
"
UMarissa uhamba ngezinyawo amamayela angu12. Wathatha ihora elilodwa ukuhamba amamayela angu 4, elinye ihora ehamba amamayela amabili alandelayo. Uma efuna isilinganiso sesivinini sakhe sibe ngamamayela awu 4 ngehora, singakanani isivinini (ngamamayela ngehora) okudinga ahambe ngaso kulelibanga elisele?	6	16	"Answer only and the answer should only contain integers. 
UMarissa uhamba ngezinyawo amamayela angu12. Wathatha ihora elilodwa ukuhamba amamayela angu 4, elinye ihora ehamba amamayela amabili alandelayo. Uma efuna isilinganiso sesivinini sakhe sibe ngamamayela awu 4 ngehora, singakanani isivinini (ngamamayela ngehora) okudinga ahambe ngaso kulelibanga elisele?
"
Nginamalitha angu 10 esiphuzo seworintshi esingamakota amabili amanzi futhi ngiyafisa ukuwengeza kumalitha angu 15 esiphuzo sikaphayinaphu esingamakota amathathu kokuhlanu amanzi. Kodwa ngesikhathi ngiwathela, ngichithe ilitha elilodwa lesiphuzo sewolintshi.Mangakanani amanzi asele kumalitha angu 24?	15	41	"Answer only and the answer should only contain integers. 
Nginamalitha angu 10 esiphuzo seworintshi esingamakota amabili amanzi futhi ngiyafisa ukuwengeza kumalitha angu 15 esiphuzo sikaphayinaphu esingamakota amathathu kokuhlanu amanzi. Kodwa ngesikhathi ngiwathela, ngichithe ilitha elilodwa lesiphuzo sewolintshi.Mangakanani amanzi asele kumalitha angu 24?
"
URaymond noSamantha bangomzala. URaymond wazalwa eminyakeni engu 6 ngaphambi kukaSamantha. URaymond waba nendodana eneminyaka engu 23. Uma uSamantha eneminyaka engu 31 manje,mingaki iminyaka indodana kaRaymond yazalwa?	14	12	"Answer only and the answer should only contain integers. 
URaymond noSamantha bangomzala. URaymond wazalwa eminyakeni engu 6 ngaphambi kukaSamantha. URaymond waba nendodana eneminyaka engu 23. Uma uSamantha eneminyaka engu 31 manje,mingaki iminyaka indodana kaRaymond yazalwa?
"
UBilly udayisa amaDVD. Unamakhasimende angu 8 ngoLwesibili. Amakhasimende akhe okuqala awu 3 athenga amaDVD ikhasimende ngalinye. Amakhasimende akhe alandelayo awu 2 athenga amaDVD amabili ngalinye. Amakhasimende akhe okugcina awu3 awathenganga DVD. Udayise amaDVD amangaki uBilly ngoLwesibili?	7	2	"Answer only and the answer should only contain integers. 
UBilly udayisa amaDVD. Unamakhasimende angu 8 ngoLwesibili. Amakhasimende akhe okuqala awu 3 athenga amaDVD ikhasimende ngalinye. Amakhasimende akhe alandelayo awu 2 athenga amaDVD amabili ngalinye. Amakhasimende akhe okugcina awu3 awathenganga DVD. Udayise amaDVD amangaki uBilly ngoLwesibili?
"
Ikhandlela lincibilika ngamasentimitha awu 2 njalo ngehora livutha. Amasentimitha amangaki ukuba bufishane bekhandlela ngemva kokuvutha kusuka ngo1:00 ntambama kuya ku5:00 ntambama	8	120	"Answer only and the answer should only contain integers. 
Ikhandlela lincibilika ngamasentimitha awu 2 njalo ngehora livutha. Amasentimitha amangaki ukuba bufishane bekhandlela ngemva kokuvutha kusuka ngo1:00 ntambama kuya ku5:00 ntambama
"
UKyle uthenge incwadi yangonyaka odlule ngo $19.50.Lokhu kunesaphulelo sika 25% kunani langempela. Lithini inani langempela lencwadi?	26	15	"Answer only and the answer should only contain integers. 
UKyle uthenge incwadi yangonyaka odlule ngo $19.50.Lokhu kunesaphulelo sika 25% kunani langempela. Lithini inani langempela lencwadi?
"
UMarie u-ode inkukhu ukudla kwenkuku eyodwa okubiza u $12,5,amaphakethe obisi abiza u $3 ngalinye, ama-aphula abiza u $1,50 ngalinye namabhokisi ephiza. Umarie ukhokhe isamba sika $50. U-ode amabhokisi amangaki ephiza uMarie uma ibhokisi ngalinye libiza u $8,50?	2	2	"Answer only and the answer should only contain integers. 
UMarie u-ode inkukhu ukudla kwenkuku eyodwa okubiza u $12,5,amaphakethe obisi abiza u $3 ngalinye, ama-aphula abiza u $1,50 ngalinye namabhokisi ephiza. Umarie ukhokhe isamba sika $50. U-ode amabhokisi amangaki ephiza uMarie uma ibhokisi ngalinye libiza u $8,50?
"
UMishka uthenge amapheya ezikhindi awu3, amapheya amabhulukwe awu3 nezicathulo eziwu-3. Ipheya ngalinye lezikhindi libiza u$16,50. Ibhulukwengalinye libiza u$22.50 nezicathulo ngazinye zibiza u$42. Amadola amangaki asetshenziswe nguMishka kuzona zonke lezi zingubo zokugqoka?	243	2	"Answer only and the answer should only contain integers. 
UMishka uthenge amapheya ezikhindi awu3, amapheya amabhulukwe awu3 nezicathulo eziwu-3. Ipheya ngalinye lezikhindi libiza u$16,50. Ibhulukwengalinye libiza u$22.50 nezicathulo ngazinye zibiza u$42. Amadola amangaki asetshenziswe nguMishka kuzona zonke lezi zingubo zokugqoka?
"
UCynthia udla ayisi khilimu njalo ebusuku. Uthenga amakhathoni ka ayisikhilimu anamaphakethe angu 15 phakathi ikhathoni ngalinye okubiza $4.00 ikhathoni ngalinye. Ngemva kwezinsuku ezingu 60 uzobe esechithe malini ku-ayisikhilimu?	16	1080	"Answer only and the answer should only contain integers. 
UCynthia udla ayisi khilimu njalo ebusuku. Uthenga amakhathoni ka ayisikhilimu anamaphakethe angu 15 phakathi ikhathoni ngalinye okubiza $4.00 ikhathoni ngalinye. Ngemva kwezinsuku ezingu 60 uzobe esechithe malini ku-ayisikhilimu?
"
UHenry ume ezindaweni ezimbili ngesikhathi sohambo lwakhe lwamamayela angu 60. Ume okokuqala emva kwamamayela angu20. Ume okwesibili kumamayela awu 15 mande luphele uhambo lwakhe. Amamayela amangaki awahambile phakathi phakathi kokuma kokuqala nokwesibili?	25	45	"Answer only and the answer should only contain integers. 
UHenry ume ezindaweni ezimbili ngesikhathi sohambo lwakhe lwamamayela angu 60. Ume okokuqala emva kwamamayela angu20. Ume okwesibili kumamayela awu 15 mande luphele uhambo lwakhe. Amamayela amangaki awahambile phakathi phakathi kokuma kokuqala nokwesibili?
"
UGloria ufuna ukuthenga izicathulo ngesikhathi ebona amabhuthi anela imali yakhe, kepha kumele akhethe phakathi kwamabhuthi nezicathulo eziphakeme uma kuhlangene kubiza amadola amahlanu ngaphansi kwamabhuthi. Uma izicathulo ezizodwa eziphakeme zibiza u$33 bese ezinye zibiza kabili ngaphezulu, amabhuthi angamadola amangaki?	104	3	"Answer only and the answer should only contain integers. 
UGloria ufuna ukuthenga izicathulo ngesikhathi ebona amabhuthi anela imali yakhe, kepha kumele akhethe phakathi kwamabhuthi nezicathulo eziphakeme uma kuhlangene kubiza amadola amahlanu ngaphansi kwamabhuthi. Uma izicathulo ezizodwa eziphakeme zibiza u$33 bese ezinye zibiza kabili ngaphezulu, amabhuthi angamadola amangaki?
"
UDarren noAllen iminyaka yabo isesilinganisweni sika 7:11. Uma iminyaka yabo ihalngene manje ingu 162 bala iminyaka kaAllen eminyakeni eyishumi kusuka manje	109	146	"Answer only and the answer should only contain integers. 
UDarren noAllen iminyaka yabo isesilinganisweni sika 7:11. Uma iminyaka yabo ihalngene manje ingu 162 bala iminyaka kaAllen eminyakeni eyishumi kusuka manje
"
UGunter uzama ukubala ubhontshisi ongujeli kujeke. Ubuza abangani bakhe ukuthi bacabanga ukuthi mungaki kujeke. Omunye uthi 80, Omunye uthi 20 ngaphezu kukahhafu wokuqala. Owesithathu uthi 25% ngaphezu kowokuqala. Ubani isilinganiso sokuqagela kwabo?	80	80 100 120	"Answer only and the answer should only contain integers. 
UGunter uzama ukubala ubhontshisi ongujeli kujeke. Ubuza abangani bakhe ukuthi bacabanga ukuthi mungaki kujeke. Omunye uthi 80, Omunye uthi 20 ngaphezu kukahhafu wokuqala. Owesithathu uthi 25% ngaphezu kowokuqala. Ubani isilinganiso sokuqagela kwabo?
"
UJohn unakekela izinja ezingu10. Inja ngayinye ithatha amahora angu 5 ukuthi ihambe nokunakekela ibhizinisi labo.Mangaki amahora awachithayo ngesonto ukunakekela izinja?	35	125	"Answer only and the answer should only contain integers. 
UJohn unakekela izinja ezingu10. Inja ngayinye ithatha amahora angu 5 ukuthi ihambe nokunakekela ibhizinisi labo.Mangaki amahora awachithayo ngesonto ukunakekela izinja?
"
UGretchen unohlweza oluwu110. Kukhona olunye uhlweza lwegolide olungu30 ukunohlweza oluyisiliva. Unohlweza olungaki oluyigolide uGretchen?	70	140	"Answer only and the answer should only contain integers. 
UGretchen unohlweza oluwu110. Kukhona olunye uhlweza lwegolide olungu30 ukunohlweza oluyisiliva. Unohlweza olungaki oluyigolide uGretchen?
"
