Unnamed: 0	premise	hypothesis	label	llm	verbalized
0	Tole, ani waa'ee sanaa illee yaadaa hin ture, garuu baay'een aare fi, ammas isa waliin haasa'ee xumure.	Isa waliin ammas hin dubbannen ture.	contradiction	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: Tole, ani waa'ee sanaa illee yaadaa hin ture, garuu baay'een aare fi, ammas isa waliin haasa'ee xumure.
HYPOTHESIS: Isa waliin ammas hin dubbannen ture.
Is it  entailment, contradiction, or neutral? contradiction"	contradiction
1	Tole, ani waa'ee sanaa illee yaadaa hin ture, garuu baay'een aare fi, ammas isa waliin haasa'ee xumure.	Baay'ee waanan mufadheef ammas isa waliin haasa'uu jalqabe.	entailment	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: Tole, ani waa'ee sanaa illee yaadaa hin ture, garuu baay'een aare fi, ammas isa waliin haasa'ee xumure.
HYPOTHESIS: Baay'ee waanan mufadheef ammas isa waliin haasa'uu jalqabe.
Is it  entailment, contradiction, or neutral? contradiction"	contradiction
2	Tole, ani waa'ee sanaa illee yaadaa hin ture, garuu baay'een aare fi, ammas isa waliin haasa'ee xumure.	Haasaa baayyee bareedaa taasifneerra.	neutral	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: Tole, ani waa'ee sanaa illee yaadaa hin ture, garuu baay'een aare fi, ammas isa waliin haasa'ee xumure.
HYPOTHESIS: Haasaa baayyee bareedaa taasifneerra.
Is it  entailment, contradiction, or neutral? contradiction"	contradiction
3	Isaanis akkas naan jedhan, ah, akkan wal arguuf dhuma irratti gurbaa tokkoon akkan waamamu natti himan.	Nama kamiinuu wal arguuf homaa natti himamee hin beeku.	contradiction	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: Isaanis akkas naan jedhan, ah, akkan wal arguuf dhuma irratti gurbaa tokkoon akkan waamamu natti himan.
HYPOTHESIS: Nama kamiinuu wal arguuf homaa natti himamee hin beeku.
Is it  entailment, contradiction, or neutral? contradiction"	contradiction
4	Isaanis akkas naan jedhan, ah, akkan wal arguuf dhuma irratti gurbaa tokkoon akkan waamamu natti himan.	Wal arguuf gurbaan tokko gara keessaatti anaaf akka waamamu natti himame.	entailment	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: Isaanis akkas naan jedhan, ah, akkan wal arguuf dhuma irratti gurbaa tokkoon akkan waamamu natti himan.
HYPOTHESIS: Wal arguuf gurbaan tokko gara keessaatti anaaf akka waamamu natti himame.
Is it  entailment, contradiction, or neutral? contradiction"	contradiction
5	Isaanis akkas naan jedhan, ah, akkan wal arguuf dhuma irratti gurbaa tokkoon akkan waamamu natti himan.	Gurbaan sun xiqqoo turee mul'ate.	neutral	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: Isaanis akkas naan jedhan, ah, akkan wal arguuf dhuma irratti gurbaa tokkoon akkan waamamu natti himan.
HYPOTHESIS: Gurbaan sun xiqqoo turee mul'ate.
Is it  entailment, contradiction, or neutral? contradiction"	contradiction
6	 Waan baay'ee waa’ee sanaa irratti dubbachuu dandeessu ni jira, calliseen irran darba.	Waa'ee sanaa waanan beeku hunda isinitti himuu barbaada!	contradiction	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE:  Waan baay'ee waa’ee sanaa irratti dubbachuu dandeessu ni jira, calliseen irran darba.
HYPOTHESIS: Waa'ee sanaa waanan beeku hunda isinitti himuu barbaada!
Is it  entailment, contradiction, or neutral? contradiction"	contradiction
7	 Waan baay'ee waa’ee sanaa irratti dubbachuu dandeessu ni jira, calliseen irran darba.	Waanti baay'ee kan jedhamu jiraatus, waa'ee sanaa hin dubbadhu.	entailment	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE:  Waan baay'ee waa’ee sanaa irratti dubbachuu dandeessu ni jira, calliseen irran darba.
HYPOTHESIS: Waanti baay'ee kan jedhamu jiraatus, waa'ee sanaa hin dubbadhu.
Is it  entailment, contradiction, or neutral? contradiction"	contradiction
8	 Waan baay'ee waa’ee sanaa irratti dubbachuu dandeessu ni jira, calliseen irran darba.	Waa'ee seenaa magaalattii hin dubbadhu sababni isaas waanti jedhamu baay'ee waan ta'eef.	neutral	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE:  Waan baay'ee waa’ee sanaa irratti dubbachuu dandeessu ni jira, calliseen irran darba.
HYPOTHESIS: Waa'ee seenaa magaalattii hin dubbadhu sababni isaas waanti jedhamu baay'ee waan ta'eef.
Is it  entailment, contradiction, or neutral? contradiction"	contradiction
9	Kanaafuu ani dhuguma maaliif akka ta'e hin beeku.	Sababni maaliif akka ta'e ani shakkii tokko malee nan beeka.	contradiction	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: Kanaafuu ani dhuguma maaliif akka ta'e hin beeku.
HYPOTHESIS: Sababni maaliif akka ta'e ani shakkii tokko malee nan beeka.
Is it  entailment, contradiction, or neutral? contradiction"	contradiction
10	Kanaafuu ani dhuguma maaliif akka ta'e hin beeku.	Maaliif manneen barnootaa akka geeddare hin beeku.	neutral	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: Kanaafuu ani dhuguma maaliif akka ta'e hin beeku.
HYPOTHESIS: Maaliif manneen barnootaa akka geeddare hin beeku.
Is it  entailment, contradiction, or neutral? contradiction"	contradiction
11	Kanaafuu ani dhuguma maaliif akka ta'e hin beeku.	Maaliif sun akka ta'e hin beeku.	entailment	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: Kanaafuu ani dhuguma maaliif akka ta'e hin beeku.
HYPOTHESIS: Maaliif sun akka ta'e hin beeku.
Is it  entailment, contradiction, or neutral? contradiction"	contradiction
