	premise	hypothesis	label	llm
0	I didn't even think about it, but I was worried and I ended up talking to him again	I never spoke to him again	contradiction	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: I didn't even think about it, but I was worried and I ended up talking to him again
HYPOTHESIS: I never spoke to him again
Is it  entailment, contradiction, or neutral?<eos>
<|assistant|>
Neutral<eos>"
1	I didn't even think about it, but I was worried and I ended up talking to him again	I was so angry that I started talking to him	entailment	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: I didn't even think about it, but I was worried and I ended up talking to him again
HYPOTHESIS: I was so angry that I started talking to him
Is it  entailment, contradiction, or neutral?<eos>
<|assistant|>
Neutral<eos>"
2	I didn't even think about it, but I was worried and I ended up talking to him again	We had a good talk	neutral	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: I didn't even think about it, but I was worried and I ended up talking to him again
HYPOTHESIS: We had a good talk
Is it  entailment, contradiction, or neutral?<eos>
<|assistant|>
Entitlement<eos>"
3	They told me that they would call the last man I would meet.	I've never been told anything about who I should meet	contradiction	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: They told me that they would call the last man I would meet.
HYPOTHESIS: I've never been told anything about who I should meet
Is it  entailment, contradiction, or neutral?<eos>
<|assistant|>
Neutral<eos>"
4	They told me that they would call the last man I would meet.	I was told that the man would be called to meet me	entailment	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: They told me that they would call the last man I would meet.
HYPOTHESIS: I was told that the man would be called to meet me
Is it  entailment, contradiction, or neutral?<eos>
<|assistant|>
Neutral<eos>"
5	They told me that they would call the last man I would meet.	The man came late	neutral	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: They told me that they would call the last man I would meet.
HYPOTHESIS: The man came late
Is it  entailment, contradiction, or neutral?<eos>
<|assistant|>
Neutral<eos>"
6	There's a lot to talk about in that, I'll skip that.	I want to tell you everything I know about that.	contradiction	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: There's a lot to talk about in that, I'll skip that.
HYPOTHESIS: I want to tell you everything I know about that.
Is it  entailment, contradiction, or neutral?<eos>
<|assistant|>
Neutral<eos>"
7	There's a lot to talk about in that, I'll skip that.	I won't talk about that, although there's a lot I could say.	entailment	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: There's a lot to talk about in that, I'll skip that.
HYPOTHESIS: I won't talk about that, although there's a lot I could say.
Is it  entailment, contradiction, or neutral?<eos>
<|assistant|>
Neutral<eos>"
8	There's a lot to talk about in that, I'll skip that.	I won't talk about the history of the city because there is so much to say	neutral	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: There's a lot to talk about in that, I'll skip that.
HYPOTHESIS: I won't talk about the history of the city because there is so much to say
Is it  entailment, contradiction, or neutral?<eos>
<|assistant|>
Neutral<eos>"
9	I'm not sure why	I'm sure the reason	contradiction	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: I'm not sure why
HYPOTHESIS: I'm sure the reason
Is it  entailment, contradiction, or neutral?<eos>
<|assistant|>
Neutral<eos>"
10	I'm not sure why	I don't know why he was transferred to schools	neutral	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: I'm not sure why
HYPOTHESIS: I don't know why he was transferred to schools
Is it  entailment, contradiction, or neutral?<eos>
<|assistant|>
Neutral<eos>"
11	I'm not sure why	I don't know why that happens.	entailment	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: I'm not sure why
HYPOTHESIS: I don't know why that happens.
Is it  entailment, contradiction, or neutral?<eos>
<|assistant|>
Entailment<eos>"
12	I was the only one working on the controls, checking for small high holes	I didn't like being the only one using the test controls	neutral	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: I was the only one working on the controls, checking for small high holes
HYPOTHESIS: I didn't like being the only one using the test controls
Is it  entailment, contradiction, or neutral?<eos>
<|assistant|>
Contradiction<eos>"
13	I was the only one working on the controls, checking for small high holes	Tests were carried out in small high-pressure chambers	entailment	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: I was the only one working on the controls, checking for small high holes
HYPOTHESIS: Tests were carried out in small high-pressure chambers
Is it  entailment, contradiction, or neutral?<eos>
<|assistant|>
Entailment<eos>"
14	I was the only one working on the controls, checking for small high holes	Few of us rushed to the controls to check	contradiction	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: I was the only one working on the controls, checking for small high holes
HYPOTHESIS: Few of us rushed to the controls to check
Is it  entailment, contradiction, or neutral?<eos>
<|assistant|>
Entailment<eos>"
15	I'm a retired senior sergeant, according to Rick.	Still working to this day	contradiction	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: I'm a retired senior sergeant, according to Rick.
HYPOTHESIS: Still working to this day
Is it  entailment, contradiction, or neutral?<eos>
<|assistant|>
Neutral<eos>"
16	I'm a retired senior sergeant, according to Rick.	Retired in 2002	neutral	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: I'm a retired senior sergeant, according to Rick.
HYPOTHESIS: Retired in 2002
Is it  entailment, contradiction, or neutral?<eos>
<|assistant|>
Entailment<eos>"
17	I'm a retired senior sergeant, according to Rick.	Rick told you I retired.	entailment	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: I'm a retired senior sergeant, according to Rick.
HYPOTHESIS: Rick told you I retired.
Is it  entailment, contradiction, or neutral?<eos>
<|assistant|>
Entailment<eos>"
18	There were cash receipts on my desk, that's why and Cutty, that's the client's name	Client Cutty is making $10,000 a month.	neutral	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: There were cash receipts on my desk, that's why and Cutty, that's the client's name
HYPOTHESIS: Client Cutty is making $10,000 a month.
Is it  entailment, contradiction, or neutral?<eos>
<|assistant|>
Entailment<eos>"
19	There were cash receipts on my desk, that's why and Cutty, that's the client's name	There's a customer named Cutty	entailment	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: There were cash receipts on my desk, that's why and Cutty, that's the client's name
HYPOTHESIS: There's a customer named Cutty
Is it  entailment, contradiction, or neutral?<eos>
<|assistant|>
Entailment.<eos>"
20	There were cash receipts on my desk, that's why and Cutty, that's the client's name	We don't have a customer named Cutty	contradiction	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: There were cash receipts on my desk, that's why and Cutty, that's the client's name
HYPOTHESIS: We don't have a customer named Cutty
Is it  entailment, contradiction, or neutral?<eos>
<|assistant|>
Contradiction<eos>"
21	The girl I helped is from across town	The girl I want to help lives far away	entailment	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: The girl I helped is from across town
HYPOTHESIS: The girl I want to help lives far away
Is it  entailment, contradiction, or neutral?<eos>
<|assistant|>
Neutral<eos>"
22	The girl I helped is from across town	The girl who will help me lives five miles away	neutral	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: The girl I helped is from across town
HYPOTHESIS: The girl who will help me lives five miles away
Is it  entailment, contradiction, or neutral?<eos>
<|assistant|>
Neutral<eos>"
23	The girl I helped is from across town	No one can help me	contradiction	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: The girl I helped is from across town
HYPOTHESIS: No one can help me
Is it  entailment, contradiction, or neutral?<eos>
<|assistant|>
Contradiction<eos>"
24	They are divided as to who will work in the fields and who will be the children of the household, something similar	All agreed to work in the fields	contradiction	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: They are divided as to who will work in the fields and who will be the children of the household, something similar
HYPOTHESIS: All agreed to work in the fields
Is it  entailment, contradiction, or neutral?<eos>
<|assistant|>
Neither entailment nor contradiction.<eos>"
25	They are divided as to who will work in the fields and who will be the children of the household, something similar	They could not agree on who would go out in the ministry and who would work in the house	entailment	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: They are divided as to who will work in the fields and who will be the children of the household, something similar
HYPOTHESIS: They could not agree on who would go out in the ministry and who would work in the house
Is it  entailment, contradiction, or neutral?<eos>
<|assistant|>
Neutral<eos>"
26	They are divided as to who will work in the fields and who will be the children of the household, something similar	They could not agree on who would work in the cotton field and who would sweep the floor	neutral	"<|system|>
You are a friendly chatbot who answewrs question in an African language<eos>
<|user|>
Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: They are divided as to who will work in the fields and who will be the children of the household, something similar
HYPOTHESIS: They could not agree on who would work in the cotton field and who would sweep the floor
Is it  entailment, contradiction, or neutral?<eos>
<|assistant|>
Neutral<eos>"
