	premise	hypothesis	label	llm
0	Well, I didn't even think about it, but I was upset, so I went back and talked to him again.	I haven't spoken to him since.	contradiction	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: Well, I didn't even think about it, but I was upset, so I went back and talked to him again.
HYPOTHESIS: I haven't spoken to him since.
Is it  entailment, contradiction, or neutral? contradiction"
1	Well, I didn't even think about it, but I was upset, so I went back and talked to him again.	He was so angry that I started talking to him again.	entailment	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: Well, I didn't even think about it, but I was upset, so I went back and talked to him again.
HYPOTHESIS: He was so angry that I started talking to him again.
Is it  entailment, contradiction, or neutral? contradiction"
2	Well, I didn't even think about it, but I was upset, so I went back and talked to him again.	We had a good conversation.	neutral	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: Well, I didn't even think about it, but I was upset, so I went back and talked to him again.
HYPOTHESIS: We had a good conversation.
Is it  entailment, contradiction, or neutral? contradiction"
3	I was told that, uh, a man would be called in later to meet me.	I had not been told that I would meet someone.	contradiction	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: I was told that, uh, a man would be called in later to meet me.
HYPOTHESIS: I had not been told that I would meet someone.
Is it  entailment, contradiction, or neutral? contradiction"
4	I was told that, uh, a man would be called in later to meet me.	I was told that a man would be called in to meet me.	entailment	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: I was told that, uh, a man would be called in later to meet me.
HYPOTHESIS: I was told that a man would be called in to meet me.
Is it  entailment, contradiction, or neutral? entailment"
5	I was told that, uh, a man would be called in later to meet me.	The man waited a long time.	neutral	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: I was told that, uh, a man would be called in later to meet me.
HYPOTHESIS: The man waited a long time.
Is it  entailment, contradiction, or neutral? contradiction"
6	There are so many things you could say about him that I would just ignore that.	I want to tell you everything I know about it!	contradiction	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: There are so many things you could say about him that I would just ignore that.
HYPOTHESIS: I want to tell you everything I know about it!
Is it  entailment, contradiction, or neutral? contradiction"
7	There are so many things you could say about him that I would just ignore that.	I'm not going to talk about that, although there are a lot of things we want to see.	entailment	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: There are so many things you could say about him that I would just ignore that.
HYPOTHESIS: I'm not going to talk about that, although there are a lot of things we want to see.
Is it  entailment, contradiction, or neutral? contradiction"
8	There are so many things you could say about him that I would just ignore that.	I won't talk about the history of the city because we have a lot to talk about.	neutral	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: There are so many things you could say about him that I would just ignore that.
HYPOTHESIS: I won't talk about the history of the city because we have a lot to talk about.
Is it  entailment, contradiction, or neutral? contradiction"
9	So I don't know why.	I am convinced of the reason.	contradiction	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: So I don't know why.
HYPOTHESIS: I am convinced of the reason.
Is it  entailment, contradiction, or neutral? contradiction"
10	So I don't know why.	I don't know why she changed schools.	neutral	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: So I don't know why.
HYPOTHESIS: I don't know why she changed schools.
Is it  entailment, contradiction, or neutral? contradiction"
11	So I don't know why.	I don't know why that happened.	entailment	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: So I don't know why.
HYPOTHESIS: I don't know why that happened.
Is it  entailment, contradiction, or neutral? neutral"
12	I'm the only one who's, uh, been using the controls for, uh, surveillance in the cockpit of a small airplane.	I don't want to be the only one using the controller for the test.	neutral	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: I'm the only one who's, uh, been using the controls for, uh, surveillance in the cockpit of a small airplane.
HYPOTHESIS: I don't want to be the only one using the controller for the test.
Is it  entailment, contradiction, or neutral? contradiction"
13	I'm the only one who's, uh, been using the controls for, uh, surveillance in the cockpit of a small airplane.	An inspection was carried out on the flight deck of the small airport.	entailment	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: I'm the only one who's, uh, been using the controls for, uh, surveillance in the cockpit of a small airplane.
HYPOTHESIS: An inspection was carried out on the flight deck of the small airport.
Is it  entailment, contradiction, or neutral? neutral"
14	I'm the only one who's, uh, been using the controls for, uh, surveillance in the cockpit of a small airplane.	There are a few of us who use the scanner for testing.	contradiction	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: I'm the only one who's, uh, been using the controls for, uh, surveillance in the cockpit of a small airplane.
HYPOTHESIS: There are a few of us who use the scanner for testing.
Is it  entailment, contradiction, or neutral? neutral"
15	I'm the, uh, retired Senior Chief of Saints, as Rick said.	I still work to this day.	contradiction	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: I'm the, uh, retired Senior Chief of Saints, as Rick said.
HYPOTHESIS: I still work to this day.
Is it  entailment, contradiction, or neutral? contradiction"
16	I'm the, uh, retired Senior Chief of Saints, as Rick said.	I retired in 2002.	neutral	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: I'm the, uh, retired Senior Chief of Saints, as Rick said.
HYPOTHESIS: I retired in 2002.
Is it  entailment, contradiction, or neutral? contradiction"
