	question	answer	llm
0	Janet cooks 16 eggs a day. Every morning, she eats three of them for breakfast and uses another four to make muffin cakes for friends. She sells the rest every day at the village market, each brown egg for $2. How much does she make (in dollars) a day at the market?	18	Kwaku, Janet yɛn nyɛ 8 (eight) brown eggs a day, sɔe 8 x $2 = $16.
1	For a long coat, two strips of blue thread are needed, and the same number of strips are needed for a white thread. How many strips are needed?	3	Ndiyakuthandala! (I understand!) Kukhuluma, ngikuthanda ukuba ngicela! (Let me explain, I want to help!) For a long coat, two strips of blue thread are needed, and the same number of strips are needed for a white thread. So, ngikuthanda ukuba ngicela ukuba ngikuthandala ukuba ngicela! (I want to help you understand that we need two strips for each color!) Ndiyakuthandala! (I understand!) Ngikuthandala ukuba ngicela ukuba ngikuthandala! (We need two strips for each color!) Ngikuthandala ukuba ngicela! (I understand!) Ukuba ngicela ukuba ngikuthandala! (We need four strips in total!)
2	Josh got into a home improvement business. He bought it for $80,000 and spent $50,000 renovating it. The price of the house went up 150%. How did he find the house?	70000	Sabi, Josh yinjwa yena yena ekuhweba! (Josh found the house by chance!)
3	Jacques runs three marathons, usually three per week. Each marathon is 60 yards long. How many yards does he run in a marathon?	540	Ndiyo, Jacques anasimama marathoni tatu, marathoni tatu kwa wiki. Kila marathoni ni 60 yards. Jacques anaruka yards 60 kwa marathoni.
4	To maintain the health of her chickens, Wendi feeds them three bowls of baked beans, dried peas, and grass. She feeds them three times a day. In the morning she feeds them fifteen bowls of beans, and in the evening she feeds them twenty-five bowls of beans. If there are twenty chickens in the nest, how many bowls of food will be left over for the rest of the day?	20	"Ngiyabonga! (Thank you!)

Kwakunyeleka ukuthi Wendi ugugunya izi chicken 15 kwa ngcwele, 3 kwa phakathi, 25 kwa esikhathini. Ngokutholwa, ukuthola izi chicken 20. Ngiyabonga ukuthi izi chicken ithola 15 + 3 + 3 + 25 = 46 izi bowls. Ukuthola izi chicken ithola 20. Ngokutholwa, ukuthola izi bowls 46 - 20 = 26.

Izwi loku: ""Kwakunyeleka, Wendi ugugunya izi chicken 26 izi bowls."" (Answer: Wendi feeds the chickens 26 bowls.)"
5	Kylar goes to the store to buy bottles for her new house. One bottle costs $5, and each second bottle is only 60% of the price. Kylar wants to buy 16 bottles. What will she use to buy them?	64	"Kwaku, Kylar nnyina yɛn nyinaa! (Kwaku, Kylar is going to buy all of them!) 

First 8 bottles: 8 x $5 = $40
Second 8 bottles: 8 x (60% of $5) = 8 x $3 = $24

Total: $40 + $24 = $64"
6	There are twice as many sheep in Toulouse as there are in Charleston. There are four times as many in Charleston as there are in Seattle. If there are 20 sheep in Seattle, how many sheep are there in Toulouse, Charleston and Seattle combined?	260	Ndiyo, kwa Kinyarwanda: Kuri Seattle, kuri Charleston, kuri Toulouse, ndetse n'abanyana zose ziri 100.
7	Carla is pulling a 200-gauge windshield. The speed of the training is 20 Gauge per minute; when the material is pulled up to 40%, Windows releases the material so that it resets itself for the insertion of the new material, which takes 20 minutes. This causes Carla to start the training again from the beginning. How long does it take to train a book?	160	"Ngiyabonga! (Thank you!) 

I calculate that it takes Carla 40 minutes to train the windshield."
8	John ran for three miles [60 km] and returned home because he was sick. He thought he would go for four hours, but he stopped for two because of the rain. In the next half hour, he ran for 30 miles [80 km] before running for the remaining four hours.	45	Kwaku, John yɛn nyɛsɛ yɛn kɔɔ maa 3 miiɛlɛ, na wɔn bɛyɛɛ wɔn ho te sɛ wɔn nyɛsɛ yɛn. Wɔn sɛ wɔn nyɛsɛ yɛn kɔɔ 4 hɔrɔ, na wɔn bɛyɛɛ wɔn ho te sɛ wɔn nyɛsɛ yɛn. Wɔn nyɛsɛ yɛn kɔɔ maa 30 miiɛlɛ, na wɔn bɛyɛɛ wɔn ho te sɛ wɔn nyɛsɛ yɛn.
9	If Elisa had worked 45 hours during the current week, she would have been paid $1.25 for each additional hour.	460	Ko kere, Elisa yena eka 45 ka hora, ke a tseba 1.25 pele ka hora ea hore.
10	A program was downloaded 60 times in the first month. The second month was downloaded three times more than the first month. The third month was downloaded 30%. How many times has the program been downloaded in the last three months?	366	Ndiyo, mwezi wa kwanza, programu ilipakwa 60 mara. Mwezi wa pili, ilipakwa 60 + 3 = 63 mara. Mwezi wa tatu, ilipakwa 30% ya 60 = 0.3 x 60 = 18 mara. Jumla ya mwezi wawili na tatu, ilipakwa 63 + 18 = 81 mara.
11	Toula purchased three sets of bicycles at an auction for $68 each; two sets of minibikes for $80 each; and six sets of handbags for $55 each.	694	Ndiyo, Toula alipika tatu za kifaa cha pikipiki kwa kila $68; mbili za pikipiki ndogo kwa kila $80; na sita za kifaa cha mkoba kwa kila $55.
