Unnamed: 0,premise,hypothesis,label,output
0,"Well, I didn't even think about it, but I was so frustrated, and I ended up talking to him again.",I didn't talk to him again.,contradiction,Contradiction
1,"Well, I didn't even think about it, but I was so frustrated, and I ended up talking to him again.",I was so upset that I just started talking to her again.,entailment,Contradiction
2,"Well, I didn't even think about it, but I was so frustrated, and I ended up talking to him again.",We had a long talk.,neutral,Neutral
3,"They told me that at the end, they'd bring me a man to meet.",I was never told to meet anyone.,contradiction,Contradiction
4,"They told me that at the end, they'd bring me a man to meet.",I was told a guy was called in to meet me.,entailment,Entailment
5,"They told me that at the end, they'd bring me a man to meet.",The guy came in a little late.,neutral,Neutral
6,There's so much you could talk about that I'm just gonna skip it.,I wish I could tell you everything I know about it!,contradiction,Contradiction
7,There's so much you could talk about that I'm just gonna skip it.,"I won't talk about it, even though there's a lot to cover.",entailment,Entailment
8,There's so much you could talk about that I'm just gonna skip it.,I'm not going to talk about the history of the town because there's too much to talk about.,neutral,Entailment
9,So I don't really know why.,You know the reason why it happened.,contradiction,Contradiction
10,So I don't really know why.,I don't know why he switched schools.,neutral,Neutral
11,So I don't really know why.,I don't know why it happened.,entailment,Entailment
12,"I was the only one to, uh, still run the regulators for the, uh, test in the miniature altitude chambers.",I didn't like being the only one using the regulators for testing.,neutral,Neutral
13,"I was the only one to, uh, still run the regulators for the, uh, test in the miniature altitude chambers.",The tests were carried out in the miniature chamber at altitude.,entailment,Entailment
14,"I was the only one to, uh, still run the regulators for the, uh, test in the miniature altitude chambers.",A few of us ran with the regulators for the test.,contradiction,Contradiction
15,"I'm, uh, chief master sergeant, retired, as Rick said.",I still work to this day.,contradiction,Contradiction
16,"I'm, uh, chief master sergeant, retired, as Rick said.",I retired in 2002.,neutral,Neutral
17,"I'm, uh, chief master sergeant, retired, as Rick said.",Rick told you I was retired.,entailment,Entailment
18,"I have cash flow forecasts on my desk, and, uh, yeah, it's for Cutty whatever, that's the client's name.","The client named Cutty makes $10,000 a month.",neutral,Neutral
19,"I have cash flow forecasts on my desk, and, uh, yeah, it's for Cutty whatever, that's the client's name.",There's a client named Cutty.,entailment,Entailment
20,"I have cash flow forecasts on my desk, and, uh, yeah, it's for Cutty whatever, that's the client's name.",We don't have any customers named Cutty.,contradiction,Contradiction
21,The girl who can help me is halfway across town.,The girl I need help with lives far away from here.,entailment,Neutral
22,The girl who can help me is halfway across town.,The girl who's going to help me is five miles away.,neutral,Neutral.
23,The girl who can help me is halfway across town.,There's no one who can help me.,contradiction,Contradiction
24,"But they were divided about who were the field people and who were the children of the house, it was rather ...",They agreed that they would all work in the fields.,contradiction,Contradiction
25,"But they were divided about who were the field people and who were the children of the house, it was rather ...",They could not agree on who belonged to the work force and who belonged to the household.,entailment,Entailment
26,"But they were divided about who were the field people and who were the children of the house, it was rather ...",They couldn't agree on who should work in the cotton field and who should mop the floors.,neutral,Entailment
