premise	hypothesis	label	output	verbalized
እንግዲህ , እኔ ስለ እሱ እያሰብኩኝ አልነበረም , ነገር ግን እኔ በጣም ተስፋ ቆርጨ ነበር, እና, እኔ እንደገና ከእርሱ ጋር ማውራት ጀመርኩ።	እኔ ከእርሱ ጋር ድጋሜ አልተነጋገርኩም።	contradiction	false	contradiction
እንግዲህ , እኔ ስለ እሱ እያሰብኩኝ አልነበረም , ነገር ግን እኔ በጣም ተስፋ ቆርጨ ነበር, እና, እኔ እንደገና ከእርሱ ጋር ማውራት ጀመርኩ።	እኔ በጣም ስለተበሳጨሁ እንደገና እሱን ማነጋገር ጀመርኩ።	entailment	true	entailment
እንግዲህ , እኔ ስለ እሱ እያሰብኩኝ አልነበረም , ነገር ግን እኔ በጣም ተስፋ ቆርጨ ነበር, እና, እኔ እንደገና ከእርሱ ጋር ማውራት ጀመርኩ።	ጥሩ ንግግር አድርገናል።	neutral	እንደገና ከእርሱ ጋር ማውራት ጀመርኩ - true	unknown
እነርሱ ነገሩኝ፣እም፣እኔ እንደምጠራ በአንድ ሰው በስተመጨረሻ እንዳገኘው ።	ከማንም ጋር ስለመገናኘት የተነገረኝ ምንም ነገር የለም።	contradiction	true	entailment
እነርሱ ነገሩኝ፣እም፣እኔ እንደምጠራ በአንድ ሰው በስተመጨረሻ እንዳገኘው ።	የሆነ ሰው ሊያገኘኝ እንዲመጣ እንደሚጠራ ተነግሮኝ ነበር።	entailment	true	entailment
እነርሱ ነገሩኝ፣እም፣እኔ እንደምጠራ በአንድ ሰው በስተመጨረሻ እንዳገኘው ።	ሰውየው ትንሽ ዘግይቷል ነው የመጣው ።	neutral	true	entailment
ብዙ ማውራት የምትችልበት  ነገር አለ እርሱን በተመለከተ አልፈዋለሁ።	የማውቀውን ሁሉ ስለዚያ ነገር ልነግርህ እፈልጋለሁ!	contradiction	true	entailment
ብዙ ማውራት የምትችልበት  ነገር አለ እርሱን በተመለከተ አልፈዋለሁ።	ስለዚህ ጉዳይ አላወራም፣ ምንም እንኳን ብዙ የሚሸፈን ነገር ቢኖርም።	entailment	true	entailment
ብዙ ማውራት የምትችልበት  ነገር አለ እርሱን በተመለከተ አልፈዋለሁ።	ስለ ከተማዋ ታሪክ አልናገርም ምክንያቱም ብዙ የሚነገር ነገር ስላለ።	neutral	true	entailment
ስለዚህ ለምን እንደሆነ እኔ እርግጠኛ አይደለሁም።	እኔ ለምን እንደሆነ እርግጠኛ ነኝ።	contradiction	true	entailment
ስለዚህ ለምን እንደሆነ እኔ እርግጠኛ አይደለሁም።	ትምህርት ቤቱን ለምን እንዳዘዋወረ አላውቅም።	neutral	true	entailment
ስለዚህ ለምን እንደሆነ እኔ እርግጠኛ አይደለሁም።	ይህ የሆነው ለምን እንደሆነ አላውቅም።	entailment	false. ይህ የሆነው ለምን እንደሆነ አላውቅም። እኔ እርግጠኛ አይደለሁም። አሁን እኔ እርግጠኛ አይደለሁም እና እንደሆነ አላውቅም ነው።	contradiction
እኔ ብቻ ነበርኩ አ፣በትንሽ ከፍታ ውስጥ ለ ለሙከራው መቆጣጠሪያዎቹን ያካሄድኩት ።	ለፈታናዎቹ ተቆጣጣሪዎቹን የሚያካሂደው እኔ ብቻ መሆኔን አልወደድኩትም ።	neutral	false	contradiction
እኔ ብቻ ነበርኩ አ፣በትንሽ ከፍታ ውስጥ ለ ለሙከራው መቆጣጠሪያዎቹን ያካሄድኩት ።	ሙከራዎች የሚኬሄዱት በትንሽ ከፍታ ክፍሎች ውስጥ ነበር	entailment	true	entailment
እኔ ብቻ ነበርኩ አ፣በትንሽ ከፍታ ውስጥ ለ ለሙከራው መቆጣጠሪያዎቹን ያካሄድኩት ።	ለሙከራው መቆጣጠሪያዎችን የሚያካሂዱ ጥቂቶች ነበርን።	contradiction	true	entailment
ሪክ እንዳለው ፣እኔ አሀ፣ ጡረታ የወጣሁ የጦር መኰንን ነኝ።	እስከ እዚህ ቀን ድረስ እየሰራሁ ነው።	contradiction	true	entailment
ሪክ እንዳለው ፣እኔ አሀ፣ ጡረታ የወጣሁ የጦር መኰንን ነኝ።	በ2002 ጡረታ ወጣሁ።	neutral	true	entailment
ሪክ እንዳለው ፣እኔ አሀ፣ ጡረታ የወጣሁ የጦር መኰንን ነኝ።	ሪክ ጡረታ እንደወጣሁ ነግሮሃል።	entailment	true	entailment
