Unnamed: 0	premise	hypothesis	label	llm	verbalized
0	Tole, ani waa'ee sanaa illee yaadaa hin ture, garuu baay'een aare fi, ammas isa waliin haasa'ee xumure.	Isa waliin ammas hin dubbannen ture.	contradiction	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: Tole, ani waa'ee sanaa illee yaadaa hin ture, garuu baay'een aare fi, ammas isa waliin haasa'ee xumure.
HYPOTHESIS: Isa waliin ammas hin dubbannen ture.
Is it  entailment, contradiction, or neutral?

**Answer:** Entailment

**Explanation:**
The premise logically implies the hypothesis. If it is not true that a person is not feeling well, then it is necessarily true that they are not feeling well enough to work."	entailment
1	Tole, ani waa'ee sanaa illee yaadaa hin ture, garuu baay'een aare fi, ammas isa waliin haasa'ee xumure.	Baay'ee waanan mufadheef ammas isa waliin haasa'uu jalqabe.	entailment	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: Tole, ani waa'ee sanaa illee yaadaa hin ture, garuu baay'een aare fi, ammas isa waliin haasa'ee xumure.
HYPOTHESIS: Baay'ee waanan mufadheef ammas isa waliin haasa'uu jalqabe.
Is it  entailment, contradiction, or neutral?

**Answer:** Entailment

**Explanation:**
The premise logically implies the hypothesis. If the bay'ee waanan mufadheef is not true, then the premise is not satisfied. Therefore, the premise entails the hypothesis."	entailment
2	Tole, ani waa'ee sanaa illee yaadaa hin ture, garuu baay'een aare fi, ammas isa waliin haasa'ee xumure.	Haasaa baayyee bareedaa taasifneerra.	neutral	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: Tole, ani waa'ee sanaa illee yaadaa hin ture, garuu baay'een aare fi, ammas isa waliin haasa'ee xumure.
HYPOTHESIS: Haasaa baayyee bareedaa taasifneerra.
Is it  entailment, contradiction, or neutral?

**Answer:** Entailment

**Explanation:**
The premise logically implies the hypothesis. If a disease is not completely cured, but a vaccine is available, it means that the disease can be controlled and its severity can be reduced, which is consistent with the hypothesis that the vaccine can effectively control the disease."	entailment
3	Isaanis akkas naan jedhan, ah, akkan wal arguuf dhuma irratti gurbaa tokkoon akkan waamamu natti himan.	Nama kamiinuu wal arguuf homaa natti himamee hin beeku.	contradiction	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: Isaanis akkas naan jedhan, ah, akkan wal arguuf dhuma irratti gurbaa tokkoon akkan waamamu natti himan.
HYPOTHESIS: Nama kamiinuu wal arguuf homaa natti himamee hin beeku.
Is it  entailment, contradiction, or neutral?

**Answer:** Entailment

**Explanation:**
The premise states that if a person is a son of Isaani and has an argument with his father, he will be beaten by his father and humiliated by his mother. The hypothesis states that children who argue with their parents will not be loved by them. The premise entails the hypothesis because if a person is beaten and humiliated by his parents, it follows that they are not loved by them."	entailment
4	Isaanis akkas naan jedhan, ah, akkan wal arguuf dhuma irratti gurbaa tokkoon akkan waamamu natti himan.	Wal arguuf gurbaan tokko gara keessaatti anaaf akka waamamu natti himame.	entailment	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: Isaanis akkas naan jedhan, ah, akkan wal arguuf dhuma irratti gurbaa tokkoon akkan waamamu natti himan.
HYPOTHESIS: Wal arguuf gurbaan tokko gara keessaatti anaaf akka waamamu natti himame.
Is it  entailment, contradiction, or neutral?

**Answer:** Entailment

**Explanation:**
The premise states that if Isaanis argue with their mother, they will get scolded by their mother. The hypothesis states that if there is an argument, it will result in scolding from the mother. The premise is a stronger statement than the hypothesis, as it specifies the specific individuals involved (Isaanis and their mother). However, the two statements are logically equivalent, as the premise implies the hypothesis and the hypothesis implies the premise."	entailment
5	Isaanis akkas naan jedhan, ah, akkan wal arguuf dhuma irratti gurbaa tokkoon akkan waamamu natti himan.	Gurbaan sun xiqqoo turee mul'ate.	neutral	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: Isaanis akkas naan jedhan, ah, akkan wal arguuf dhuma irratti gurbaa tokkoon akkan waamamu natti himan.
HYPOTHESIS: Gurbaan sun xiqqoo turee mul'ate.
Is it  entailment, contradiction, or neutral?

**Answer:** Entailment

**Explanation:**
The premise states that if a person is a mother, she will argue with her daughter and will not be happy. This premise directly implies that mothers are always in conflict with their daughters and are unhappy, which contradicts the hypothesis that girls are always happy."	entailment
6	 Waan baay'ee waa’ee sanaa irratti dubbachuu dandeessu ni jira, calliseen irran darba.	Waa'ee sanaa waanan beeku hunda isinitti himuu barbaada!	contradiction	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE:  Waan baay'ee waa’ee sanaa irratti dubbachuu dandeessu ni jira, calliseen irran darba.
HYPOTHESIS: Waa'ee sanaa waanan beeku hunda isinitti himuu barbaada!
Is it  entailment, contradiction, or neutral?

**Answer:** Contradiction

**Explanation:**
The premise states that the moon will be visible in the evening, while the hypothesis claims that the moon will not be visible at night. These two statements are mutually exclusive and therefore contradict each other."	contradiction
7	 Waan baay'ee waa’ee sanaa irratti dubbachuu dandeessu ni jira, calliseen irran darba.	Waanti baay'ee kan jedhamu jiraatus, waa'ee sanaa hin dubbadhu.	entailment	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE:  Waan baay'ee waa’ee sanaa irratti dubbachuu dandeessu ni jira, calliseen irran darba.
HYPOTHESIS: Waanti baay'ee kan jedhamu jiraatus, waa'ee sanaa hin dubbadhu.
Is it  entailment, contradiction, or neutral?

**Answer:** Entailment

**Explanation:**
The premise states that when women are angry, they are prone to violent behavior. The hypothesis suggests that women are not prone to violent behavior. These two statements are logically incompatible with each other, therefore, the premise entails the hypothesis."	entailment
8	 Waan baay'ee waa’ee sanaa irratti dubbachuu dandeessu ni jira, calliseen irran darba.	Waa'ee seenaa magaalattii hin dubbadhu sababni isaas waanti jedhamu baay'ee waan ta'eef.	neutral	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE:  Waan baay'ee waa’ee sanaa irratti dubbachuu dandeessu ni jira, calliseen irran darba.
HYPOTHESIS: Waa'ee seenaa magaalattii hin dubbadhu sababni isaas waanti jedhamu baay'ee waan ta'eef.
Is it  entailment, contradiction, or neutral?

**Answer:** Entailment

**Explanation:**
The premise states that when a person is angry, they will often call someone. The hypothesis states that people will not get angry because of one specific reason. The premise directly contradicts the hypothesis."	entailment
9	Kanaafuu ani dhuguma maaliif akka ta'e hin beeku.	Sababni maaliif akka ta'e ani shakkii tokko malee nan beeka.	contradiction	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: Kanaafuu ani dhuguma maaliif akka ta'e hin beeku.
HYPOTHESIS: Sababni maaliif akka ta'e ani shakkii tokko malee nan beeka.
Is it  entailment, contradiction, or neutral?

**Answer:** Entailment

**Explanation:**
The premise states that Kanaafuu ani dhuguma maaliif akka ta'e hin beeku, which means ""Kanaafuu ani dhuguma will not be able to do anything in the maaliif akka ta'e."" The hypothesis states that Sababni maaliif akka ta'e ani shakkii tokko malee nan beeka, which means ""The reason for not being able to do anything in the maaliif akka ta'e is that there is no power or ability."" The premise entails the hypothesis because the premise directly implies the hypothesis."	entailment
