	question	answer	llm
0	Une robe nécessite 2 rouleaux de fibre bleue et la moitié de cette quantité en fibre blanche. Combien faut-il de rouleaux au total ?	3	<pad> Answer: (2 x 2) = 4 rouleaux.</s>
1	Josh se lance dans la rénovation d'une maison. Il en achète une au prix de 80 000 $ et investit 50 000 $ dans sa restauration. La valeur de la maison augmente alors de 150 %. Quel bénéfice a-t-il réalisé ?	70000	<pad> Josh a gagné 100 000 $ à la fin de la rénovation.</s>
2	Jacques fait des séries de 3 sprints 3 fois par semaine. Il court 60 mètres à chaque sprint. Au total, combien de mètres court-il par semaine ?	540	<pad> Answer: 120 mètres. Jacques court 60 mètres à chaque sprint, soit 60 x 3 = 180 mètres. Par semaine, il court 180 x 3 = 540 mètres.</s>
3	Pour garder ses poulets en bonne santé, Wendi leur donne chaque jour trois bols d'aliments mixtes contenant des graines, des vers de farine et des légumes. Elle les nourrit en trois repas séparés. Le matin, elle leur donne 15 bols d'aliments. L'après-midi, elle leur en donne 25 autres. Si son élevage compte 20 poulets, combien de bols de nourriture doit-elle leur donner pour le dernier repas de la journée ?	20	<pad> Wendi leur donne 15 + 25 = 35 bols d'aliments le matin. Donc, elle leur donne 20 fois 3 = 60 bols d'aliments le soir. Donc, elle leur donne 60 - 35 = 15 bols d'aliments pour le dernier repas de la journée.</s>
4	Kylar se rend au magasin afin d'acheter des verres pour son nouvel appartement. Un verre coûte 5 $, mais chaque deuxième verre ne coûte que 60 % du prix. Kylar veut acheter 16 verres. Combien devra-t-il payer pour les acheter ?	64	<pad> Kylar doit payer 5 * 2 = $10 pour les deuxièmes verres. Donc, il doit payer 16 * 10 = 160 $ pour les 16 verres.</s>
5	Toulouse a deux fois plus de moutons que Charleston. Charleston en a 4 fois plus que Seattle. Si Seattle a 20 moutons, combien de moutons Toulouse, Charleston et Seattle ont-ils au total ?	260	<pad> Charleston a 4 fois plus de moutons que Seattle, soit 4 * 20 = 80 moutons. Toulouse a deux fois plus de moutons que Charleston, soit 2 * 80 = 160 moutons. Charleston a 4 fois plus de moutons que Seattle, soit 4 * 20 = 80 moutons. Toulouse, Charleston et Seattle ont au total 160 + 80 + 80 = 240 moutons.</s>
6	Carla est en train de télécharger un fichier de 200 Go. Elle télécharge à la vitesse de 2 Go par minute mais à 40 % de téléchargement, Windows impose un redémarrage pour installer les mises à jour, ce qui prend 20 minutes. Carla doit alors recommencer le téléchargement depuis le début. Combien de temps faut-il pour télécharger le fichier ?	160	<pad> 200 Go / 2 Go par minute = 100 Go / minute 200 Go / 40 % = 100 Go / minute 100 Go / 20 minutes = 20 minutes 200 Go / 100 % = 200 Go / 20 minutes 200 Go / 20 minutes = 10 minutes</s>
7	Jean conduit pendant 3 heures à une vitesse de 60 mph, puis fait demi-tour après avoir constaté qu'il a oublié une chose très importante à la maison. Il essaie de rentrer en 4 heures, mais perd les 2 premières heures dans les embouteillages. Durant la demi-heure suivante, il conduit à 30 mph, avant de rouler à 80 mph pendant le temps restant sur les 4 heures. Quelle distance le sépare de son domicile à la fin des 4 heures ?	45	<pad> 60-30=40 mph</s>
8	Pour les 40 premières heures de travail hebdomadaire, le taux horaire d'Élisa est de 10 $. Pour ses heures supplémentaires, elle perçoit également une rémunération équivalant à 1,2 fois son taux horaire normal. Si cette semaine Élisa a travaillé 45 heures, quel sera son salaire de la semaine ?	460	<pad> Pour les 40 premières heures de travail hebdomadaire, le taux horaire d'Élisa est de 10 $. Pour ses heures supplémentaires, elle perçoit également une rémunération équivalant à 1,2 fois son taux horaire normal. Si cette semaine Élisa a travaillé 45 heures, son salaire de la semaine sera de 45 * 10 = 450 $.</s>
9	Un nouveau programme a été téléchargé 60 fois au cours du premier mois. Le nombre de téléchargements au cours du deuxième mois était trois fois supérieur à celui du premier mois. Il a ensuite diminué de 30 % au cours du troisième mois. Combien de fois au total le programme a-t-il été téléchargé au cours de ces trois mois ?	366	<pad> Le nombre de téléchargements au cours du deuxième mois était 3*60=180 fois. Le nombre de téléchargements au cours du troisième mois était 180*30=540 fois. Le nombre de téléchargements au cours de ces trois mois était 60+180+540=960 fois.</s>
