	premise	hypothesis	label	llm
0	I hadn't thought of that either, but in my perplexity, I decided to talk to him again.	That was the last time I spoke to him.	contradiction	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: I hadn't thought of that either, but in my perplexity, I decided to talk to him again.
HYPOTHESIS: That was the last time I spoke to him.
Is it  entailment, contradiction, or neutral? contradiction"
1	I hadn't thought of that either, but in my perplexity, I decided to talk to him again.	I was so upset that I decided to talk to him again.	entailment	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: I hadn't thought of that either, but in my perplexity, I decided to talk to him again.
HYPOTHESIS: I was so upset that I decided to talk to him again.
Is it  entailment, contradiction, or neutral? contradiction"
2	I hadn't thought of that either, but in my perplexity, I decided to talk to him again.	We had a good conversation.	neutral	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: I hadn't thought of that either, but in my perplexity, I decided to talk to him again.
HYPOTHESIS: We had a good conversation.
Is it  entailment, contradiction, or neutral? neutral"
3	They told me that uh, they were going to get me a guy to meet me at the end.	There was no mention of a date.	contradiction	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: They told me that uh, they were going to get me a guy to meet me at the end.
HYPOTHESIS: There was no mention of a date.
Is it  entailment, contradiction, or neutral? contradiction"
4	They told me that uh, they were going to get me a guy to meet me at the end.	They told me that uh, they were going to get me a guy to meet me at the end.	entailment	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: They told me that uh, they were going to get me a guy to meet me at the end.
HYPOTHESIS: They told me that uh, they were going to get me a guy to meet me at the end.
Is it  entailment, contradiction, or neutral? entailment"
5	They told me that uh, they were going to get me a guy to meet me at the end.	The boy came to the church.	neutral	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: They told me that uh, they were going to get me a guy to meet me at the end.
HYPOTHESIS: The boy came to the church.
Is it  entailment, contradiction, or neutral? contradiction"
6	You have much more to say on this subject, but I will leave it at that.	I want to tell you everything I know about it!	contradiction	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: You have much more to say on this subject, but I will leave it at that.
HYPOTHESIS: I want to tell you everything I know about it!
Is it  entailment, contradiction, or neutral? neutral"
7	You have much more to say on this subject, but I will leave it at that.	I will not dwell on that, although there is much more to it.	entailment	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: You have much more to say on this subject, but I will leave it at that.
HYPOTHESIS: I will not dwell on that, although there is much more to it.
Is it  entailment, contradiction, or neutral? neutral"
8	You have much more to say on this subject, but I will leave it at that.	I won't go into the history of the city because there's so much to tell.	neutral	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: You have much more to say on this subject, but I will leave it at that.
HYPOTHESIS: I won't go into the history of the city because there's so much to tell.
Is it  entailment, contradiction, or neutral? neutral"
9	Now, I don't really know why.	I made sure of that.	contradiction	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: Now, I don't really know why.
HYPOTHESIS: I made sure of that.
Is it  entailment, contradiction, or neutral? neutral"
10	Now, I don't really know why.	I don't know why he changed schools.	neutral	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: Now, I don't really know why.
HYPOTHESIS: I don't know why he changed schools.
Is it  entailment, contradiction, or neutral? contradiction"
11	Now, I don't really know why.	I don't know why that happened.	entailment	"Labels only. Please identify whether the premise entails or contradicts the hypothesis in the following premise and hypothesis. The answer should be exact entailment, contradiction , or  neutral . 
PREMISE: Now, I don't really know why.
HYPOTHESIS: I don't know why that happened.
Is it  entailment, contradiction, or neutral? neutral"
